"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N06","N07","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base is an implemented framework module.","Sections 3-3.1, PDF pp. 4-6; printed pp. 3200-3202"
"N06","N08","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Robot Local Knowledge Bases are implemented within the framework.","Section 3.1, PDF p. 6; printed p. 3202"
"N06","N09","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Knowledge acquisition is an implemented framework phase.","Sections 3-4, PDF pp. 5-7; printed pp. 3201-3203"
"N09","N10","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The acquisition phase includes bottom-up acquisition.","Section 4, PDF p. 7; printed p. 3203"
"N09","N11","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The acquisition phase includes top-down acquisition.","Section 4, PDF p. 7; printed p. 3203"
"N09","N12","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The acquisition phase includes the combined approach.","Sections 4.4 and 6, PDF pp. 9-10 and 18-19; printed pp. 3205-3206 and 3214-3215"
"N10","N13","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","SOM clustering is an implemented bottom-up method.","Sections 4.2 and 5, PDF pp. 7-11; printed pp. 3203-3207"
"N10","N14","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM clustering is an implemented bottom-up method.","Sections 4.3 and 5.2, PDF pp. 8-14; printed pp. 3204-3210"
"N14","N15","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The GHSOM workflow includes genetic parameter optimization.","Sections 5.2-5.3, PDF pp. 11-18; printed pp. 3207-3214"
"N12","N10","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined classifier incorporates the bottom-up approach.","Sections 4.4 and 6, PDF pp. 9 and 18-19; printed pp. 3205 and 3214-3215"
"N12","N11","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined classifier incorporates the top-down approach.","Sections 4.4 and 6, PDF pp. 9 and 18-19; printed pp. 3205 and 3214-3215"
"N16","N17","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The Pepper implementation includes IBM Watson speech recognition.","Section 6.1, PDF p. 21; printed p. 3217"
"N10","N31","depend_on","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Perception-driven acquisition requires observable environmental elements.","Sections 4-4.1, PDF p. 7; printed p. 3203"
"N16","N31","depend_on","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper validation requires physical objects in its environment.","Section 6.1, PDF pp. 20-21; printed pp. 3216-3217"
"N08","N43","depend_on","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The Local Knowledge Base retains a General Knowledge Base reference.","Section 3.1, PDF p. 6; printed p. 3202"
