uuid,knowledge_capture_retention_discussed,knowledge_capture_retention_reasoning,knowledge_capture_retention_confidence,digital_technology_used_for_capture_retention,digital_technology_reasoning,digital_technology_confidence,technology_source_mentions,technology_normalized,technology_acm_class,technology_confidence,tacit_knowledge_source_mentions,tacit_knowledge_class,tacit_knowledge_confidence
07854906-d531-46a0-a771-201dba72549e,No,"The abstract discusses synthesizing evidence on biometric sensing to understand mechanisms of VR learning, but does not explicitly discuss methods to capture or retain knowledge from individuals or organizations.",high,No,"While the abstract mentions eye tracking and facial expression recognition technologies, they are proposed for elucidating cognitive processes, not explicitly for the purpose of capturing or retaining knowledge.",high,"Eye tracking; Facial expression recognition","Eye tracking; Facial expression recognition","Human–Computer Interaction and Immersive Technologies; Imaging, Sensing, and Perception Technologies",high,None identified,None identified,None identified
fde97b57-01f3-421b-aef4-207043ff2a46,No,"The abstract is a systematic review and meta-analysis of AR safety training effectiveness, focusing on learning outcomes like knowledge acquisition and retention, but does not detail how to capture or retain knowledge.",high,No,"AR is the technology under study, but the focus is on its effectiveness for training outcomes, not on its use as a method to capture or retain knowledge per se.",high,Augmented Reality (AR),Augmented Reality,Human–Computer Interaction and Immersive Technologies,high,None identified,None identified,None identified
ac4352ae-95c2-44d9-96a7-71cd8c521587,No,"The abstract introduces a framework (VR-Safety-TGT) to align learning objectives, and evaluates outcomes like knowledge acquisition and retention, but does not discuss methods to capture or retain knowledge itself.",high,No,"VR technology is used for the training modalities compared, but it is the medium for delivering instruction, not a tool explicitly designed to capture or retain knowledge.",high,Virtual reality (VR),Virtual Reality,Human–Computer Interaction and Immersive Technologies,high,None identified,None identified,None identified
41a00e27-e487-498b-b0b8-8c6b12f480b7,Yes,"The study investigates enablers and tools for inhabitants' knowledge acquisition in public policymaking organizations, which involves capturing knowledge from inhabitants.",high,No,"The study assesses enablers and tools, some of which are social (meetings, interviews) and some technological (social media). However, the digital tools are not explicitly used to *capture or retain* knowledge; they are communication channels.",high,"Social media","Social media","Mobile, Social, and Communication Technologies",medium,None identified,None identified,None identified
517c52fe-45e1-431b-9609-aa5e319ecaf5,No,"The abstract discusses using a learning analytics dashboard to promote knowledge acquisition and metacognitive awareness, but it does not detail the capture or retention of knowledge itself.",high,No,"The LAD is used for monitoring and reflection, not explicitly for capturing or retaining knowledge. The AR system is the learning environment.",high,"Learning analytics dashboard (LAD); Augmented reality (AR)","Learning analytics dashboard; Augmented Reality","Data, Information, and Knowledge Systems; Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
c37d19bb-dde9-49bf-97e9-7a268ce5d146,No,"The study evaluates a reformed pedagogical model on knowledge acquisition and retention, but does not discuss capturing or retaining knowledge itself.",high,No,"Digital simulation technologies are part of the pedagogical reform, but they are used as a teaching method, not explicitly to capture or retain knowledge.",high,"Digital simulation technologies","Digital simulation technologies","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,None identified
94ebe687-ec92-4e92-a532-3a23ab1a6f0d,No,"The study assesses a gamified educational framework for knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"The framework uses simulation-based learning, but this is a pedagogical method, not a technology explicitly used to capture or retain knowledge.",high,"Simulation-based learning","Simulation-based learning","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,None identified
a85250b8-88d1-4f9c-b83e-769a45b13405,No,"The study examines predictors of flow experience and knowledge acquisition in a STEM game, but does not discuss capturing or retaining knowledge.",high,No,"The study uses a game (technology), but it's the subject of the study (learning outcome), not a method for knowledge capture or retention.",high,Educational game,Educational game,Human–Computer Interaction and Immersive Technologies,medium,None identified,None identified,None identified
d383a27c-467e-446f-b287-e29a0ff0f754,Yes,"The study explicitly examines how IT capability facilitates knowledge acquisition by the customer from a dominant supplier, which is a process of capturing external knowledge.",high,Yes,"The study investigates IT capabilities (supplier technological capability, relatedness of IT infrastructure) as the means to facilitate this knowledge acquisition.",high,"Supplier technological capability; Relatedness of IT infrastructure","Supplier technological capability; IT infrastructure","Data, Information, and Knowledge Systems; Distributed, Secure, and Trust Technologies",high,None identified,None identified,None identified
01f4cf94-e128-46fe-a293-97ffee66a542,No,"The study examines factors influencing knowledge retention as an outcome, but does not discuss methods to capture or retain knowledge.",high,No,"AR training modules are the independent variable, but the focus is on their effect on engagement and retention, not on using them to capture knowledge.",high,"Augmented reality (AR) training modules","Augmented Reality training modules","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
