"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N01","N14","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Liu Miaozhen guides the user to complete the training through voice and movement, and demonstrates each Baduanjin movement.","Section 3.2.1"
"N02","N14","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Liu Miaozhen explains historical context and cultural knowledge through dialogue and knowledge cards.","Section 3.2.1, 3.2.4"
"N03","N14","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Liu Miaozhen explains rehabilitative effects of movements, e.g., relieving cervical and lumbar pain.","Section 3.2.1"
"N04","N24","be_held_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Knowledge cards present quiz-related information; the quiz uses cards as reference.","Section 3.2.4"
"N05","N14","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","The animation asset library serves as the behavioral foundation of the virtual NPC Liu Miaozhen.","Section 3.3.3"
"N06","N14","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Movement semantics and voice commands are mapped to enable Liu Miaozhen's verbal instructions.","Section 1, Section 3.2.1"
"N07","N22","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","The system uses DTW thresholds and scoring metrics to evaluate performance.","Section 3.3.2, 3.3.5"
"N08","N12","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Patients in the TWJB group developed embodied cognition through the system.","Section 5.1, Section 6"
"N08","N13","be_held_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Healthy volunteers in the TWJB group developed embodied cognition through the system.","Section 5.1, Section 6"
"N09","N12","be_held_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Patients improved motor coordination skills (BBS, Tinetti, 10MWT improvements).","Section 5.4"
"N09","N13","be_held_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Healthy volunteers improved coordination skills via real-time feedback.","Section 3.3, Section 5.4"
"N10","N12","be_held_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Self-perception of accuracy is enhanced in users receiving synchronized feedback.","Section 6"
"N10","N13","be_held_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Self-perception of accuracy is enhanced in users receiving synchronized feedback.","Section 6"
"N11","N12","be_held_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Situational awareness develops through real-time avatar mirroring.","Section 3.2.1"
"N11","N13","be_held_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Situational awareness develops through real-time avatar mirroring.","Section 3.2.1"
"N01","N12","be_absorbed_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Baduanjin knowledge score was 7.8 (TWJB) vs 5.6 (control), p<0.001.","Section 5.3"
"N02","N13","be_absorbed_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Cultural identity score was 8.3 (TWJB) vs 6.4 (control), p<0.001.","Section 5.3"
"N03","N12","be_absorbed_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Users recalled health benefits via knowledge cards and quiz.","Section 3.2.4, Section 5.3"
"N04","N12","be_absorbed_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Recall ability score was 8.1 (TWJB) vs 5.9 (control), p<0.001.","Section 5.3"
"N08","N23","be_captured_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Embodied cognition is developed via real-time motion capture and feedback.","Section 3.2.3, Section 6"
"N09","N23","be_captured_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","User motion data are captured using Kinect V2; DTW matches real-time sequence with reference templates.","Section 3.3.1, 3.3.2"
"N10","N23","be_captured_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","System provides visual comparison and accuracy feedback to enhance self-perception.","Section 3.2.3"
"N11","N23","be_captured_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","User avatar mirrors movements in real time, developing situational awareness.","Section 3.2.1"
"N01","N17","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Current dissemination forms include oral teaching, books, audio-visual video.","Section 2.1"
"N02","N18","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Books and literature contain cultural historical background.","Section 2.1"
"N03","N18","be_transferred_by","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Books may describe health benefits, but passively.","Section 2.1"
"N01","N19","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Audio-visual videos demonstrate movements.","Section 2.1"
"N01","N20","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Comparison system uses static UI prompts with text instructions.","Section 3.2, Section 4"
"N01","N21","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Pre-recorded video demonstrations provide visual guidance but lack interactivity.","Section 4"
"N01","N22","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","TWJB transfers movement instructions via avatar guidance and real-time feedback.","Abstract, Section 3.1"
"N02","N24","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Each card presents historical context and ICH knowledge.","Section 3.2.4"
"N03","N24","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Each card presents the corresponding rehabilitative effect.","Section 3.2.4"
"N04","N25","be_transferred_by","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Knowledge quiz tests understanding; correct answers rewarded.","Section 3.2.4"
"N12","N17","participate_in","I","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Control group patients used traditional UI-based system (analogous to passive methods).","Section 4"
"N12","N22","participate_in","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","15 patients in experimental group participated in TWJB session.","Section 4"
"N13","N22","participate_in","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","24 healthy volunteers in experimental group participated in TWJB session.","Section 4"
"N14","N22","participate_in","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Liu Miaozhen is the virtual instructor within the TWJB system.","Section 3.2.1"
"N15","N17","participate_in","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Oral teaching requires professional teachers as participants.","Section 2.1"
"N17","N36","depend_on","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Oral teaching requires a large number of professional teachers and scientific training system.","Section 2.1"
"N17","N41","depend_on","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Scarcity of professional teachers makes oral teaching difficult to scale.","Section 2.1"
"N22","N28","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Kinect V2 is the somatosensory input device for TWJB.","Section 3.1"
"N22","N29","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Unity3D is used for rendering and compatibility.","Section 3.1"
"N22","N35","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Cascadeur was used to produce the animation asset library for TWJB.","Section 3.4"
"N23","N28","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Motion capture module uses Kinect V2 for skeletal tracking.","Section 3.3.1"
"N23","N30","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Motion recognition uses DTW algorithm.","Section 3.3.2"
"N23","N31","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Kinect V2 tracks 25 skeletal joints.","Section 3.3.1"
"N23","N32","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","Double exponential smoothing filter preprocesses joint trajectories.","Section 3.3.1"
"N23","N33","adopt","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Budaunjin-based somatosensory training","User avatar is animated using Final IK rig.","Section 3.3.4"
