src_node_id,dst_node_id,relation_type,evidence_count,evidence_statement,case_title,evidence_label,child_src_id,child_dst_id
h001M01KH02,h001M01THR07,participate_in,1,c001M02N10 - c001M02N33: Intangible cultural heritage skills are at risk of interruption in inheritance,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH02,s001M01THR07
h001M01KH02,h001M01TP03,participate_in,1,c001M02N10 - c001M01N24: An interactive knowledge graph is constructed to digitalize the recording of craftsmanship process,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH02,s001M01TP03
h001M01KH03,h001M01THR11,participate_in,1,"c002M02N13 - c002M02N20: Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings
c002M02N13 - c002M02N21: Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH03,s001M01THR11
h001M01KH03,h001M01THR12,participate_in,1,"c002M02N13 - c002M02N22: Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH03,s001M01THR12
h001M01KH03,h001M01THR13,participate_in,1,"c006M01N11 - c006M01N12: Workers attended worksite fitting events, experienced assistive suits and could borrow them.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH03,s001M01THR13
h001M01KH03,h001M01THR14,participate_in,1,c002M02N13 - c002M02N23: A study demonstrated improvements in safety performance with increased safety discussions and the distribution of safety training materials to construction workers,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH03,s001M01THR14
h001M01KH03,h001M01THR17,participate_in,4,"c006M01N11 - c006M01N13: Physical-strength measurements were conducted on construction workers.
c006M01N11 - c006M01N14: Health questionnaires were administered to construction workers.
c006M02N14 - c006M01N13: Physical strength measurements and questionnaires were administered to 320 construction workers to obtain data.
c006M02N14 - c006M02N22: Physical strength measurements and questionnaires were administered to 320 construction workers to obtain data.
c007M02N08 - c007M02N66: KM in the safety of construction projects relies merely on workers' self-regulation",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH03,s001M01THR17
h001M01KH03,h001M01TP03,participate_in,1,"c002M02N14 - c002M02N24: A machinery operator's knowledge acquisition from VR-based training is an important factor that determines on-site safety performance
c002M02N14 - c002M02N25: A machinery operator's knowledge acquisition from VR-based training is an important factor that determines on-site safety performance",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH03,s001M01TP03
h001M01KH03,h001M01TP06,participate_in,2,"c006M01N11 - c006M01N15: Multiple-IMU devices were used to measure the workload of 64 workers.
c006M01N11 - c006M01N17: Workers' job-site activity was recorded on video during workload measurement.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH03,s001M01TP06
h001M01KH05,h001M01THR05,participate_in,2,"c012M01N16 - c012M01N26: Retiring engineers participated in dedicated interviews about career experience and lessons.
c012M01N16 - c012M02N25: ""Senior engineers nearing retirement participated actively, encouraged to reflect deeply and openly on their career experiences""",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH05,s001M01THR05
h001M01KH05,h001M01THR07,participate_in,4,"c007M01N08 - c007M01N17: Senior staff supply expertise and mentoring disseminates knowledge.
c007M02N05 - c007M01N17: Disseminating knowledge through staff mentoring (KD2)
c012M01N16 - c012M01N27: Retiring engineers joined personalized storytelling and mentorship meetings.
c012M01N16 - c012M02N23: ""A mentorship scheme was also established, pairing retiring engineers with mid-career colleagues""",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH05,s001M01THR07
h001M01KH05,h001M01THR08,participate_in,2,"c012M01N11 - c012M01N24: Senior engineers and other key project participants joined structured narrative workshops.
c012M01N16 - c012M01N24: Retiring engineers actively participated in structured workshops.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH05,s001M01THR08
h001M01KH05,h001M01THR14,participate_in,1,c007M01N08 - c007M01N14: Senior-staff expertise is disseminated through workforce meetings.,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH05,s001M01THR14
h001M01KH05,h001M01THR15,participate_in,1,c008M02N07 - c008M02N11: Construction site managers and engineers typically store safety information collected during safety inspections,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH05,s001M01THR15
h001M01KH05,h001M01THR17,participate_in,4,"c007M01N08 - c007M01N16: Senior-staff expertise is disseminated through discussions.
c007M01N08 - c007M01N18: Senior expertise supports workforce training.
c007M01N08 - c007M01N20: Knowledge dissemination involving managers and employees uses two-way communication.
c007M02N05 - c007M02N66: drawing upon the expertise of senior staff in construction specialties",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH05,s001M01THR17
h001M01KH05,h001M01TP14,participate_in,1,c007M01N08 - c007M01N37: KD4 concerns internal dissemination involving management teams and employees.,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH05,s001M01TP14
h001M01KH06,h001M01THR05,participate_in,1,c008M01N14 - c008M01N20: Expert interviews explicitly require participation by experts.,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH06,s001M01THR05
h001M01KH06,h001M01THR14,participate_in,1,c008M01N14 - c008M01N18: Experts are an implied participant when brainstorming is used to obtain expert domain knowledge.,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH06,s001M01THR14
h001M01KH06,h001M01THR16,participate_in,3,"c002M01N28 - c002M01N32: The same eight experts participated in the structured interview rounds.
c005M01N12 - c005M01N18: Three experts conducted the Delphi probability-impact analysis.
c009M02N19 - c009M02N27: Five experts were selected based on their extensive professional experience in construction procurement and bid preparation",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH06,s001M01THR16
h001M01KH06,h001M01THR17,participate_in,1,"c005M02N14 - c005M02N23: Additionally, the exam was confirmed by experts in the field of construction safety, as five experts solved it with experience ranging from five to twenty-five years.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH06,s001M01THR17
h001M01KH06,h001M01TP12,participate_in,1,c015M02N03 - c015M01N24: Future potential employers and industry professionals were consulted to assess whether students demonstrated improved industry readiness,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH06,s001M01TP12
h001M01KH06,h001M01TP14,participate_in,2,"c015M02N03 - c015M02N11: We have industry visits, the industry educators come, and we do case studies.
c015M02N03 - c015M02N10: Future potential employers and industry professionals were consulted to assess whether students demonstrated improved industry readiness",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH06,s001M01TP14
h001M01KH07,h001M01THR05,participate_in,5,"c005M01N11 - c005M01N16: Five safety managers currently supervising bridge constructions participated in the interviews.
c005M01N11 - c005M02N20: Interviews with safety managers who are currently working in bridge construction projects were conducted in Egypt. In total, five interviews were conducted with safety managers.
c008M01N15 - c008M01N20: Management personnel are a source of experiential safety knowledge, while interviews are identified as a traditional domain-knowledge acquisition method.
c014M01N11 - c014M01N43: Two project managers participated in the interviews.
c014M01N12 - c014M01N43: A Project In-charge participated in the interviews.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH07,s001M01THR05
h001M01KH07,h001M01THR08,participate_in,2,"c012M01N12 - c012M01N24: Project managers participated in the bridge project's storytelling sessions.
c012M01N13 - c012M01N24: Site supervisors participated in the bridge project's storytelling sessions.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation,s001M01KH07,s001M01THR08
