"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M01N01","Excavation safety knowledge","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","This knowledge test included ten multiple-choice questions covering the seven critical hazards identified in Section 3.3.","Specific codified facts and parameters regarding safety distances, shoring, and utilities.","Page 13, Section 5.2.1","EX01","Regulatory Codes & Safety Standards"
"c001M01N02","Real-time hazard identification performance","Tacit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","The pilot study's results suggest that the VR training system is effective in improving participants' practical performance when dealing with excavation hazards.","The uncodified spatial skill and action of spotting, evaluating, and responding to hazards in a live setting.","Page 19, Section 6","TA04","Adaptive Tacit Knowledge"
"c001M01N03","Self-efficacy belief","Tacit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","Self-efficacy is an instrument to indicate an individual's belief in their capability to perform tasks or gain attainments","An individual's personal belief in their capacity to safely handle hazardous events.","Page 14, Section 5.2.2","TA02","Cognitive Tacit Knowledge"
"c001M01N04","Construction professionals","Knowledge Holder","E","Immersive virtual reality training for excavation safety and hazard identification","The participants consisted of 28 university students and 12 professionals from the construction sector.","Industry practitioners directly working within or managing construction and geotechnical works.","Page 9, Section 4.1","KH01","Field Practitioners & Site Operators"
"c001M01N05","University students","Knowledge Holder","E","Immersive virtual reality training for excavation safety and hazard identification","The participants consisted of 28 university students and 12 professionals from the construction sector.","Academic learners representing the future entry baseline for the construction workforce.","Page 9, Section 4.1","KH01","Field Practitioners & Site Operators"
"c001M01N06","Health and safety manual self-study","Traditional Human-central Practice","E","Immersive virtual reality training for excavation safety and hazard identification","A control group received training via a traditional training method, in this case an excavation health and safety manual.","A text-based, self-paced individual reading approach used for safety compliance instruction.","Page 13, Section 5","TR03","Deliberate Practice"
"c001M01N07","Immersive VR training system","Technology-enable Practice","E","Immersive virtual reality training for excavation safety and hazard identification","This study proposes an immersive VR training system for excavation safety and hazard identification.","An interactive 3D virtual environment designed to deliver safety training through guided exploration.","Page 1, Abstract","TP01","Immersive Safety Simulation & Training"
"c001M01N08","Head Mounted Displays (Oculus Quest)","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","The training solution presented in this work was an immersive VR application deployed on one of the most popular standalone HMDs: Oculus quest.","Hardware tool providing immersive visual display and spatial mapping to the user.","Page 6, Section 3.1","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M01N09","Unity game engine","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","The virtual environments were modelled and rendered using Unity (version 2019.1.10f1).","Software platform used to design, build, and simulate the 3D construction site scenarios.","Page 6, Section 3.1","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M01N10","Wireless controllers","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","The office scenario offered tutorials for participants to learn and practice interaction and navigation using Oculus Quest's wireless controllers in VR.","Hardware input devices enabling users to execute virtual grab, view, measure, and tag interactions.","Page 6, Section 3.1","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M01N11","Industry health and safety regulations","Environmental Dependency","I","Immersive virtual reality training for excavation safety and hazard identification","The training objectives of the immersive VR training system were developed based on two guidelines: Occupational Safety and Health Administration (OSHA) Trenching and Excavation Safety and WorkSafe Excavation Safety.","External regulatory standards and frameworks dictating construction site safety criteria.","Page 8, Section 3.3","ED01","Macro-Regulatory & Jurisdictional Frameworks"
"c001M01N12","Knowledge decay over time","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Newly acquired knowledge is vulnerable because forgetting always occurs, as demonstrated by Ebbinghaus's forgetting curve.","The cognitive degradation of retained safety information over an extended period without refresher training.","Page 17, Section 6","LI01","Human, Cognitive & Knowledge Retention Limitations"
"c001M01N13","Knowledge-to-practice gap","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Their results suggest that physical therapy graduates do not use newly acquired knowledge to inform their practice... knowing more does not necessarily mean behaving more safely","The disconnect preventing written or cognitive knowledge from successfully transitioning into practical safe behaviors.","Page 17, Section 6","LI01","Human, Cognitive & Knowledge Retention Limitations"
"c001M01N14","Interactive questioning strategy","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","This study adopted questioning as the instructional method for the immersive VR training system... Questions can stimulate thinking and enhance engagement","The codified pedagogical framework embedded in the application to drive cognitive retrieval and execution loop.","Page 8, Section 3.4","EX02","Institutional Registries & Technical Blueprints"
"c001M01N15","Direct selection user interface mode","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","The results show that direct selection mode UI performed better than indirect selection mode","Specific software menu interaction configuration style verified to optimize user hazard identification accuracy.","Page 5, Section 2 (Table 1)","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M02N01","OSHA Trenching and Excavation Safety guidelines","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","The training objectives were developed based on two guidelines: Occupational Safety and Health Administration (OSHA) Trenching and Excavation Safety","Not mentioned","p.8, Section 3.3","EX01","Regulatory Codes & Safety Standards"
"c001M02N02","WorkSafe Excavation Safety guidelines","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","The training objectives were developed based on two guidelines: WorkSafe Excavation Safety","Not mentioned","p.8, Section 3.3","EX01","Regulatory Codes & Safety Standards"
"c001M02N03","Health and safety manual","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","Control group received training via an excavation health and safety manual","A traditional training method consisting of a printed manual","p.13, Section 5","EX01","Regulatory Codes & Safety Standards"
"c001M02N04","Seven critical hazards list","Explicit Knowledge","E","Immersive virtual reality training for excavation safety and hazard identification","Seven critical hazards were selected as the training objectives: absence of safety officer, absence of soil protection, objects near edges, absence of safe access/egress, workers close to utilities, absence of barriers/signage, workers in unsafe zone","Not mentioned","p.8, Section 3.3","EX02","Institutional Registries & Technical Blueprints"
"c001M02N08","Hazard identification skill","Tacit Knowledge","I","Immersive virtual reality training for excavation safety and hazard identification","Participants were assessed on their ability to identify hazards in excavation sites","The ability to spot hazards","p.9-10, Section 4.2.1","TA04","Adaptive Tacit Knowledge"
"c001M02N10","Hazard response skill","Tacit Knowledge","I","Immersive virtual reality training for excavation safety and hazard identification","Participants were assessed on their ability to respond to hazards","The ability to take correct action","p.9-10, Section 4.2.1","TA04","Adaptive Tacit Knowledge"
"c001M02N13","Construction workers","Knowledge Holder","I","Immersive virtual reality training for excavation safety and hazard identification","The target population for excavation safety training","Not mentioned","p.1, Abstract","KH01","Field Practitioners & Site Operators"
"c001M02N18","Knowledge test via Google Forms","Technology-enable Practice","E","Immersive virtual reality training for excavation safety and hazard identification","The knowledge test was administered to both groups before, immediately after and four weeks after training via Google Forms","Digital assessment tool","p.13, Section 5.2.1","TP01","Immersive Safety Simulation & Training"
"c001M02N19","Practical performance assessment in VR","Technology-enable Practice","E","Immersive virtual reality training for excavation safety and hazard identification","Participants' practical performance was assessed in VR before and immediately after training","VR-based skill measurement","p.9, Section 4.2.1","TP01","Immersive Safety Simulation & Training"
"c001M02N23","Terrain plugin","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","A Unity plugin called Terrain was used to create site terrains","Unity plugin for terrain generation","p.6, Section 3.1","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M02N24","Snaps Art HD - Construction Site asset","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","Snaps Art HD- Construction Site was used to develop the construction scenarios","Unity asset package","p.6, Section 3.1","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M02N26","Motion tracking system","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","Thanks to the motion tracking system and sensors embedded in Oculus Quest, navigation in virtual environments was similar to walking","System tracking real-world movement","p.7, Section 3.2","TE05","Imaging, Sensing, and Perception Technologies"
"c001M02N27","Virtual menu (grab, view, measure, tag)","Digital Technology","E","Immersive virtual reality training for excavation safety and hazard identification","Participants could activate a virtual menu that allowed for four types of actions: grab, view a safety file, measure distances, tag hazards","UI component for interaction","p.7, Section 3.2","TE02","Human–Computer Interaction and Immersive Technologies"
"c001M02N28","Physical space (3m x 3m square)","Organizational Dependency","E","Immersive virtual reality training for excavation safety and hazard identification","The movement area in the real world was confined to a 3m x 3m square","Required physical footprint for VR","p.7, Section 3.2","OD05","Operational Resource Allocation & Dedicated Timeline Provisions"
"c001M02N29","Availability of VR equipment","Organizational Dependency","I","Immersive virtual reality training for excavation safety and hazard identification","The study required Oculus Quest headsets and controllers","Not mentioned","p.6-7, Section 3","OD05","Operational Resource Allocation & Dedicated Timeline Provisions"
"c001M02N30","Dedicated training time","Organizational Dependency","I","Immersive virtual reality training for excavation safety and hazard identification","Participants had time limits for assessments (e.g., 10 min for practical performance)","Not mentioned","p.9, Section 4.2.1","OD05","Operational Resource Allocation & Dedicated Timeline Provisions"
"c001M02N31","Massey University Research Ethics Committee approval","Organizational Dependency","E","Immersive virtual reality training for excavation safety and hazard identification","Massey University Research Ethics Committee granted ethics approval (Southern A, Application 18/21)","Required ethical clearance","p.11, Section 4.3","OD06","Institutional Governance, Standards Compliance & Ethics Clearances"
"c001M02N35","Forgetting curve (Ebbinghaus)","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Newly acquired knowledge is vulnerable because forgetting always occurs, as demonstrated by Ebbinghaus's forgetting curve","Exponential decay of memory over time","p.17, Section 6","LI01","Human, Cognitive & Knowledge Retention Limitations"
"c001M02N36","Poor knowledge retention in traditional training","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","For the Manual group, significant difference between post-training and retention (p=0.030)","Knowledge decay after 4 weeks","p.15, Section 5.4.1","LI01","Human, Cognitive & Knowledge Retention Limitations"
"c001M02N37","Only questioning as instructional method","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","This study uses only questioning as the instructional method for the proposed VR training system","Limited pedagogical approach","p.18, Section 6.1","LI02","Technical, System & Data Limitations"
"c001M02N38","Only explicit knowledge delivered","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","The VR training system only delivers explicit knowledge to participants","No implicit or procedural knowledge transfer","p.18, Section 6.1","LI01","Human, Cognitive & Knowledge Retention Limitations"
"c001M02N39","Lack of long-term practical performance measurement","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Whether VR improves long-term practical performance is yet to be investigated","Study did not measure practical retention beyond immediate post-training","p.18, Section 6.1","LI02","Technical, System & Data Limitations"
"c002M01N01","Traditional craftsmanship skills","Tacit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The craftsmanship process such as wooden construction and rammed earth technology are recorded in sequence.","Specific uncodified construction know-how possessed by historical craftsmen.","Page 2, Section 2.1.3","TA01","Somatic Tacit Knowledge"
"c002M01N02","Traditional Artisans","Knowledge Holder","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Bulgaria's digital authorization system for intangible cultural heritage (ICH) skills raised traditional artisans income by 40%.","Specific roles or experts possessing physical cultural craft knowledge.","Page 7, Section 4.2.1","KH01","Field Practitioners & Site Operators"
"c002M01N03","Technical Standard for Digitalization of Historical Buildings (2021)","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","A graded protection framework is proposed based on Technical Standards for Historical Building Digitization (2021).","Rule-based national technical guideline for modeling metrics.","Page 2, Section 1.2.1","EX01","Regulatory Codes & Safety Standards"
"c002M01N04","Digital Protection Standard for Intangible Cultural Heritage (2023)","Explicit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","A dynamic narrative system is proposed under the standard of Digital Protection of Intangible Cultural Heritage (2023).","Rule-based cataloguing standard for safeguarding intangible heritage.","Page 2, Section 1.2.2","EX01","Regulatory Codes & Safety Standards"
"c002M01N05","Historical knowledge and cognition of wartime life","Tacit Knowledge","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The dynamic narrative technology triggered events by timelines... which improved the understanding of history by more than 50%.","The mental understanding and retention of historical facts absorbed by visitors.","Page 6, Section 3.3","TA02","Cognitive Tacit Knowledge"
"c002M01N06","Visitors","Knowledge Holder","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Digital technology can improve visitors' immersion in virtual experience (the VR stay rate has been increased by 40%).","The consumers or individuals absorbing the preserved historical knowledge.","Page 1, Abstract","KH01","Field Practitioners & Site Operators"
"c002M01N07","Paper-based Surveying","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","1st (1930s) Paper-based Surveying, 2D Planar, 5-8% error rate.","Legacy non-digital physical drafting approach.","Page 7, Section 4.3","TR03","Deliberate Practice"
"c002M01N08","Total Station Surveying","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","2nd (1980s) Total Station + Film Photography, 2-3% error rate.","Legacy electronic but human-driven distance measurement method.","Page 7, Section 4.3","TR03","Deliberate Practice"
"c002M01N09","Traditional exhibition methods / physical display","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Compared with traditional exhibition, VR exhibition hall extended average stay time for 22 minutes.","Static, physical display workflows utilizing text and pictures.","Page 3, Section 2.3.2","TR08","Storytelling"
"c002M01N10","3D Laser Scanning (FARO Focus S350 / Leica RTC360)","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","FARO Focus S350 realizes millimeter-level point cloud modeling... average error margin <0.5%.","Digital capture workflow for geometric point cloud construction.","Page 2, Section 2.1.1","TP02","Real-time Cloud Orchestration & Integration"
"c002M01N11","Drone Oblique Photography","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Drone Oblique Photography Images acquired from the air with 50-150m height cover multi-angle views.","Digital aerial mapping and texturing workflow.","Page 2, Section 2.1.2","TP02","Real-time Cloud Orchestration & Integration"
"c002M01N12","Interactive Knowledge Graph","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Then, an interactive knowledge graph is constructed to digitalize the recording of craftsmanship process.","Digital data hosting structure mapping technical flows.","Page 2, Section 2.1.3","TP02","Real-time Cloud Orchestration & Integration"
"c002M01N13","VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Based on the NetEase Yaotai architecture, a co-creation module of 'Red Journey' is constructed.","Immersive virtual environments for experiential retention.","Page 2, Section 2.2.2","TP01","Immersive Safety Simulation & Training"
"c002M01N14","AR Scene Overlay / Guided Tour (Unity3D)","Technology-enable Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","A digital twin system realizes the real-time monitoring of visitors and AR virtual tour.","Mobile application rendering interactive graphics over physical views.","Page 2, Section 2.2.1","TP01","Immersive Safety Simulation & Training"
"c002M01N15","3D Laser Scanning Technology","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Based on 3D laser scanning, VR (Virtual Reality) and big data, we collect architectural data.","Hardware laser tracking and point cloud processing framework.","Page 1, Abstract","TE05","Imaging, Sensing, and Perception Technologies"
"c002M01N17","Unity3D Engine","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","The historical cognition of visitors increased by 53% after the QR code animation triggered by Unity3D engine.","Cross-platform software engine powering real-time rendering.","Page 2, Section 2.2.1","TE02","Human–Computer Interaction and Immersive Technologies"
"c002M01N18","NetEase Yaotai Architecture","Digital Technology","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Based on the NetEase Yaotai architecture, a co-creation module of 'Red Journey' is constructed.","Metaverse framework supporting massive online user co-creation.","Page 2, Section 2.2.2","TE02","Human–Computer Interaction and Immersive Technologies"
"c002M01N19","Rural internet infrastructure","Environmental Dependency","I","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","point cloud data transmission failure rate in rural areas is as high as 18.7% (vs 2.3% in the urban cores).","External network utilities determining transmission success.","Page 3, Section 2.4.1","ED04","Socio-Technical Utilities & Infrastructure Access"
"c002M01N20","High modeling cost using advanced methods","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","cost of modeling per building is 3-5 times higher than traditional methods.","Financial constraint of adopting high-end digitization equipment.","Page 3, Section 2.4.1","LI03","Cost, Resource & Structural Limitations"
"c002M01N21","Rural data transmission failure and low interoperability","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","county-level projects is restricted to LOD200 models... data interoperability rate is below 30%.","Network bottleneck rendering large point clouds unusable in rural zones.","Page 3, Section 2.4.1","LI02","Technical, System & Data Limitations"
"c002M01N22","Fragmented scenarios (lack of wartime life recreation)","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","85% of digital exhibitions only passively show building exterior... but lack recreation of wartime life.","System shortcoming where displays lack live or animated context.","Page 3, Section 2.4.2","LI02","Technical, System & Data Limitations"
