node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N12,Reactive and untracked equipment maintenance process,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The chosen case study focuses on a common and inefficient process for managing unplanned equipment downtime... almost entirely reactive and relies on informal, manual communication.","The legacy, human-driven operational routine used to handle machine breakdowns.",Page 5
c201M02N14,Verbal fault reporting from operator to supervisor,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,He shuts it down and walks over to the maintenance workshop to report it. He finds the maintenance supervisor and verbally explains the problem,"Non-digital, spoken transfer of fault information",Section 3.2
c201M02N15,Manual spare parts inventory check by technician,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,They walk back to the workshop to check the physical spare parts inventory,Physical inspection of stock without digital system,Section 3.2
c201M02N17,Handwritten sign placement on machine,Traditional Human-central Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,They return to the machine and leave a handwritten 'Awaiting Part' sign on it,Physical marking of machine status,Section 3.2
c202M01N09,Traditional paper-based manual training,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"We compare the MAR application, which incorporates the signaling principle, with a traditional paper-based manual.",The baseline training method relying on text manuals and human self-study.,"PAGE 2, Line 83"
c202M02N10,Paper manual assembly training,Traditional Human-central Practice,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"Participants were required to read the paper manual as part of the traditional learning intervention. While assembling, they repeatedly referred to the paper manual.",Learning intervention using a physical book manual with text and images.,Page 5 (3.1 Intervention)
c203M01N09,Fragmented departmental communication,Traditional Human-central Practice,I,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,"the construct focuses on interdepartmental information sharing within firms. However, the connection between I4.0 technologies and CE capabilities may depend more heavily on information exchange at the supply chain level.",Legacy manual or siloed workflows for internal data distribution,"Page 15, Line 374"
c203M02N10,Interdepartmental information sharing,Traditional Human-central Practice,E,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,'the construct [information dissemination activities] focuses on interdepartmental information sharing within firms' (p.15),Non‑digital (or traditional) practice of sharing information across departments.,p.15
c204M01N11,Nash Bargaining Model,Traditional Human-central Practice,E,A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance,"Conventional models such as Nash bargaining fail to analyze dynamic, knowledge-driven contributions.",A classical bilateral negotiation framework from noncooperative game theory.,"Page 1, Source 5; Page 2, Source 77"
c204M01N12,Stackelberg Model,Traditional Human-central Practice,E,A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance,Stackelberg leadership models have been widely applied to study power dynamics but rely on sequential dominance assumptions.,A hierarchical game-theoretic model featuring a dominant leader and a follower.,"Page 1, Source 5; Page 2, Source 77, Source 78"
c205M01N08,Traditional knowledge management methods,Traditional Human-central Practice,E,Research On The Construction Of Aerospace Quality Knowledge System And Proactive Services,the traditional knowledge management methods have been difficult to meet the growing demand,"Legacy human-driven database searching, manual file lookups, and passive text study routines","Page 1, Source 25"
c206M01N08,Traditional online platforms training (ZOOM/TEAMS),Traditional Human-central Practice,E,Analysis Of The Feasibility Of Immersive Virtualization In Technical Training,The teams of workers in the production and maintenance sectors have already gone through the mandatory training process in regulatory standard 35 (NR-35) in 2022 in the traditional online model,Legacy structural approach leveraging linear screen-sharing software for instruction delivery,"Page 7, Practical Application"
c206M02N12,Face-to-face practical training,Traditional Human-central Practice,E,Analysis Of The Feasibility Of Immersive Virtualization In Technical Training,Face-to-face training was severely impacted by the COVID-19 pandemic.,Not mentioned,p.3
c207M01N08,Cognitive Apprenticeship,Traditional Human-central Practice,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,"Traditionally, workplace instruction relied on 'cognitive apprenticeship', where a master directly teaches an apprentice the skills needed to fulfill their tasks",A legacy human-driven training model where an experienced master visually and verbally transfers skills directly to an apprentice.,"PAGE 1, Lines 48"
c207M01N09,Paper-based Work Instructions,Traditional Human-central Practice,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,"At companies C, D, E and F, a physical or printed version of the drawing is often used",The legacy practice of distributing hardcopy printed manuals or drawings to workspaces for user self-study.,"PAGE 4, Lines 180"
c208M01N09,Human-Robot Interaction,Traditional Human-central Practice,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,"This phase can also involve the interaction with humans, who can trigger new requests and/or validate inferences made by the robot.",An active operational collaborative training and testing workflow where raw requests are made and decisions validated,"Page 6, Line 147"
c209M01N17,Traditional internal R&D mechanisms,Traditional Human-central Practice,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,Social media represents a digital infrastructure complementing traditional internal R&D mechanisms.,Non-digital or legacy firm-bounded human workflows for project scoping and creation,Page 3
c209M02N23,Knowledge-sharing workshops,Traditional Human-central Practice,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,knowledge-sharing workshops,Structured in-person learning sessions,"Page 13, Section 4.4.1"
c210M01N07,Traditional step-by-step document distribution,Traditional Human-central Practice,E,Research On The Construction Technology Of Expert Knowledge System For Aviation Equipment Quality Issues,"Currently, they mainly rely on single channels such as confidential information to be distributed step by step",Not mentioned,"Page 1, Source 38"
