"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N10","FLUX.1-Fill","Digital Technology","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models","Generative AI model dedicated to localized image inpainting tasks.","PAGE 3, Line 100","TE01","Artificial Intelligence and Computational Intelligence"
"c101M01N11","FLUX.1-dev","Digital Technology","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models","Generative development base model facilitating quality optimization.","PAGE 3, Line 100","TE01","Artificial Intelligence and Computational Intelligence"
"c101M01N12","ComfyUI","Digital Technology","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","AI enhancement used FLUX.1-Fill and FLUX.1-dev models via ComfyUI, an open-source workflow interface","Open-source node-based graphical interface for running diffusion models.","PAGE 3, Line 109","TE02","Human–Computer Interaction and Immersive Technologies"
"c101M01N13","GGUF Q8 quantization","Digital Technology","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","with models loaded using GGUF Q8 quantization reducing computational requirements","A high-fidelity compression method allowing publication-grade AI operation on limited hardware.","PAGE 3, Line 109","TE01","Artificial Intelligence and Computational Intelligence"
"c101M01N14","DaVinci Resolve","Digital Technology","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","All video assembly occurred in DaVinci Resolve. This frame-based approach provided precise control","Non-linear video editing software used to assemble frames and manage selective masks.","PAGE 3, Line 97","TE02","Human–Computer Interaction and Immersive Technologies"
"c101M01N15","Adobe Podcast's free web-based enhancement tool","Digital Technology","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","with professional quality achieved through Adobe Podcast's free web-based enhancement tool.","An AI-driven audio filtering application for enhancing dialogue tracks.","PAGE 3, Line 94","TE01","Artificial Intelligence and Computational Intelligence"
"c102M01N09","Kinect V2 sensor","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The system employs the Kinect V2... selected due to its stable 25-joint tracking at 30 Hz.","A depth and skeletal tracking camera hardware peripheral.","PAGE 3, PAGE 5","TE05","Computer Vision, Sensing, and Perception"
"c102M01N10","Cascadeur software","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","All motion sequences are manually created as 3D keyframe animations using Cascadeur.","A physics-based keyframe animation tool supporting inverse kinematics.","PAGE 6","TE02","Human–Computer Interaction and Immersive Technologies"
"c102M02N29","Unity3D","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Strong compatibility with Unity3D","Cross-platform game engine used for rendering virtual environments, avatars, and UI","Section 3.1","TE02","Human–Computer Interaction and Immersive Technologies"
"c102M02N30","Dynamic Time Warping (DTW) algorithm","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The motion recognition module applies Dynamic Time Warping (DTW) to match the real-time motion sequence P with predefined reference templates Q","Algorithm that calculates temporal alignment cost across joints to classify motion quality as Good/Pass/Fail","Section 3.3.2","TE08","Rule-Based, Decision and Expert Systems"
"c102M02N31","Skeletal tracking (25 joints)","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Microsoft Kinect V2 sensor... tracks 25 skeletal joints at a frame rate of 30Hz","Real-time capture of 3D coordinates (x,y,z) for each joint with tracking confidence values","Section 3.3.1","TE05","Computer Vision, Sensing, and Perception"
"c102M02N32","Double exponential smoothing filter","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","A double exponential smoothing filter is applied to each joint trajectory to mitigate sensor noise and reduce temporal jitter","Preprocessing technique to enhance signal stability and reduce false positives during gesture recognition","Section 3.3.1","TE05","Computer Vision, Sensing, and Perception"
"c102M02N33","Final IK (inverse kinematics rig)","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The user avatar is animated using an IK rig (Final IK)","Inverse kinematics tool for real-time avatar animation based on captured skeletal data","Section 3.3.4","TE02","Human–Computer Interaction and Immersive Technologies"
"c102M02N34","RT-Voice SDK","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","RT-Voice SDK is used to vocalize joint-specific guidance, synchronized with visual cues at 60 fps and an 80 ms response latency","Software development kit for text-to-speech and voice feedback integration","Section 3.3.4","TE02","Human–Computer Interaction and Immersive Technologies"
"c102M02N35","Cascadeur","Digital Technology","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The animation sequences were produced using Cascadeur, a physics-based keyframe animation tool that supports inverse kinematics (IK), center-of-mass alignment, and trajectory prediction","Professional 3D animation software used to create standardized Baduanjin movement assets","Section 3.4","TE02","Human–Computer Interaction and Immersive Technologies"
