"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N18","Resource-limited settings","Environmental Dependency","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","This approach represents a practical, scalable strategy for enhancing pediatric surgery education, particularly in resource-limited settings.","Medical training facilities lacking corporate studio budgets or green-screen infrastructure.","PAGE 1, Line 19","ED02","Market Dynamics & Industry Baselines"
"c103M01N22","Good Manufacturing Practices Standards","Environmental Dependency","E","Game-based learning as training to use a chemotherapy preparation robot","the standards of quality expected in Good Manufacturing Practices must be ensured.","Strict environmental and corporate compliance rules governing sterile medical manufacturing spaces.","Page 2","ED01","Macro-Regulatory & Jurisdictional Frameworks"
"c103M02N38","Cleanroom environment","Environmental Dependency","E","Game-based learning as training to use a chemotherapy preparation robot","One team at a time entered the cleanroom with the training pharmacist.","Physical controlled environment where chemotherapy is prepared.","Page 2, 'practical part'","ED03","Physical Site Conditions & Spatial Configuration"
"c103M02N39","Physical constraints of isolator","Environmental Dependency","E","Game-based learning as training to use a chemotherapy preparation robot","The repetitiveness and awkward postures associated with chemotherapy preparation within an isolator put operators at risk of musculoskeletal disorders.","Physical workspace limitations of the isolator that affect operator posture and risk.","Page 2, 'Introduction'","ED03","Physical Site Conditions & Spatial Configuration"
"c104M01N15","WAV/MP3 audio format specifications","Environmental Dependency","E","Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial","Phase 2 evaluated original audio directly uploaded to the ChatGPT web interface in WAV/MP3 16-kHz sampling rate.","Technical system media baselines necessary to achieve reproducible audio parsing.","Page 4","ED04","Socio-Technical Utilities & Infrastructure Access"
"c104M02N26","Hospital inpatient setting","Environmental Dependency","E","Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial","The study participants were patients hospitalized in a tertiary hospital from May 2025 to July 2025 who needed to receive medical education.","The physical location of care delivery, which shapes the educational context.","Page 4, Participants","ED03","Physical Site Conditions & Spatial Configuration"
"c104M02N28","Mandarin medical context","Environmental Dependency","E","Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial","iFlytek automatic speech recognition (Mandarin medical context; no manual correction).","The study was conducted in a Mandarin‑speaking hospital, influencing ASR and voice model training.","Page 4, Independent Tool Validation Study","ED02","Market Dynamics & Industry Baselines"
"c105M02N28","4-week time limit (free version)","Environmental Dependency","E","Removing A Blindfold': Perspectives Of Physical Therapists After Completing The Peak-Portuguese E-Learning Course","The training is offered for free (limited access for 4 weeks, no completion certificate)","External constraint on duration of course access for free users","Page 2","ED02","Market Dynamics & Industry Baselines"
"c106M01N20","Internet Infrastructure","Environmental Dependency","E","Assessing Older Adults' Perspectives On Digital Game-Related Strategies To Foster Active And Healthy Ageing","allow players to play without an internet connection, as the internet can be unstable","External connectivity network operating outside immediate lab controls","PAGE 8, Line 274","ED04","Socio-Technical Utilities & Infrastructure Access"
"c108M01N10","Internet access","Environmental Dependency","I","Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study","In recent years, the number of MOOCs has grown exponentially, in line with the increase in the number of people with access to the internet.","Public digital communication infrastructure necessary to connect a local user to remote educational host databases.","Page 2, Massive Open Online Courses","ED04","Socio-Technical Utilities & Infrastructure Access"
"c108M02N32","Access to mobile devices","Environmental Dependency","I","Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study","Ease of access to communication and information devices by nurses","Not mentioned","Page 1, Abstract","ED04","Socio-Technical Utilities & Infrastructure Access"
"c109M02N14","Community-based elderly centers","Environmental Dependency","E","The Interactive Use Of Augmented Reality For Educating The Elderly On Common Age-Related Eye Disease","recruited from 10 local daily elderly centers","Not mentioned","Page 2, Participants","ED03","Physical Site Conditions & Spatial Configuration"
"c109M02N15","Availability of mobile devices","Environmental Dependency","E","The Interactive Use Of Augmented Reality For Educating The Elderly On Common Age-Related Eye Disease","accessibility of the AR headset, prevalence of mobile devices","Not mentioned","Page 8, Strengths","ED04","Socio-Technical Utilities & Infrastructure Access"
"c109M02N16","Portability of the set-up","Environmental Dependency","E","The Interactive Use Of Augmented Reality For Educating The Elderly On Common Age-Related Eye Disease","portability of the set-up","Not mentioned","Page 8, Strengths","ED03","Physical Site Conditions & Spatial Configuration"
