sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"KH03","Frontline and Operational Practitioners","c101M01N02","user","The user initiated the conversation by describing the entire reactive maintenance process in a detailed message.","KH03","Frontline and Operational Practitioners"
"KH16","Ambiguous Knowledge Holder(*)","c101M01N03","veteran staff","The paper states that undocumented expertise departs when veteran staff retire or switch jobs.","KH16","Ambiguous Knowledge Holder(*)"
"KH03","Frontline and Operational Practitioners","c101M02N06","Assembly line operator","An assembly line operator hears a strange noise from a machine. He shuts it down and walks over to the maintenance workshop to report it","KH03","Frontline and Operational Practitioners"
"KH07","Operational, Project, and Middle Managers","c101M02N07","Maintenance supervisor","The supervisor grabs the nearest available technician, who may or may not be the expert on that specific machine","KH07","Operational, Project, and Middle Managers"
"KH03","Frontline and Operational Practitioners","c101M02N08","Non-specialist technician","the nearest available technician, who may or may not be the expert on that specific machine, and sends them to investigate","KH03","Frontline and Operational Practitioners"
"KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role","c102M01N10","Human","Temporal-video examples show a human touching the robot and reaching out a hand, from which intentions are predicted.","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"KH03","Frontline and Operational Practitioners","c102M02N16","Humans","both the robot and the human have their own autonomy","KH03","Frontline and Operational Practitioners"
"KH16","Ambiguous Knowledge Holder(*)","c102M02N17","Robots","robotic component within the loop functions acts as a natural extension of the human body","KH16","Ambiguous Knowledge Holder(*)"
"KH02","Skilled Trades and Craft Practitioners","c103M01N14","test subject","One test subject performed all handwork types over six iterations.","KH02","Skilled Trades and Craft Practitioners"
"KH11","Educators, Trainers, and Mentors","c104M01N06","instructors","Instructors demonstrated how to assemble the IoT circuit and supplied information related to IoT.","KH11","Educators, Trainers, and Mentors"
"KH06","Domain Experts and Expert Reviewers","c104M01N07","two subject matter experts","Two subject matter experts separately reviewed the test items and agreed that they appropriately examined the target content.","KH06","Domain Experts and Expert Reviewers"
"KH11","Educators, Trainers, and Mentors","c104M02N10","Researchers/Instructors","Instructors demonstrated how to assemble the IoT circuit and gave information.","KH11","Educators, Trainers, and Mentors"
"KH02","Skilled Trades and Craft Practitioners","c105M01N14","Experienced employees","CTA respondents had substantial expertise in the selected process and were usually experienced employees.","KH02","Skilled Trades and Craft Practitioners"
"KH06","Domain Experts and Expert Reviewers","c105M01N15","Company A experts","Two Company A pilot participants were experts and demonstrated differing task practices.","KH06","Domain Experts and Expert Reviewers"
"KH06","Domain Experts and Expert Reviewers","c105M02N12","Experts","the expert has identified a workable order that he generally uses","KH06","Domain Experts and Expert Reviewers"
"KH07","Operational, Project, and Middle Managers","c105M02N13","Management","respondents are all employees of the company in question, ideally with different roles (management, experienced employees and newer employees)","KH07","Operational, Project, and Middle Managers"
"KH03","Frontline and Operational Practitioners","c105M02N14","Operators","employees in the primary process indeed participated","KH03","Frontline and Operational Practitioners"
