uuid,title,coverage_count
a6d2086c-3a25-41a0-984c-9245786f6e44,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,9
1ec65571-bd31-4401-b380-64122e6deadf,Sheet Metal Forming Tooling- State Of Art And Practice In Five Manufacturing Companies,8
d2d5b162-48c0-411e-9c8b-b39bd5d2f4f8,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,4
0d86bab1-b5e6-4d5e-bedd-989c160e98d4,Evaluation Of An Immersive Vr-Based Chemical Production Safety Learning Using A Transferable Psychosomatic Approach,4
c71c6527-2bbe-4d7e-a25b-87e0aa645916,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,2
5b6d2795-de88-433c-b09f-da494089621f,A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance,4
87e53443-8761-4c75-9a8b-66711fa742cd,Research On The Construction Of Aerospace Quality Knowledge System And Proactive Services,4
61d4676c-ee54-4f31-af21-fcfdb89c66ca,Analysis Of The Feasibility Of Immersive Virtualization In Technical Training,2
4d1ae83f-d868-491a-9b13-cdb1e58f856e,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,2
fed0ca71-f6a7-44b4-8df8-759057e303c9,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,3
47813a1c-34ea-4908-a8cf-8dae007e5caf,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,2
468e4d83-88c4-4bbc-853c-69540beae77d,Research On The Construction Technology Of Expert Knowledge System For Aviation Equipment Quality Issues,3
97d1d2b6-582c-4670-bb25-c747102d1c2b,Knowledge Encapsulation And Application Based On Domain Knowledge Graph,3
1fee803c-48b7-4b81-a162-20e489503a6b,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,1
df61758e-d919-40a5-991e-1a13ae64d48f,Education 4.0 For Industry 4.0: A Mixed Reality Framework For Workforce Readiness In Manufacturing,2
70b39243-9715-4123-9e29-e5d64482b074,The Process Of Manufacturers′ Leapfrog Servitization Transformation Based On Digital Technology: A Case Study Of Noblelift,2
