src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
c006M01N01,c006M01N03,be_held_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","Valuable information on incidents, accidents and best practices is lost as staff changes in companies",PAGE 1
c006M01N02,c006M01N05,be_held_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",conducts interviews with workers involved in construction who apply PtD and occupational safety and health (OHS) measures,PAGE 2
c006M02N02,c006M02N10,be_held_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",The simulations were carried out by the team of professionals ... identify the hazards,Section 3.2
c006M02N03,c006M02N10,be_held_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",the team of professionals in charge of health and safety management,Section 3.2
c006M02N01,c006M01N05,be_held_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",information is lost as staff changes,Introduction
c006M02N02,c006M02N12,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",From the simulations ... hazards were identified and served as input data for the IPERC tool,Section 3.3
c006M02N03,c006M02N12,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",the RR tool ... to compare risk factors,Section 3.3
c006M02N01,c006M02N12,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",Lessons Learned (LA),Section 3.3
c006M02N04,c006M02N12,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",Requests for Information on Previously Taken Controls (RFI),Section 3.3
c006M02N10,c006M02N12,participate_in,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",The simulations were carried out by the team of professionals ...,Section 3.2
c006M02N12,c006M02N15,adopt,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",Functions such as ... macros and Visual Basic programming were used to develop the template,Section 3.3
c006M02N02,c006M02N13,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",This server will be populated with data from an application created in Microsoft Excel during Phase 3,Section 3.4
c006M02N03,c006M02N13,be_transferred_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",populated with data from an application ... (includes RR),Section 3.4
c006M02N04,c006M02N13,be_transferred_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",populated with data from an application ... (includes RFI),Section 3.4
c006M02N01,c006M02N13,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",storing the information from previous phases,Section 3.4
c006M02N13,c006M02N16,adopt,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",relational table (SQL) data server has been developed on the Microsoft Azure platform,Section 3.4
c006M02N13,c006M02N18,adopt,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",relational table (SQL) data server,Section 3.4
c006M01N01,c006M02N13,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",key performance indicators (KPI) of the Peruvian OHS standard G-050 ... were affected,Section 3.4
c006M02N14,c006M02N17,adopt,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","In PowerApps, an application was created",Section 3.4
c006M02N10,c006M02N14,participate_in,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",to monitor and control the OHS management,Section 3.4
c006M01N01,c006M02N14,be_transferred_by,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",visualize the information ... such as Monthly Frequency Index ...,Section 3.4
c006M02N01,c006M02N14,be_transferred_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",visualize the information of the previous phases,Section 3.4
c006M02N02,c006M02N14,be_transferred_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",visualize the information of the previous phases,Section 3.4
c006M02N03,c006M02N14,be_transferred_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",visualize the information of the previous phases,Section 3.4
c006M02N04,c006M02N14,be_transferred_by,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",visualize the information of the previous phases,Section 3.4
c006M02N13,c006M02N19,resolve,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",preservation of information through the database ... promote continuous improvement,Section 5
c006M02N13,c006M02N20,resolve,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",centralized database allows for knowledge retention ... fostering a culture of continuous improvement,Abstract
c006M02N13,c006M02N21,resolve,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","information can be organized, classified, and visualized ... promoting continuous improvement",Section 3.4
c006M02N12,c006M02N21,resolve,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",the lessons learned tool of Phase 3 ... promote continuous improvement,Section 5
