src_node_id,dst_node_id,relation_type,evidence_label,case_title
c209M01N01,s003M01EK02,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N02,s003M01EK02,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N03,s003M01EK02,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N04,s003M01EK01,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N05,s003M01EK02,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N06,s003M01EK03,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N07,s003M01TK05,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N08,s003M01TK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N09,s003M01TK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N10,s003M01TK02,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N12,s003M01KL01,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N13,s003M01THR13,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N14,s003M01THR12,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N15,s003M01THR12,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N16,s003M01TP01,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N17,s003M01TP01,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N18,s003M01TE05,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N19,s003M01TE04,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N20,s003M01TE05,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N21,s003M01TE05,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N22,s003M01TE03,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N23,s003M01TE03,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N24,s003M01TE02,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N25,s003M01TE03,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N26,s003M01OD05,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N27,s003M01LI04,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N28,s003M01LI08,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N29,s003M01LI04,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N30,s003M01LI04,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N31,s003M01LI07,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N32,s003M01LI08,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N33,s003M01LI08,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N34,s003M01LI06,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N35,s003M01TP01,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N36,s003M01LI06,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N37,s003M01LI05,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N38,s003M01LI05,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N39,s003M01LI06,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N40,s003M01LI06,is an instance of,G,SIC 20-39 - Manufacturing
c209M01N41,s003M01LI06,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N03,s003M01TK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N04,s003M01TK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N05,s003M01TK10,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N06,s003M01TK13,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N07,s003M01TK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N09,s003M01EK02,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N10,s003M01EK07,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N11,s003M01EK07,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N12,s003M01EK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N13,s003M01EK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N14,s003M01EK06,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N15,s003M01EK03,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N16,s003M01EK02,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N18,s003M01EK03,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N21,s003M01KH15,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N22,s003M01KH14,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N23,s003M01KH14,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N24,s003M01KL01,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N27,s003M01THR12,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N29,s003M01TP01,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N31,s003M01TP01,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N32,s003M01TP01,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N37,s003M01TE05,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N39,s003M01TE04,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N40,s003M01TE04,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N43,s003M01OD05,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N44,s003M01OD01,is an instance of,G,SIC 20-39 - Manufacturing
c209M02N45,s003M01OD01,is an instance of,G,SIC 20-39 - Manufacturing
