"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement"
"N01","N03","be held by","E","Immersive virtual reality training for excavation safety and hazard identification","Construction professionals hold excavation safety knowledge (they were participants in the knowledge test, Section 5.1)."
"N01","N04","be held by","E","Immersive virtual reality training for excavation safety and hazard identification","University students hold excavation safety knowledge (they were participants in the knowledge test, Section 5.1)."
"N02","N03","be held by","I","Immersive virtual reality training for excavation safety and hazard identification","Construction professionals demonstrated practical performance skills in VR (pilot study, Section 4.1)."
"N02","N04","be held by","I","Immersive virtual reality training for excavation safety and hazard identification","University students demonstrated practical performance skills in VR (pilot study, Section 4.1)."
"N01","N05","be captured or retained through","E","Immersive virtual reality training for excavation safety and hazard identification","The Manual group significantly increased safety knowledge immediately after training (Section 5.4.1)."
"N01","N06","be captured or retained through","E","Immersive virtual reality training for excavation safety and hazard identification","The VR group significantly increased safety knowledge immediately after training and retained it at four weeks (Section 5.4.1)."
"N02","N06","be captured or retained through","E","Immersive virtual reality training for excavation safety and hazard identification","Participants’ practical performance significantly increased after VR training (pilot study, Section 4.4.1)."
"N05","N08","depend on","E","Immersive virtual reality training for excavation safety and hazard identification","The safety manual was based on OSHA and WorkSafe excavation safety guidelines (Section 3.3)."
"N06","N08","depend on","E","Immersive virtual reality training for excavation safety and hazard identification","The VR training objectives were developed from OSHA and WorkSafe guidelines (Section 3.3)."
"N06","N07","depend on","E","Immersive virtual reality training for excavation safety and hazard identification","The VR system required Oculus Quest and a 3m×3m physical space (Sections 3, 3.2)."
"N05","N09","be constrained by","E","Immersive virtual reality training for excavation safety and hazard identification","The Manual group showed significant knowledge decay from post-training to retention (p=0.030), consistent with the forgetting curve (Section 5.4.1)."
"N05","N10","be constrained by","E","Immersive virtual reality training for excavation safety and hazard identification","Traditional training lacks hands-on operation; VR provides learn-by-doing (Section 6)."
"N06","N11","be constrained by","E","Immersive virtual reality training for excavation safety and hazard identification","The study assesses retention only by knowledge test, not practical performance (Section 6.1)."
"N06","N12","be constrained by","E","Immersive virtual reality training for excavation safety and hazard identification","This study only applies health and safety manuals as a traditional training method (Section 6.1)."
"N06","N13","be constrained by","E","Immersive virtual reality training for excavation safety and hazard identification","This study uses only questioning as the instructional method (Section 6.1)."
"N06","N14","be constrained by","E","Immersive virtual reality training for excavation safety and hazard identification","The participants consisted of university students and construction professionals, not ground workers (Section 6.1)."
