Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link
Past Present and Future of Simulation in Pediatrics,"Davila U, Price A.","The development of simulation has been evolving in technology and utilization over the last several centuries, with the increased application over the past 2 to 3 decades in the field of pediatrics. Today, simulation-based medical education (SBME) is widely used by a majority of pediatric training programs and is marked by a large variety of technologies and continued interest and availability of research in the field.  The history of simulation in medicine has its origins in fields such as the military, commercial aviation, and NASA. Disciplines, like medicine, where the importance of safe knowledge acquisition and practice is of utmost importance, quickly followed suit. The application of medical simulation to pediatrics had its infancy as an adjunct to obstetrics and surgical training. One of the earliest examples of simulation for the express purpose of medical education is from the late 1700s, where pelvic part-task trainers were developed with a pelvis, glass uterus filled with fluid, and a flexible fetus used to teach midwives delivery skills. Over the next two hundred years, there were continued improvements in the “realism” of part-task trainers and even some full-body mannequins, but the modern era of mannequin trainers had their roots in the field of anesthesia. In the mid-1900s, more sophisticated mannequins were developed. Unfortunately, while these proved to be effective training tools but were far too expensive for mass production. The anesthesia community then led a medical education reform over the coming decades to incorporate simulation-based medical education into the mainstream.   Today, there are numerous simulation centers and hospitals that utilize a variety of human patient simulators that range from low to high fidelity mannequins, the most sophisticated of which are capable of responding to learner stimuli such as drug administration, compressions, voice, physical exam, and even procedural interventions. The simulation armamentarium also includes task trainers, standardized patients, desktop/screen-based, and virtual and augmented reality (VR and AR). Each technology has its utility both alone and in combination, depending on the educational objective hoping to be met.",,StatPearls,Treasure Island (FL),2026,Book Chapter,unknown,
Internet Addiction Status and Related Factors among Medical Students: A Cross-Sectional Study in Western Iran,"Khazaie H, Lebni JY, Abbas J, Mahaki B, Chaboksavar F, Kianipour N, Toghroli R, Ziapour A.","BACKGROUND: In recent years, Internet and social media technology use have emerged as an integral tool of human society, and the evolution of technological integration, cyberspace, and web-technology has become a common practice in educational institutions. Internet usage among students has played an indispensable role in learning behavior; however, the excessive usage of the internet and social media leads to internet addiction. This original study has performed a focalized scrutiny on revealing relationships between internet addiction and associated factors among the students of medicine, dentistry, and pharmaceutical departments. METHODS: This descriptive and analytical study recruited medical students from the Self-governing Education Incubator of Kermanshah. This survey distributed questionnaires among the respondents' three departments, and this statistical data reported on 420 valid responses of the respondents. They represent first and second-semester medical students of the academic year 2017-2018. The study selected medical students by applying Cochran's Sample Size Formula through Stratified Random Sampling and cross-sectional research design. The survey has utilized a demographic questionnaire of Young's Internet Addiction Test (IAT) for the data collection. The study analyzed received data by using SPSS version 23 and performed the descriptive statistics, and analytical statistics (t-test and ANOVA). RESULTS: The results of the present study established that the majority of subjects were female students (53.3%), and the average age was 23.84 ± 2.14, including the students of all departments. Besides, findings specified that the overall mean and standard deviation scores were 3.34 and ±0.88. Internet addiction revealed mean and the standard deviation score measured for all students 3.29 ± 0.73, 3.17 ± 0.92, and 3.57 ± 0.64 correspondingly. The survey results illustrated that medical students' internet addiction substantially correlated with demographic variables, such as age, marital status, the field of study, academic term, significant time of consuming the internet, the key reason of utilizing the internet, and daily usage of the internet (p < .05). CONCLUSION: The results of the study specified that 25% of medical students showed internet addiction. The students are increasingly using the internet, and it has penetrated among students. The design and implementation of adequate educational programs and the application of internet-based efficiency interventions are essential for both knowledge acquisition and medical students' healthy behavior.",university students,Community Health Equity Res Policy,United States,2023,Journal Article,unknown,10.1177/0272684X211025438
Exploring the impact of interactive movement-based anatomy learning in real classroom setting among kinesiology students,"Rabattu PY, Debarnot U, Hoyek N.","Descriptive and functional anatomy is one of the most important sciences for kinesiology students. Anatomy learning requires spatial and motor imagery abilities. Learning anatomy is complex when teaching methods and instructional tools do not appropriately develop spatial and motor imagery abilities. Recent technological developments such as three-dimensional (3D) digital tools allow to overcome those difficulties, especially when 3D tools require strong interactions with the learners. Besides interactive digital tools, embodied learning or learning in motion is an effective method for a wide variety of sciences including anatomy. The aim of this study was to explore the impact of combining movement execution with 3D animation visualization on anatomy learning in a real classroom teaching context. To do so, the results of two groups of kinesiology students during three official assessments were compared. The experimental group (n = 60) learned functional anatomy by combining movement execution with traditional knowledge acquisition (e.g., 3D animations visualization, problem-based learning exercises). The control group (n = 61) had the same material but did not execute the movements during problem-solving exercises. Although no differences were found between both groups on early and mid-semester examinations, significant difference appeared at the end of the semester with an advantage for the experimental group. This exploratory study suggests that embodied learning is beneficial in improving functional anatomy learning. Therefore, it would be interesting to integrate such type of pedagogical approach within the kinesiology curriculum.",spatial abilities,Anat Sci Educ,United States,2023,Journal Article,unknown,10.1002/ase.2172
A Smartphone Application and Education Program for Hearing Health Promotion in High School Teenagers,"Chang JL, Huwyler C, Yoshida N, Henderson Sabes J, Cheung SW.","OBJECTIVES: To assess knowledge retention after video-based hearing health education and measure headphone listening behavior change using a novel smartphone application. METHODS: In this prospective longitudinal study, students participated in video-based hearing health education and hearing screening sessions. Hearing health knowledge was assessed in students and parents after 6 weeks. A novel smartphone application was created to measure daily noise exposure based on volume settings with headphone use and to display the National Institute for Occupational Safety and Health (NIOSH) noise doses with alerts for cumulative daily doses nearing the maximum. RESULTS: Seventy-six teenage students and parents participated. Eighty three percent of participants identified as a racial or ethnic minority and 66% were of low-income socioeconomic status. Hearing health knowledge was retained in students 6 weeks after education and parents' knowledge improved from baseline. The smartphone app was installed on 12 student phones, and 25% of days monitored exhibited noise doses that exceeded the NIOSH maximum. App use for at least 10 days by nine students showed a significant reduction in average daily noise dose and time spent at the highest volume settings during the second-half of app use. CONCLUSIONS: Video-based hearing health education with knowledge question reinforcement was associated with knowledge retention in students and improved parental attitudes and knowledge about hearing conservation. A smartphone app with a real-time display of headphone cumulative noise exposure dose identified at-risk students. The integration of hearing health education, hearing screening, and digital health tools has promised to promote positive behavior changes for long-term hearing conservation. LEVEL OF EVIDENCE: 4 Laryngoscope, 133:2007-2013, 2023.",smartphone application and technology,Laryngoscope,United States,2023,"Research Support, Non-U.S. Gov't",unknown,10.1002/lary.30411
Attitudes of an international student cohort to the Quizlet study system employed in an advanced clinical health care review course,"Zeitlin BD, Sadhak ND.","Computer-based learning applications and mobile technology have transformed many aspects of the educational experience over the last decade, producing software aimed at improving learning efficiency and streamlining the presentation of course materials. One such class of software, purpose-created to take advantage of spaced learning and spaced testing principles, are electronic flashcard applications. We provide a perspective on the novel use of the Quizlet flashcard application in a tertiary educational setting. To reduce cognitive load for international graduate dental students taking a pharmacology review course, we implemented Quizlet, which integrates both spaced learning and self-testing, to improve the student learning experience. This study assessed students' perceptions of the Quizlet flashcard system in a student cohort comprised of two consecutive years' classes (n = 51 students in total). Results indicated broad acceptance of Quizlet based on ease of use of the software and ease of study of the material. Our data provide insight into the use of this common software in a professional healthcare tertiary education setting and further demonstrate the successful application of electronic flashcards for a mixed international student cohort. Further research should include an assessment of the impact of flashcard on long-term knowledge retention in this setting. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s10639-022-11371-3.",Higher education,Educ Inf Technol (Dordr),Netherlands,2023,Journal Article,unknown,10.1007/s10639-022-11371-3
A rubric as a tool for summative and formative evaluation in Laboratory Animals Technologist degree at the University of Buenos Aires (Argentina),"Cicale EM, Casanova V, Caturini E, Retamal MC, Greco MC, Gimenez S, Gulin JE.","Laboratory Animals Technologist degree (Técnico Universitario en Gestión Integral de Bioterios) was created in 1989. It is offered jointly by the Faculty of Veterinary Sciences and the Faculty of Pharmacy and Biochemistry at the University of Buenos Aires. The complete programme is organized into 15 courses, including basic and applied sciences, along with specific courses (Técnicas de Bioterio I to V) with a solid practice content that students must achieve.An additional challenge occurs when practices consist of animal handling and procedures, which can be stressful for students and animals. Since traditional evaluation methods may not be the best way to determine the acquisition of knowledge and practical performance, an evaluation rubric is proposed to assess the practices carried out by students.The aspects and criteria to be examined were previously known of by students and teachers. The evaluation levels include: 'Daily report and record-keeping', 'Food and water supply', 'Cleaning and disinfection of areas, Standardized Operational Procedures and routines fulfilment', 'Personnel and supplies circulation', 'Use of personal protection equipment and physical care', 'Fulfilment of tasks in established times', 'Animals procedures and organization of needed materials', 'Animal care' and 'Teamwork camaraderie and organization'.The proposed tool was implemented with good results to achieve the academic objectives while augmenting the confidence for practical expertise, minimizing doubts and uncertainties related to traditional evaluation methods, and providing students with an environment that favours knowledge acquisition and practical skills, establishing standard criteria among the teaching staff, and reducing and refining the use of animals for educational purposes.",teaching and training,Lab Anim,England,2023,Journal Article,unknown,10.1177/00236772221124383
The enterprise's external knowledge acquisition capability and technological diversification: From the perspective of intellectual property strategy,"Chang KC, Jiang Y, Huang C, Xiong X, Chen Z, Lai YC, Chai KC.","Enterprises need intellectual property rights to protect their core knowledge, and technological diversification is an important strategic measure for enterprises to improve innovation performance. From the perspective of external resource acquisition, this study explores the mechanism of external knowledge acquisition capability (internal absorptive capability and external relational learning) on firm's technological diversification. It considers the impact of firm's innovation capability and external environmental uncertainty. The survey data of 258 Chinese pharmaceutical companies were obtained through questionnaire surveys, and various theoretical hypotheses were validated using regression analysis methods. The results show that internal absorptive capacity, external relational learning, and their interaction have a significant positive impact on technological diversification; the innovation capacity and the uncertainty of the external environment also affect enterprises' technological diversification.",technological diversification,Front Psychol,Switzerland,2023,Journal Article,unknown,10.3389/fpsyg.2022.1093362
Promoting Digital Proficiency and Health Literacy in Middle-aged and Older Adults Through Mobile Devices With the Workshops for Online Technological Inclusion (OITO) Project: Experimental Study,"Quialheiro A, Miranda A, Garcia M Jr, Carvalho AC, Costa P, Correia-Neves M, Santos NC.","BACKGROUND: Digital inclusion and literacy facilitate access to health information and can contribute to self-care behaviors and informed decision-making. However, digital literacy is not an innate skill, but rather requires knowledge acquisition. OBJECTIVE: The present study aimed to develop, conduct, and measure the impact, on digital and health literacy, of a digital inclusion program aimed at community dwellers. METHODS: The program targeted the recruitment of people aged 55 and older that owned mobile devices with an internet connection in 3 cities in northern Portugal (Paredes de Coura, Guimarães, and Barcelos). The program was titled the Workshops for Online Technological Inclusion (OITO) project and, in each city, was promoted by the coordinator of municipal projects and organized as an in-person 8-workshop program, using mobile devices, smartphones, or tablets. A quasi-experimental design was used with a nonrandomized allocation of participants in each set of 8 workshops. Sociodemographic, health status, and mobile use information were collected at baseline. Digital and health literacy were measured via the Mobile Device Proficiency Questionnaire and the Health Literacy Scale questionnaires, respectively, at baseline (T1), program completion (T2), and a 1-month follow-up (T3). A self-reported measure of autonomy was evaluated at T1 and T2 using a visual scale. RESULTS: Most participants were women with primary schooling (up to 4 years) aged between 65 and 74 years and retired. The intervention had an 81% (97/120) recruitment rate, 53% (43/81) adherence, and 94% (67/71) satisfaction rate, with 81 participants completing the entire 8-workshop program. Most participants had owned their mobile device for more than one year (64/81, 79%), were frequent daily users (70/81, 86%), and had received their mobile device from someone else (33/64, 52%). Over 80% (71/81) of the participants who completed the intervention used Android smartphones. At baseline, participants had low baseline scores in digital literacy, but medium-high baseline scores in health literacy. They showed significant improvement in digital literacy at T2 and T3 compared to T1, but without a significant difference between T2 and T3, regardless of sex, age, or schooling. A significant improvement in self-reported autonomy was observed at T3 compared with baseline. Regarding health literacy, no significant differences were found at T2 or T3 compared to the baseline. CONCLUSIONS: The feasibility indicators showed that the OITO project methodology had a substantial rate of recruitment and satisfaction. Program participants had significant improvement in digital literacy after 8 workshops and maintained their score 1 month after completing the intervention. There was no significant change in health literacy during the project period.",older adults,JMIR Form Res,Canada,2023,Journal Article,unknown,10.2196/41873
Extended reality in language learning: A cognitive affective model of immersive learning perspective,"Zhi Y, Wu L.","A surge in the interest and implementation of extended reality (XR)-based lessons in language learning has resulted in many related studies. Recent reviews that summarized these studies and the previous studies focus on the technologies used in language-learning settings or the different ways of incorporating XR tools in language-learning activities. However, less work has been done to synthesize XR-based language-learning studies from a language-learning theory perspective. Thus, this study delineates the contour of scholarly literature on XR in language learning using the Cognitive Affective Model of Immersive Learning (CAMIL). The model contains six affective and cognitive factors that lead to XR-based learning: interest, motivation, self-efficacy, embodiment, cognitive load, and self-regulation. This model was adopted in the current study to systematically synthesize the findings from primary studies published between 2017 and 2022 to construct XR explanations on language learning from a cognitive theory perspective. Studies published in 12 indexed privileged journals in the language education and technology field on XR in language learning were reviewed. The results showed that the factors in the CAMIL led to factual, conceptual, and procedural knowledge acquisition and transfer. This study provides some insights into understanding the cognitive outcomes of XR-based language learning by analyzing the findings from previous studies. Suggestions for future studies are proposed in this study.",virtual context,Front Psychol,Switzerland,2023,Review,unknown,10.3389/fpsyg.2023.1109025
"A Large-Scale, Multiplayer Virtual Reality Deployment: A Novel Approach to Distance Education in Human Anatomy","Brown KE, Heise N, Eitel CM, Nelson J, Garbe BA, Meyer CA, Ivie KR Jr, Clapp TR.","The arrival of COVID-19 restrictions and the increasing demand of online instruction options posed challenges to education communities worldwide, especially in human anatomy. In response, Colorado State University developed and deployed an 8-week-long large-scale virtual reality (VR) course to supplement online human anatomy instruction. Students (n = 75) received a VR-capable laptop and head-mounted display and participated in weekly synchronous group laboratory sessions with instructors. The software enabled students to remotely collaborate in a common virtual space to work with human anatomy using an artist-rendered cadaver. Qualitative data were collected on student engagement, confidence, and reactions to the new technology. Quantitative data assessed student knowledge acquisition and retention of anatomical spatial relationships. Results indicated that students performed better in the online course (mean = 82.27%) when compared to previous in-person laboratories (mean = 80.08%). The utilization of VR promoted student engagement and increased opportunities for student interaction with teaching assistants, peers, and course content. Notably, students reported benefits that focused on unique aspects of their virtual learning environment, including the ability to infinitely scale the cadaver and walk inside and around anatomical structures. Results suggested that using VR was equivalent to 2D methods in student learning and retention of anatomical relationships. Overall, the virtual classroom maintained the rigor of traditional gross anatomy laboratories without negatively impacting student examination scores and provided a high level of accessibility, without compromising learner engagement. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s40670-023-01751-w.",Virtual reality,Med Sci Educ,United States,2023,Journal Article,unknown,10.1007/s40670-023-01751-w
