node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c001M01N01,Historical archives,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Historical archives are combined with AR scene overlay technology to reconstruct living scenes.,Archives containing historical information used for scene reconstruction.,"Page 5, Section 3.2"
c001M01N02,Architectural data,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,"The study collected architectural data through 3D laser scanning, virtual reality, and big-data analysis.",Measured information about representative Chongqing Red Culture vernacular dwellings.,"Page 4, opening of Section 3"
c001M01N03,Spatial distribution maps,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,GIS aggregates scattered 3D models into spatial distribution maps displaying density and age distribution.,Maps aggregating building models and conservation-related spatial data.,"Page 2, Section 2.1.2"
c001M01N04,Historical narrative,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The dynamic digital archive connects historical narrative with interactive experience.,Codified historical content linked to an interactive digital experience.,"Page 3, continuation of Section 2.2.2"
c001M01N05,Wartime timeline,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Digital exhibitions passively show building exteriors and the wartime timeline.,A chronological representation of wartime events.,"Page 3, Section 2.4.2"
c001M01N06,Technical Standards for Historical Building Digitization (2021),Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The graded-protection framework is based on Technical Standards for Historical Building Digitization (2021).,A cited technical standard governing historical-building digitization.,"Page 2, Section 1.2.1"
c001M01N07,"Digital Preservation of Intangible Cultural Heritage: Digital Resource Collection and Cataloguing (WH/T 99.9-2023), Part 9: Traditional Craftsmanship",Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The paper invokes WH/T 99.9-2023 Part 9 when describing sequential recording of craftsmanship processes.,A cited standard for collecting and cataloguing traditional-craftsmanship digital resources.,"Page 2, Section 2.1.3"
c001M01N08,LOD Level-Protection Intensity Mapping Table,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The study established an LOD Level-Protection Intensity Mapping Table for Peng's Traditional Dwelling.,"A mapping between LOD precision, protection intensity, functional-replacement threshold, and building areas.","Pages 4-5, Section 3.1 and Table 4"
c001M02N01,FARO S350 millimeter-resolution architectural point clouds,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,FARO Focus S350 realizes millimeter-level point cloud modeling with average error margin <0.5%,Spatial point cloud data of Bayu traditional dwellings,"Page 2, Table 3"
c001M02N02,UNESCO World Heritage site monitoring standards,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Meets the requirements of heritage monitoring by UNESCO [4],International heritage monitoring criteria,Page 2
c001M02N05,1938 Nationalist Government relocation to Chongqing timeline,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The dynamic narrative technology triggered events by timelines (such as the relocation of the Nationalist Government to Chongqing in 1938),Historical event chronology used for narrative triggering,Page 6
c001M02N06,Thermal imaging wood decay and hollow wall structural maps,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,"The thermal map of structural damage is generated... discover hidden danger points such as wood decay, hollow walls",Structural condition data from thermal scanning,"Page 2, Page 4-5"
c001M02N34,58% visitor historical narrative comprehension gain,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Historical knowledge retention rate has been increased by 58%,Measured improvement in visitor historical comprehension,Page 1
c001M02N35,22-minute VR dwell time extension metric,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,VR exhibition hall extended average stay time for 22 minutes,Measured increase in visitor dwell time,Table 2
c001M02N36,89% accurate 48-hour visitor flow prediction metric,Explicit Knowledge,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,AI technology predicted the site visitation 48 hours in advance with an accuracy of 89%,Predictive analytics metric for visitor flow management,Page 5
c002M01N01,Preventing Falls in Housing Construction—Code of Practice,Explicit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,Construction safety training delivery was prepared from this enforceable code of practice developed by Work Safe Australia.,An enforceable code of practice aimed at preventing falls in the construction industry.,"Section 3, page 7; Section 3.4, pages 14–16"
