node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N19,Difficulty of articulation,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Tacit knowledge the unwritten, experience-based insights people carry in their heads is notoriously difficult to articulate.",The psychological and cognitive friction that prevents humans from easily describing actions.,Page 1
c201M01N20,Loss of critical know-how upon staff departure,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"When veteran staff retire or switch jobs, this undocumented expertise departs with them, risking operational disruption.",The vulnerability of small businesses where unique process information resides solely inside human minds.,Page 1
c201M01N22,Complete lack of operational visibility,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The lack of a formalized, digitally-tracked system leads to poor visibility for production managers.","The managerial tracking defect resulting from oral, undocumented shop-floor communications.",Page 5
c201M01N23,Absence of structured data capture for analysis,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Furthermore, the absence of data capture prevents valuable analysis of machine reliability and failure patterns.",The analytical failure caused by data absences that isolates companies inside reactive loops.,Page 5
c201M01N24,Significant system latency from verbose XML,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"For the complex maintenance scenario, the total time to generate... was over 12 minutes... delay is largely attributable to the verbosity of the BPMN XML format.",The system performance slowdown caused by streaming dense data objects via network endpoints.,Page 6
c201M01N25,Inconsistent or malformed XML generation,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"experiments showed that while cheaper, Gemini Flash often produced incorrectly formatted XML that failed to render.",The schema structural compliance failure seen when lower-performing LLMs produce invalid code blocks.,Page 6
c201M02N27,Inefficiency of manual communication and paper-based steps,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The existing workflow is almost entirely reactive and relies on informal, manual communication ... a series of inefficient steps",Wasted time and effort in the traditional process,Section 3.1
c201M02N31,High latency due to verbose BPMN XML generation,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The total time ... was over 12 minutes ... generation took up to 10 minutes for a single, complex output",Slow response times from the LLM,Section 4.2
c201M02N32,Non-deterministic LLM outputs,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"A core characteristic of LLMs is that their output is inherently stochastic, not deterministic. The same input prompt can produce slightly different results",Inconsistent generations across runs,Section 4.3
c201M02N35,Reliance on user to describe process upfront,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The current workflow requires the user to describe the process in detail upfront. A more advanced, agentic version ... could build the model through a more natural, back-and-forth conversation",User must provide complete initial description,Section 4.4
c201M02N36,No formal evaluation of TO-BE model quality,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The current study lacks a formal evaluation of its quality. Future work should involve subjecting the AI-suggested process improvements to review by lean manufacturing experts,Unvalidated improvement suggestions,Section 4.4
c201M02N37,Polanyi's tacit knowledge articulation difficulty,Limitation,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Tacit knowledge—the unwritten, experience-based insights people carry in their heads—is notoriously difficult to articulate, as Polanyi famously noted",Fundamental difficulty in expressing tacit knowledge,Section 1.1
c202M01N19,Lack of clear position indicator on physical component,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"since there was no clear position indicator on the physical IoT circuit component, unlike the MAR method.",Absence of visual references on traditional hardware devices.,"PAGE 14, Line 609"
c202M01N20,Cognitive overload due to extraneous elements,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"In learning environments, extraneous elements often cause cognitive overload",Mental exhaustion from filtering unnecessary background inputs.,"PAGE 2, Line 71"
c202M01N21,Jittery visualization of holes on board,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,MAR still has jittery imagery of holes on board after several pins are connected,Tracking instability disrupting virtual pin alignments.,"PAGE 13, Line 565"
c202M01N23,Slight delays in animation after button click,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,such as slight delays in the animation after each button click.,System interaction latency slowing operational workflow steps.,"PAGE 15, Line 665"
c202M01N24,Repeated use of shuffled questions potential bias,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"validity of the 10-question knowledge test is acknowledged as a limitation, particularly due to repeated use of shuffled questions.",Testing habituation risks masking authentic degradation trends.,"PAGE 15, Line 643"
c202M02N18,Lack of spatial visualization,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"Paper group participants commented ... no clear position indicator on the physical IoT circuit component, unlike the MAR method. Identifying appropriate hole positions ... requires significant cognitive effort.",Inability to perceive 3D placement from 2D static diagrams.,Page 14 (Discussion)
c202M02N19,Attention switching cost,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The paper approach required participants to switch their attention between the task at hand and reading instructions.,Time and mental cost of alternating between reading and doing.,Page 13-14 (Discussion)
c202M02N20,Jittery visualization,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"Participants also complain about the jittery visualization that affects the 3D model alignment with the breadboard, which impacts their judgment about the component assemble position.",Unstable AR overlay causing misalignment.,Page 15 (Limitation and Future Work)
c202M02N21,Inability to detect assembly errors,Limitation,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"Participants also mentioned that 'we were unable to realize our mistakes during the assembly task, which led us to be unsuccessful in building the circuit in which the LED lamp was not lit up.'",No real-time feedback or error checking in the MAR system.,Page 15 (Limitation and Future Work)
c203M02N14,Lack of direct DT‑CE link,Limitation,E,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,H1 rejected: 'no association is found with CE capabilities (0.154; p > 0.1)' (p.12),Digital technologies alone do not directly build circular economy capabilities.,p.12
