"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","latest blockchain applications and industry trends","Explicit Knowledge","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Professional-association membership keeps the company updated on the latest applications and trends in BT.","Current applications and developments in the blockchain domain.","Appendix Fig. A1, page 10"
"N02","blockchain implementation insights","Explicit Knowledge","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Participation in BT-related workshops and conferences provides insights into blockchain implementation.","Codified or communicable knowledge about implementing blockchain.","Appendix Fig. A1, page 10"
"N03","literature on blockchain applications","Explicit Knowledge","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Companies subscribe to literature that helps them understand the latest applications of BT.","Published information about blockchain applications.","Appendix Fig. A1, page 10"
"N04","blockchain best practices, security measures, and compliance strategies","Explicit Knowledge","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Engagement with industry experts, seminars, and BT consortia provides insights into best practices, security measures, and compliance strategies.","Structured guidance for secure, compliant, and effective blockchain implementation.","Section 3, page 3"
"N05","documented blockchain implementation knowledge and experience","Explicit Knowledge","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Knowledge and experiences related to BT become part of collective intelligence when documented and stored.","Documented and stored organizational knowledge and experience concerning blockchain implementation.","Section 3, page 4"
"N06","internally accumulated blockchain expertise, experience, and insights","Tacit Knowledge","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Internal knowledge encompasses collective expertise, experience, and insights accumulated within the firm and supports adaptation of BT to existing workflows.","Internally accumulated know-how used to fit blockchain to established organizational processes.","Section 6.1, page 7"
"N07","blockchain implementation and operational skills","Tacit Knowledge","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Internal knowledge integration ensures that the workforce gains the knowledge and skills necessary to implement and work with BT.","Practical employee capabilities for implementing and operating blockchain.","Introduction, page 2"
"N08","blockchain industry experts","Knowledge Holder","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Industry experts are identified as external sources of BT-related knowledge.","External specialists possessing blockchain knowledge.","Introduction, page 2; Section 3, page 3"
"N09","blockchain technical personnel","Knowledge Holder","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Companies invite technical personnel to participate in BT planning.","Technical personnel possessing knowledge relevant to blockchain planning.","Appendix Fig. A1, page 10"
"N10","top managers responsible for blockchain application goals","Knowledge Holder","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","The internal-knowledge measure assesses whether top managers clearly understand the application goals of BT.","Senior managers possessing knowledge of organizational blockchain goals.","Appendix Fig. A1, page 10"
"N11","employees with diverse blockchain expertise","Knowledge Holder","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Employees with diverse expertise in BT share their insights.","Employees possessing different forms of blockchain expertise.","Section 3, page 4"
"N12","workforce implementing and working with blockchain","Knowledge Learner","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","The workforce gains the knowledge and skills needed to implement and work with BT.","Employees learning to implement and operate blockchain.","Introduction, page 2"
"N13","blockchain professional association membership","Traditional Human-central Practice","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Professional-association membership keeps the company updated on the latest applications and trends in BT.","Participation in a professional association to obtain current blockchain knowledge.","Appendix Fig. A1, page 10"
"N14","blockchain workshops and conferences","Traditional Human-central Practice","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Companies participate in BT-related workshops and conferences to gain implementation insights.","Human-centered events through which firms obtain blockchain knowledge.","Appendix Fig. A1, page 10"
"N15","subscription to blockchain application literature","Traditional Human-central Practice","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Companies subscribe to literature that helps them understand the latest BT applications.","Organizational subscription and reading practice for accessing codified blockchain knowledge.","Appendix Fig. A1, page 10"
"N16","external acquisition of blockchain knowledge","Traditional Human-central Practice","E","Unlocking sustainable performance with blockchain technology: Insights from organizational learning theory","Firms obtain BT-related knowledge from industry experts, consultants, academic institutions, and professional networks.","The process of sourcing blockchain information, skills, and technologies outside the firm.","Introduction, page 2; Section 3, page 3"
