node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,Unnamed: 8
c101M01N33,detailed upfront process description,Organizational Dependency,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The current workflow requires the user to describe the process in detail upfront.,The detailed process input required from the user by the current implementation.,"Page 6, Section 4.4",
c101M02N22,SME management approval for AI process modeling,Organizational Dependency,I,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"well-defined process models support consistent execution, training and compliance",Organizational support for implementation,Page 1,
c102M02N09,Domain-specific knowledge,Organizational Dependency,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,training of these three modules heavily relies on domain-specific knowledge,Specific training data required as a baseline for model development,Page 3,
c102M02N38,Pre-trained models,Organizational Dependency,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,explorations rely on models pre-trained with domain knowledge in specific scenarios,Baseline requirement for traditional methods,Page 1,
c103M02N19,Collaborative robots,Organizational Dependency,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,Technology that can digitalize handwork in detail in real time should be developed... to introduce collaborative robots...,"Robots intended to work alongside humans, requiring handwork recognition technology.",Section 1,
c103M02N20,Skilled manufacturing work,Organizational Dependency,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,take over skilled manufacturing and maintenance work in factories.,Expert manual labor that requires capture and potential automation.,Section 1,
c105M01N33,Existing work instructions and CAD model availability,Organizational Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,"Pilot selection required suitable work instructions, and Company A supplied its CAD model.",Availability of reusable instructions and a product model for prototype construction.,"PDF pp. 4 and 6, Methods and Prototyping",
c105M01N34,Safety visibility requirements,Organizational Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,Companies required technology not to obstruct safety and preferred visibility of the real world.,Requirement that wearable technology preserve safe awareness of the workplace.,"PDF p. 5, Phase 1 results",
c105M02N30,Existing work instructions,Organizational Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,it is checked whether existing work instructions can be used for this,Pre-existing documented instructions,Page 4,
c105M02N32,High mix-low volume production,Organizational Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,"companies A, D and E... work according to the principle of high mix, low volume",Production model with many product variations in small quantities,Page 4,
c105M02N33,Specialist knowledge requirements,Organizational Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,"Due to the specialist knowledge required to operate the machines, the requirements at companies B and F are much higher",Need for specialized expertise,Page 5,
c105M02N34,Company culture of digitalization,Organizational Dependency,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,"Company A seems to be the most digitalized, with a screen close to the workplace",Organizational openness to digital solutions,Page 5,
c106M01N23,pre-training related to the use of the HMD,Organizational Dependency,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,G2 received HMD pre-training because participants had not previously used AR.,Preparatory instruction required before workers used the unfamiliar HMD.,"Section 3.4.1, p. 8",
c106M01N24,standardised trainer support,Organizational Dependency,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,The research team predefined trainer support to avoid unequal suggestions and experimental bias.,A controlled baseline defining the permitted type and detail of trainer assistance.,"Section 3.3.3, p. 6",
c106M01N25,visual guides and colour coding in the storage area,Organizational Dependency,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,Both groups used the same labels and color code to identify and pick components from storage.,Shared physical VM infrastructure supporting component identification and picking.,"Sections 3.4.1–3.4.2 and Fig. 5, pp. 8–9",
