src_node_id,dst_node_id,relation_type,evidence_count,evidence_statement,case_title,evidence_label
s002M01EK01,s002M01EK02,be_derived_from,1,"c124M01N05 - c124M01N01: Digital-twin schemes provide equipment-condition, simulation, and predictive diagnostic data, and the paper states that this data is used to redesign maintenance policies.",SIC 80 - Services (Health Services),Aggregation
s002M01EK01,s002M01EK05,be_derived_from,1,"c124M01N05 - c124M01N03: Digital-twin schemes provide equipment-condition, simulation, and predictive diagnostic data, and the paper states that this data is used to redesign maintenance policies.
c124M01N05 - c124M01N04: Digital-twin schemes provide equipment-condition, simulation, and predictive diagnostic data, and the paper states that this data is used to redesign maintenance policies.",SIC 80 - Services (Health Services),Aggregation
s002M01EK01,s002M01THR15,be_transferred_by,3,"c108M01N10 - c108M01N30: The viticulture review prepared elicitation in a domain where legislative aspects had to be considered.
c108M01N11 - c108M01N29: Professional-activity analysis collected relevant industrial standards.
c108M02N49 - c108M02N12: collect generic knowledge (regulations, standards, processes, etc.)",SIC 80 - Services (Health Services),Aggregation
s002M01EK01,s002M01TP03,be_transferred_by,3,"c107M01N01 - c107M01N14: The learning objectives defined in the framework curricula were incorporated into the conceptual design and taught through the application.
c107M01N03 - c107M01N14: The application supplied the functional description as part of the task for setting up the pneumatic control system.
c107M01N03 - c107M02N21: the task, a description and the circuit diagram are displayed before each level",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01EK03,be_derived_from,8,"c105M01N10 - c105M01N09: The automatic transcription was obtained from the recorded video.
c113M02N02 - c113M02N03: The paper-based document... consists of a step-by-step information in the form of textual instruction
c120M01N07 - c120M01N09: Operation priority-value difference features are calculated according to the specified single dispatching rules.
c120M01N07 - c120M01N10: An RPT priority-value difference is calculated as one of the operation priority-difference features.
c120M01N07 - c120M01N12: An EDD priority-value difference is calculated as one of the operation priority-difference features.
c120M01N07 - c120M01N13: An SL priority-value difference is calculated as one of the operation priority-difference features.
c120M01N07 - c120M01N14: A CR priority-value difference is calculated as one of the operation priority-difference features.
c120M02N03 - c120M02N01: ...the differences... are calculated according to rth of the l given SDRs.",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01EK09,be_derived_from,2,"c108M02N51 - c108M02N01: conducting a state-of-the-art on the field
c108M02N63 - c108M02N01: all or part of existing ontologies available in databases such as LOV (Linked Open Vocabularies) are integrated.",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01THR04,be_transferred_by,1,c117M01N07 - c117M01N20: Selected ideas are further discussed with submitters through round-table discussions.,SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01THR07,be_transferred_by,1,c105M01N07 - c105M01N18: physical or printed version of the drawing is often used... in the traditional process,SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01THR12,be_transferred_by,7,"c104M01N03 - c104M01N10: The paper-based guidelines transferred component information through images of the IoT components.
c105M01N07 - c105M01N19: Companies C, D, E, and F used printed drawings during work.
c107M01N04 - c107M01N36: The pneumatics fundamentals used in the study's knowledge test were taken from the textbook Steuerungstechnik Metall.
c107M01N04 - c107M02N17: Current practice-oriented teaching methods in the field are based on textbooks
c113M01N01 - c113M01N12: The paper-based document contains all information about the electronic system and its components.
c113M02N01 - c113M02N18: The paper-based document... contains all information about the electronic system
c113M02N06 - c113M02N18: The paper-based document... contains all information about the electronic system and its components",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01THR14,be_transferred_by,1,c117M01N07 - c117M01N21: Selected ideas are further discussed with submitters through knowledge-sharing workshops.,SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01THR15,be_transferred_by,5,"c108M01N14 - c108M01N35: Categorical thematic analysis examined the transcribed manufacturing interviews.
c108M01N58 - c108M01N30: The literature review gathered wine-industry vocabulary and risk knowledge.
c108M01N63 - c108M01N35: The restituted viticulture interviews were analyzed before modeling.
c108M02N51 - c108M02N12: conducting a state-of-the-art on the field
c119M01N49 - c119M01N47: Semantic-domain labels are conveyed through manual concept grouping.",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01THR17,be_transferred_by,3,"c107M01N04 - c107M02N18: Current practice-oriented teaching methods in the field are based on... simulation software
c126M01N01 - c126M01N16: External blockchain knowledge acquisition includes keeping updated on blockchain applications and trends.
c126M01N03 - c126M01N16: External blockchain knowledge acquisition includes subscribing to literature about blockchain applications.",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TK05,translate_into,1,c113M02N02 - c113M02N10: Procedural knowledge is acquired through practice and refers to information about how to perform a task,SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TK12,translate_into,3,"c121M01N02 - c121M01N07: Knowledge inherited from earlier product generations supplies structured knowledge that is subsequently translated into actionable insights and routines.
c124M01N01 - c124M01N09: Organizations recognize asset-behaviour information, internalize it into current routines, and convert it into better maintenance practices and routines.
c124M01N02 - c124M01N09: Organizations with absorptive capacity convert sensor data and analytical information into actionable maintenance fixes and improved operating processes.",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TK13,translate_into,2,"c113M01N01 - c113M01N06: Participants received information about the electronic system and its components; successful transfer required them to develop the right understanding of the electronic system and identify a new power-source connection.
c113M02N01 - c113M02N09: Declarative knowledge refers to facts and information which cannot be executed directly but can be applied for a specific goal that goes through interpretative process",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TP01,be_transferred_by,6,"c121M02N33 - c121M02N11: GenAI can generate modular design prototypes using product disassembly logs and material compatibility data.
c121M02N34 - c121M02N11: GenAI can generate modular design prototypes using product disassembly logs and material compatibility data.
c121M02N35 - c121M02N11: GenAI can encode historical product data using pre-trained models.
c121M02N36 - c121M02N11: GenAI can generate dynamic routing schemes using data such as consumer return patterns.
c124M01N01 - c124M01N15: Virtual representations are continuously informed by real-time operational and status information to support maintenance decisions.
c124M01N02 - c124M01N15: Digital-twin-assisted maintenance integrates sensor data into coherent decision-making environments.
c124M02N26 - c124M01N15: Section 2.1, Page 40
c124M02N22 - c124M01N15: Section 2.1, Page 40",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TP03,be_transferred_by,7,"c105M01N08 - c105M01N24: The AR prototype visualized Company A's CAD model with arrows and animations.
c105M01N10 - c105M02N23: The result of converting video instructions to written instructions
c107M01N04 - c107M01N14: The implemented exercises addressed pneumatics content, while knowledge uptake was measured with tests based on pneumatics fundamentals.
c113M01N01 - c113M01N13: The traditional AR system presents an overview of the electronic system and all its components.
c113M01N01 - c113M01N14: The enhanced AR system contains information similar to the traditional AR system and adds contextual information.
c113M02N01 - c113M01N13: assembly instructions were presented step by step on top of the workspace in the form of texts as well as videos
c113M02N06 - c113M01N13: Users were initially presented with an overview of the electronic system and its all components using tooltips and graphical arrows",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TP07,be_transferred_by,15,"c103M01N15 - c103M01N26: Recordings were processed through the feature-extraction practice.
c103M01N16 - c103M01N27: Feature vectors were supplied to DRLDCC-ELM training.
c103M01N16 - c103M01N28: Feature-vector sequences were supplied to transformer training.
c103M01N18 - c103M01N27: Training observations were supplied through DRLDCC-ELM training.
c103M01N18 - c103M01N28: Training observations were supplied through transformer training.
c108M01N19 - c108M01N41: Viticulture ontological formalization enabled the prediction and recommendation solutions.
c117M02N01 - c117M02N15: We rely on social listening to understand emerging user needs
c120M01N01 - c120M01N17: Offline scheduling learning processes accumulated historical data to extract samples and mine the SPRM.
c120M01N02 - c120M01N17: Production orders form part of the historical data processed during offline scheduling learning.
c120M01N03 - c120M01N17: Process information forms part of the historical data processed during offline scheduling learning.
c120M01N04 - c120M01N18: Optimal scheduling schemes are restored and processed by the SPRM training-sample acquisition mechanism.
c120M01N05 - c120M01N19: Acquired SPRM training samples are used in GA- and ELM-based wrapper feature selection.
c120M01N05 - c120M01N17: The acquired training samples and selected input features are used to train the SPRM with ELM.
c120M01N06 - c120M01N21: Dynamic production-system-state features are supplied as inputs to the SPRM.
c120M01N07 - c120M01N21: Operation priority-value difference features are supplied as inputs to the SPRM.",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TP08,be_transferred_by,6,"c102M01N04 - c102M01N16: Common-sense scene depictions undergo inference leading to task interpretation.
c102M01N06 - c102M01N17: The narration approach produces textual human-intention descriptions that support robot adjustment.
c102M02N08 - c102M01N17: cross-attention module to obtain global visual embeddings
c121M01N01 - c121M01N14: GenAI-enabled inheritance encodes historical product data and extracts transferable knowledge from earlier product generations.
c121M01N02 - c121M01N14: GenAI-enabled inheritance identifies and carries forward transferable design principles extracted from historical product data.
c121M01N05 - c121M01N13: Supplier material-recovery data are acquired and recombined with other fragmented circular-supply-chain knowledge.",SIC 80 - Services (Health Services),Aggregation
s002M01EK02,s002M01TP09,be_transferred_by,5,"c102M01N03 - c102M01N15: Scene-graph triples are used to generate task interpretations.
c108M01N16 - c108M01N37: The viticulture semi-formal models were followed by ontological formalization.
c108M01N18 - c108M01N39: The reasoning application operated on the ontology-backed manufacturing environment.
c108M01N20 - c108M01N40: The Wine Cloud traceability platform used sensor feedback data.
c108M01N64 - c108M01N37: The viticulture UML diagrams were followed by ontological formalization.",SIC 80 - Services (Health Services),Aggregation
