node_id,total_evidence_count,node_name,category,evidence_label,case_title,Description
h001M01ED01,14,"Political, Regulatory & Jurisdictional Environment Set",Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED02,6,"Economic, Market & Industry Environment Set",Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED04,3,Natural & Climatic Environment Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED05,1,External Technological & Infrastructure Environment Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED06,4,"Client, Procurement & Institutional Environment Set",Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED07,1,Supply-Chain & Logistical Environment Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED08,6,Geographic & Physical Site Context Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01ED10,2,Ambiguous Environmental Dependency(*) Set,Environmental Dependency,G,HOO1:Hard Aggregation,
h001M01EK01,17,Codified Normative Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK02,47,Codified Descriptive Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK03,18,Codified Procedural Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK04,2,Codified Explanatory Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK05,9,Codified Predictive Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK06,32,Codified Evaluative Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK07,18,Codified Outcome Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK08,11,Codified Experiential Knowledge Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01EK09,11,Ambiguous Explicit Knowledge(*) Set,Explicit Knowledge,G,HOO1:Hard Aggregation,
h001M01KH01,1,Community and Cultural Knowledge Custodians Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH02,2,Skilled Trades and Craft Practitioners Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH03,8,Frontline and Operational Practitioners Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH04,3,"Customers, Users, and Service Recipients Set",Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH05,9,"Scientific, Engineering, and Technical Professionals Set",Knowledge Holder,G,HOO1:Hard Aggregation,
