node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N25,Cognitive overload,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Concurrent processing exceeded working-memory capacity and impeded diagnostic skill development.,Excessive cognitive demand created by simultaneous imaging and reasoning tasks.,"PDF pp. 1-3 and 6, Introduction and Discussion"
c201M01N26,Manual visual search burden,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The conventional workflow required manual and unguided lesion search.,Extraneous cognitive demand arising from exhaustive manual visual search.,"PDF pp. 1, 3, and 7, Abstract, Methods, and Discussion"
c201M01N27,Theory-practice divide,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Traditional approaches disconnected classroom learning from clinical practice.,Difficulty translating classroom knowledge into clinical performance.,"PDF pp. 1-2, Abstract and Introduction"
c201M01N28,Rapid knowledge decay,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The control group retained 19.7 percent of acquired theoretical knowledge at three months.,Loss of acquired knowledge over time under non-scaffolded learning.,"PDF pp. 5-8, Results, Discussion, and Conclusion"
c201M01N30,Workflow switching costs,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Standalone AI tools force learners to switch systems and disrupt workflow.,Cognitive friction caused by movement between separate systems.,"PDF pp. 2 and 7, Introduction and Discussion"
c201M01N31,Interface learning burden,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Embedded integration was reported to eliminate interface learning burdens.,Cognitive effort required to learn or manage a separate interface.,"PDF p. 7, Discussion"
c201M01N32,Automation bias risk,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The authors caution that automated lesion annotation carries a risk of automation bias.,Potential inappropriate reliance on automated outputs.,"PDF p. 7, Discussion"
c201M01N33,Underlying AI algorithm dependence,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Framework effectiveness depends on the underlying algorithms and requires continuing validation and updates.,Reliance of educational performance on AI model quality.,"PDF p. 8, Limitations"
c201M01N34,Single-center generalizability limitation,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The single-center design requires validation through multi-site trials.,Restricted evidence for performance across institutions and educational cultures.,"PDF p. 8, Limitations and Conclusion"
c201M01N35,Unverified retention beyond three months,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Longer-term tracking is required to establish durability beyond the three-month follow-up.,Unknown persistence of the observed retention benefits over longer periods.,"PDF p. 8, Limitations and Conclusion"
c201M01N36,Unverified transfer to complex clinical scenarios,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Transfer to complex real-world decision-making scenarios still requires rigorous validation.,Uncertain generalization to complex pathologies and clinical decisions.,"PDF pp. 6 and 8, Discussion and Limitations"
c201M02N31,Steep Forgetting Curve Without Scaffolding,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Control group's low retention (19.7%) aligns with Ebbinghaus forgetting curve in non-scaffolded learning,The Ebbinghaus forgetting curve describing rapid memory decay without reinforcement,"Page 5, Section 6"
c201M02N32,Classroom-Clinical Practice Translation Deficit,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,This overload fundamentally disconnects classroom learning from clinical practice. The consequences are severe: persistent diagnostic error rates and skill-transfer gaps requiring 6-8 weeks of clinical remediation,The disconnection between classroom learning and clinical practice resulting in skill-transfer gaps,"Page 2, Section 1"
c201M02N34,Multi-System Switching Cognitive Friction,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"Standalone tools force learners to switch between systems, disrupting workflow... effective AI integration must reduce cognitive friction while aligning with authentic clinical workflows",The mental effort and disruption caused by switching between systems and interface learning burdens,"Page 2, Section 1"
c201M02N35,Fragmented Working Memory Overflow,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,Cognitive burden... exceeds working memory capacity and impedes diagnostic skill development,The limited capacity of working memory that is exceeded by excessive cognitive load,"Page 1, Section 1"
c201M02N37,Standalone Tool Mental Context-Switching Penalty,Limitation,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,"Standalone tools force learners to switch between systems, disrupting workflow",The cognitive cost associated with switching between different systems during workflow,"Page 2, Section 1"
c202M01N24,incomplete participation and post-test non-submission,Limitation,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Seventeen of 43 participants were excluded because they left early or did not submit the post-test.,Participant attrition that reduced the complete evaluation sample to 26.,"PDF p. 3, Section III.A"
c202M01N25,difficulty conveying certain complex topics in the lecture-based session,Limitation,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,The authors state that the lecture may not have effectively conveyed certain complex topics.,A weakness of the lecture format identified from declines on some test questions.,"PDF p. 4, Section V"
c202M01N26,mixed Digital Transformation in Healthcare learning outcomes,Limitation,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"Digital Transformation scores improved on some questions but declined on Q1, Q2, and Q5.",Inconsistent learning results following the Digital Transformation lecture.,"PDF p. 4, Sections IV.A and V"
c202M02N21,Limited Baseline Knowledge,Limitation,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"In the pre-activity test, participants demonstrated moderate baseline knowledge in this area, with average scores ranging from 35% to 73%",Participants' limited initial understanding of digital health topics before training,Page 4
c202M02N22,Insufficient Digital Literacy,Limitation,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"Insufficient digital literacy and a lack of targeted training among frontline healthcare workers, particularly Village Health Volunteers",Gap in digital skills among VHVs limiting their ability to use digital health tools,Page 1
c202M02N23,Harvest Season Attrition,Limitation,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,17 individuals were excluded from the final analysis due to incomplete participation... A key reason for early departures was that the training coincided with the local harvest season,External factor causing participant attrition during the training program,Page 3
c202M02N32,Knowledge-to-Practice Gap,Limitation,I,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Future training programs may benefit from... follow-up activities to evaluate how well the training is applied in real-life practice,Potential gap between training knowledge and real-world application,Page 4
c202M02N33,Forgetting Curve,Limitation,I,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Future training programs may benefit from... follow-up activities to evaluate how well the training is applied in real-life practice,Natural decline in knowledge retention over time,Page 4
c203M01N28,misleading or unsafe suggestions,Limitation,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The authors state that adolescents need to distinguish reliable AI-generated content from misleading or unsafe suggestions.,Potentially unreliable or harmful recommendations generated or conveyed through AI.,"Page 9, Section 4.3"
c203M01N29,weak information screening and judgment,Limitation,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,Adolescents with low health information literacy had relatively weak information-screening and judgment abilities.,Limited ability to filter and assess AI-generated information.,"Page 9, Section 4.3"
c203M01N30,social desirability or recall bias,Limitation,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The authors acknowledge that self-reported questionnaires may be subject to social desirability or recall bias.,Distortion caused by socially desirable responding or inaccurate recollection.,"Page 9, Section 6"
c203M01N31,cross-sectional design limits causal inference,Limitation,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The authors state that the cross-sectional design limits causal inference.,Inability of the study design to establish temporal or causal effects.,"Page 9, Section 6"
c203M01N32,sample limited to southern Chinese cities,Limitation,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The sample was limited to southern Chinese cities with relatively homogeneous cultural and economic contexts.,Restricted geographic and contextual generalizability.,"Page 9, Section 6"
