"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N19","N21","be_composed_of","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","DI VR lets trainees follow the instructions of the system to complete operations and learn.","Section 3.2"
"N20","N22","be_composed_of","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The prototyping of PF VR includes two phases: an Exploration stage and an Instruction stage. In the exploration stage, the system does not guide trainees.","Section 3.2"
"N20","N23","be_composed_of","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The prototyping of PF VR includes two phases: an Exploration stage and an Instruction stage.","Section 3.2"
"N20","N24","be_composed_of","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The feedback includes the animation of accidents due to the wrongly equipped items and a summary of the right and wrong selections.","Section 3.2"
"N19","N25","be_composed_of","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the system provides feedback again, summarizing the properties of the gas and the selection of equipment.","Section 3.2"
"N20","N25","be_composed_of","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the system provides feedback again, summarizing the properties of the gas and the selection of equipment.","Section 3.2"
"N20","N40","be_composed_of","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The animations are designed to provide realistic visual feedback on trainees' wrong selections of equipment.","Section 3.2"
"N01","N02","be_derived_from","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the required equipment is determined and constructed according to the relevant regulations in PRC's 'Confined Space Safety Working Guide'","Section 3.1"
"N02","N04","be_derived_from","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Table 1. Confined space scenarios and required equipment. GasPropertiesRequired equipmentH2SExplosive, toxic and corrosiveSafety helmet, safety belt, protective clothing, Respirators, explosion-proof phones","Section 3.1"
"N01","N05","translate_into","I","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Trainees need to remember what equipment to carry in different scenarios to ensure their safety while entering confined spaces, internalizing the rules from the guide.","Section 3.1"
"N01","N06","translate_into","I","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Trainees need to choose the right equipment to protect themselves before entering space, translating regulatory guidelines into safe behavioral responses.","Section 3.1"
"N02","N05","translate_into","I","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Trainees are supposed to choose corresponding items for the gas detected in the confined space, using their prior knowledge gained from the equipment selection rules.","Section 3.2"
"N02","N06","translate_into","I","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Correct equipment selection represents safe behavioral response, derived directly from the equipment selection rules.","Section 3.1"
"N04","N05","translate_into","I","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The gas properties and required equipment data explicitly informs the trainees' internalized knowledge of which equipment to select.","Section 3.1, Table 1"
"N05","N11","be_absorbed_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Trainees get 1 point for each question if they just choose all the right options; if not, they get 0 points.","Section 3.4"
"N06","N11","be_absorbed_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Trainees need to choose the right equipment to protect themselves before entering space.","Section 3.1"
"N07","N11","be_absorbed_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","trainees attempt to solve challenging problems before receiving explicit instruction","Section 1"
"N08","N11","be_absorbed_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","experiencing disasters can benefit disaster preparedness and responses","Section 1"
"N11","N19","participate_in","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the trainees were randomly assigned to one of the two training methods","Section 3.3"
"N11","N20","participate_in","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the trainees were randomly assigned to one of the two training methods","Section 3.3"
"N12","N19","participate_in","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","university students and non-construction workers with similar experience and knowledge levels of construction activities were selected as experimental trainees","Section 3.5"
"N12","N20","participate_in","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","university students and non-construction workers with similar experience and knowledge levels of construction activities were selected as experimental trainees","Section 3.5"
"N13","N19","participate_in","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","university students and non-construction workers with similar experience and knowledge levels of construction activities were selected as experimental trainees","Section 3.5"
"N13","N20","participate_in","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","university students and non-construction workers with similar experience and knowledge levels of construction activities were selected as experimental trainees","Section 3.5"
"N05","N19","be_transferred_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","DI VR lets trainees follow the instructions of the system to complete operations and learn.","Section 3.2"
"N05","N20","be_transferred_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","PF VR provides a VR learning scenario where trainees are first presented with complex problems that they attempt to solve using their existing knowledge.","Section 3.2"
"N06","N19","be_transferred_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","DI VR lets trainees follow the instructions of the system to complete operations and learn.","Section 3.2"
"N06","N20","be_transferred_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","PF VR provides a VR learning scenario where trainees are first presented with complex problems that they attempt to solve using their existing knowledge.","Section 3.2"
"N19","N05","evaluate","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The system provides feedback again, summarizing the properties of the gas and the selection of equipment.","Section 3.2"
"N20","N05","evaluate","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The feedback includes the animation of accidents due to the wrongly equipped items and a summary of the right and wrong selections.","Section 3.2"
"N19","N26","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The platform used for the virtual training was the HTC VIVE","Section 3.1"
"N20","N26","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","The platform used for the virtual training was the HTC VIVE","Section 3.1"
"N19","N27","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Trainee interaction with the 3D models was coded in Unity through C# programming.","Section 3.1"
"N20","N27","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","Trainee interaction with the 3D models was coded in Unity through C# programming.","Section 3.1"
"N19","N28","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","We used Autodesk 3dmax to develop the virtual models of the scene","Section 3.1"
"N20","N28","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","We used Autodesk 3dmax to develop the virtual models of the scene","Section 3.1"
"N19","N03","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","A questionnaire was designed to collect the information at each stage of the experiment. The pre-test questionnaire... measured the trainees' knowledge of equipment choices.","Section 3.3"
"N20","N03","adopt","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","A questionnaire was designed to collect the information at each stage of the experiment. The pre-test questionnaire... measured the trainees' knowledge of equipment choices.","Section 3.3"
"N14","N33","be_constrained_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the traditional training methods lack immersion","Section 1"
"N14","N34","be_constrained_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","traditional training methods lack immersion and can cause ethical issues in some cases","Section 1"
"N15","N33","be_constrained_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the traditional training methods lack immersion","Section 1"
"N15","N34","be_constrained_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","traditional training methods lack immersion and can cause ethical issues in some cases","Section 1"
"N16","N33","be_constrained_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the traditional training methods lack immersion","Section 1"
"N16","N34","be_constrained_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","traditional training methods lack immersion and can cause ethical issues in some cases","Section 1"
"N17","N33","be_constrained_by","E","Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality","the traditional training methods lack immersion","Section 1"
