"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c209M02N47","Cadaver resource scarcity","Environmental Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","cadaver resources are scarce, and preservation and handling are complex","External constraint limiting the availability of cadavers for traditional anatomical teaching.","Page 2, Introduction","ED07","Supply-Chain & Logistical Environment"
"c209M02N48","Cadaver preservation and handling complexity","Environmental Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","cadaver resources are scarce, and preservation and handling are complex","External constraint requiring specialised facilities, chemicals, and procedures for cadaver maintenance.","Page 2, Introduction","ED05","External Technological & Infrastructure Environment"
"c209M02N49","Lung parenchyma opacity","Environmental Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","due to the opacity of lung parenchyma, it is difficult to teach sublobar structures within the lungs","Physical constraint where lung tissue opacity prevents direct visualisation of internal vascular and bronchial structures.","Page 2, Introduction","ED10","Ambiguous Environmental Dependency(*)"
"c210M02N36","China NHC ethical research regulations","Environmental Dependency","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","All procedures complied with the Ethical Review of Biomedical Research Involving Human Beings issued by the China's National Health Commission","External regulatory framework governing ethical conduct of biomedical research involving human participants in China.","Page 3","ED01","Political, Regulatory & Jurisdictional Environment"
"c210M02N37","Stable internet connection for WeChat access","Environmental Dependency","I","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","WeChat push service-based platform; transcending geographical barriers","Not mentioned","Page 6","ED09","Local Utility & Connectivity Conditions"
"c212M02N29","Regional availability (urban centers)","Environmental Dependency","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","The participant sample was drawn from several leading medical institutions across three regions of the country: Moscow, St. Petersburg, and Perm.","Geographic distribution of study participants across three major Russian cities: Moscow, St. Petersburg, and Perm.","Page 3","ED08","Geographic & Physical Site Context"
"c212M02N30","Student eligibility criteria","Environmental Dependency","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","To participate in the study, individuals had to meet criteria: be employed as a nurse and be between ages 25 and 45. Participants who were on leave, sick leave, or who declined to participate were excluded.","Participant selection requirements including current nursing employment, age range 25-45 years, and exclusion of those on leave or declining participation.","Page 3-4","ED06","Client, Procurement & Institutional Environment"
"c213M01N38","healthcare privacy regulations","Environmental Dependency","E","Blockchain-Enabled Predictive Digital Twin Approach For Healthcare: Enhancing Accuracy And Performance With Federated Learning","Healthcare collaboration must protect patient privacy and operate within privacy regulations.","External regulatory requirements governing healthcare information and predictive-model exchange.","Sections 4-5 and 8.1, pp. 4-5 and 10","ED01","Political, Regulatory & Jurisdictional Environment"
"c214M01N36","physical and visual thresholds","Environmental Dependency","E","Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","VR participation requires physical and visual suitability to reduce discomfort or adverse effects.","Participant physiological requirements constraining access to VR training.","Section 7.3, PDF pages 17–18","ED10","Ambiguous Environmental Dependency(*)"
"c214M02N41","Nuclear facility confidentiality restrictions","Environmental Dependency","E","Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","Due to strict confidentiality requirements and annual radiation exposure limits, on-site training opportunities are restricted","Security barriers limiting physical access to nuclear facilities for training","Section 2.1, Page 2","ED06","Client, Procurement & Institutional Environment"
