node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N07,Assembly line operator,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The process begins when an operator verbally reports a machine fault to a supervisor.,The shop-floor worker who runs the manufacturing equipment and discovers physical faults.,Page 5
c201M01N08,Maintenance supervisor,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,He finds the maintenance supervisor and verbally explains the problem.,The organizational role responsible for distributing tasks to available technicians.,Page 5
c201M01N09,Technician,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The supervisor grabs the nearest available technician... and sends them to investigate.,The operational worker tasked with diagnosing machine faults and conducting maintenance repairs.,"Page 4, Page 5"
c201M01N10,Procurement manager,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The technician fills out a paper purchase request form and leaves it on the procurement manager's desk.,The administrator in charge of handling purchasing documentation and parts acquisitions.,"Page 4, Page 5"
c201M02N13,User (domain expert),Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The user initiated the conversation by describing the entire reactive maintenance process,The person interacting with the chatbot to provide process knowledge,Section 3.2
c202M01N01,Degree students,Knowledge Holder,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,They were Degree students (36 participants),Undergraduate university participants evaluated in the study.,"PAGE 5, Line 240; PAGE 6, Line 277"
c202M01N03,PhD students,Knowledge Holder,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,and PhD (two participants).,Doctoral level research participants evaluated in the study.,"PAGE 6, Line 277"
c202M01N04,Instructors,Knowledge Holder,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,Instructors demonstrated how to assembly the IoT circuit,Teaching facilitators directing the foundational manual demonstration phase.,"PAGE 8, Line 331"
c202M02N07,Participants,Knowledge Holder,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"40 participants, including 22 females 18 males, consisting of Degree students (36), Master (2), and PhD (2).",University students who took part in the experiment.,Page 5-6 (3.2 Participants)
c202M02N08,MAR group participants,Knowledge Holder,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"20 participants in the MAR group (10 male, 10 female).",Subset of participants who used the MAR application.,Page 6 (Table 1)
c202M02N09,Paper group participants,Knowledge Holder,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"20 participants in the paper group (8 male, 12 female).",Subset of participants who used the paper manual.,Page 6 (Table 1)
c203M01N05,CEOs,Knowledge Holder,E,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,"The research team then emailed invitations to 495 qualified managers (e.g. CEOs, operations managers)",Chief executive officers with strategic decision-making authority,"Page 8, Line 197"
c203M01N06,Operations managers,Knowledge Holder,E,Digital Technologies And Circular Economy Capabilities: Exploring The Roles Of Supply Chain Knowledge Development Processes And Environmental Uncertainty,"The research team then emailed invitations to 495 qualified managers (e.g. CEOs, operations managers)",Managers tasked with running business and manufacturing operations,"Page 8, Line 197"
