node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c202M02N25,Harvest Season,Environmental Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"The training coincided with the local harvest season, during which many participants - who are predominantly farmers - had to return to their agricultural duties",Agricultural season external factor affecting participant availability for training,Page 3
c202M02N26,Lamphun Hospital Venue,Environmental Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,The vocational training program was conducted as a one-day event at Lamphun Hospital,Physical location where the training was conducted,Page 3
c202M02N27,Rural Community Setting,Environmental Dependency,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,In rural areas where access to healthcare professionals and medical services remains limited,Geographic context of the training and VHV work environment,Page 1
c203M01N26,campus Wi-Fi,Environmental Dependency,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,Campus Wi-Fi is identified as a facilitating condition through which digital behavior can translate into offline exercise practice.,Network access available in the school environment.,"Page 7, Section 4.1"
c203M01N27,widespread mobile device availability,Environmental Dependency,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,Widespread mobile device availability is identified as a facilitating condition.,Availability of devices through which adolescents can access generative AI.,"Page 7, Section 4.1"
c203M02N12,Internet infrastructure,Environmental Dependency,I,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,"Facilitating conditions (e.g., campus Wi-Fi, widespread mobile device availability) translates digital behaviors into offline exercise practices.","Facilitating conditions (e.g., campus Wi-Fi, widespread mobile device availability) translates digital behaviors into offline exercise practices.","Page 7, Section 4.1"
c205M01N36,Good Manufacturing Practices,Environmental Dependency,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,Operators had to ensure the quality standards expected in Good Manufacturing Practices.,Quality standards governing cleanroom cytotoxic preparation.,"Materials and methods, page 2"
c205M02N25,Good Manufacturing Practices (GMP),Environmental Dependency,G,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,The standards of quality expected in Good Manufacturing Practices must be ensured.,"The external regulatory standards that dictate the quality and safety requirements for pharmaceutical production, including chemotherapy preparation.","Page 2, Materials and methods, Game-based training strategy"
c206M02N52,Cross-Platform Mobile Operating System Compatibility,Environmental Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,The HEM-SC-IM application was compatible with both iOS and android platforms,Platform requirements for app usage,Page 5
c206M02N53,Personal Smartphone Ownership and Technical Access,Environmental Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,The app... installed on students' phones,Requirement that students own mobile phones for access,Page 5
c206M02N55,2021-2022 Academic Year Fixed Schedule Constraint,Environmental Dependency,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,The study was conducted during the 2021-2022 academic year,Temporal context of the research,Page 1
c207M01N23,real patient interactions,Environmental Dependency,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,"Traditional training depends on real patient interaction, which may be limited in resource-constrained settings.",Access to suitable real patients for clinical teaching and assessment.,"PDF pp. 2 and 7-9, Introduction; Results: Theme 4; Discussion"
c207M01N24,restricted access to clinical facilities,Environmental Dependency,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,Traditional clinical training frequently encounters restricted access to clinical facilities.,Limited availability of physical clinical locations and resources.,"PDF p. 2, Introduction"
