node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c006M01N01,"OHS knowledge, incidents, and best practices",Explicit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","Valuable information on incidents, accidents and best practices is lost as staff changes in companies",PAGE 1
c006M01N02,Real-time hazard identification performance and safety awareness,Tacit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","BIM enables precise identification of hazards and risks during the design stages, facilitating the implementation of appropriate control measures. PtD promotes a proactive safety mindset",PAGE 1
c006M01N03,Staff/Personnel,Knowledge Holder,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","Valuable information on incidents, accidents and best practices is lost as staff changes in companies",PAGE 1
c006M01N04,Safety management team,Knowledge Holder,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",The simulations were carried out by the team of professionals in charge of health and safety management on the project.,PAGE 3
c006M01N05,Construction workers,Knowledge Holder,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",conducts interviews with workers involved in construction who apply PtD and occupational safety and health (OHS) measures,PAGE 2
c006M01N06,Traditional hazard identification and risk assessment methods,Traditional Human-central Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","In developing countries, only traditional methods for hazard identification, risk assessment and accident prevention are applied in the design phase",PAGE 1
c006M01N07,Ultra Safety Design (USD) methodology,Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","This paper introduces a novel methodology called Ultra Safety Design (USD), which comprehensively addresses OHS management in construction projects.",PAGE 1
c006M01N08,Excel-based PtD application,Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",an application was developed in Microsoft Excel oriented to OHS management based on the PtD initiative and processes,PAGE 3
c006M01N09,PowerApps mobile application,Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","In PowerApps, an application was created to visualize the information of the previous phases during the execution of the project",PAGE 4
c006M01N10,Centralized SQL database server,Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","The integration of Building Information Modelling (BIM), Prevention through Design (PtD) and a centralized database through an SQL server has been proposed.",PAGE 2
c006M01N11,Building Information Modelling (BIM) 4D simulation,Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","BIM enables precise identification of hazards and risks during the design stages, facilitating the implementation of appropriate control measures.",PAGE 1
c006M01N12,Cloud computing technology,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",a relational table (SQL) data server has been developed on the Microsoft Azure platform.,PAGE 4
