uuid,Title,tacit_knowledge_array,digital_technology_array,sector,tacit_taxonomy,digital_taxonomy,sector_taxonomy
58951602-c83a-4a49-824a-c5a86575341f,Illustrating The Intangible Cultural Heritage Of Santhals And Kuki: Pushing The Boundaries Of Knowledge Sharing In The Era Of Technology,"[{""tacit_knowledge"": ""Contextual understanding of the meaning-making process among Santhals and Kukis, rooted in decolonization"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""Multisensory, performative expressions of cultural identity"", ""tacit_knowledge_normalized"": ""Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""cultural knowledge transfer practices"", ""tacit_knowledge_normalized"": ""Other(cultural knowledge transfer practices)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""performative expressions"", ""tacit_knowledge_normalized"": ""Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""cultural knowledge transfer"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""smartphones"", ""digital_technology_normalized"": ""Mobile, Social, and Communication Technologies""}, {""digital_technology"": ""virtual reality"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}, {""digital_technology"": ""augmented reality"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}, {""digital_technology"": ""GIS"", ""digital_technology_normalized"": ""Imaging, Sensing, and Perception Technologies""}, {""digital_technology"": ""3D Scanning"", ""digital_technology_normalized"": ""Imaging, Sensing, and Perception Technologies""}, {""digital_technology"": ""blockchain-enabled tribal archives"", ""digital_technology_normalized"": ""Distributed, Secure, and Trust Technologies""}, {""digital_technology"": ""virtual and augmented reality"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}, {""digital_technology"": ""VR-based oral histories"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}, {""digital_technology"": ""GIS"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}]","[{""sector_name"": ""Services (Museums, Art Galleries, And Botanical And Zoological Gardens)"", ""sector_id"": ""SIC 84"", ""sector_confidence"": ""low""}, {""sector_name"": ""Services (Museums, Art Galleries, And Botanical And Zoological Gardens)"", ""sector_id"": ""SIC 84"", ""sector_confidence"": ""medium""}]","[""Cognitive tacit knowledge"",""Somatic tacit knowledge"",""Other"",""Collective and relational tacit knowledge""]","[""Mobile, Social, and Communication Technologies"", ""Human–Computer Interaction and Immersive Technologies"", ""Imaging, Sensing, and Perception Technologies"", ""Distributed, Secure, and Trust Technologies"", ""Data, Information, and Knowledge Systems""]",["84"]
b0f10ad6-9a79-4a02-b86f-6b7cc0c11040,Developing Ethical Principle Awareness And Reasoning In A Cybersecurity Context: Enhancing User Understanding Using Ripple Down Rules,"[{""tacit_knowledge"": ""Ethical reasoning in cybersecurity decision-making"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""ethical principle identification and reasoning"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""Ripple Down Rules (RDR)"", ""digital_technology_normalized"": ""Rule-Based, Decision, and Expert Systems""}, {""digital_technology"": ""Ripple Down Rules (RDR) method"", ""digital_technology_normalized"": ""Rule-Based, Decision, and Expert Systems""}]","[{""sector_name"": ""Services (Educational Services)"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""medium""}, {""sector_name"": ""Services (Engineering, Accounting, Research, Management, And Related Services)"", ""sector_id"": ""SIC 87"", ""sector_confidence"": ""high""}, {""sector_name"": ""Services (Educational Services)"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}]",["Cognitive tacit knowledge"],"[""Rule-Based, Decision, and Expert Systems""]","[""82"", ""87""]"
4d599183-0632-4616-b89f-68a9fa90eda0,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","[{""tacit_knowledge"": ""Tacit knowledge sharing among SMEs in manufacturing"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""tacit knowledge sharing"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""tacit knowledge sharing"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""Artificial Intelligence (AI)"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""Metaverse"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}]","[{""sector_name"": ""Manufacturing (Industrial And Commercial Machinery And Computer Equipment)"", ""sector_id"": ""SIC 35"", ""sector_confidence"": ""low""}, {""sector_name"": ""Manufacturing (Miscellaneous Manufacturing Industries)"", ""sector_id"": ""SIC 39"", ""sector_confidence"": ""high""}]","[""Collective and relational tacit knowledge"",""Cognitive tacit knowledge""]",["Artificial Intelligence and Intelligent Computation"],["39"]
22c5b5e9-593c-4449-9ea3-a68eeb14eda1,Drivers Of The Integration Of Virtual Reality Into Construction Safety Training In Ghana,"[{""tacit_knowledge"": ""Boosting the culture of safety through VR-based training, which renders safety proactive and enables a higher level of knowledge retention through frequent safety-free simulations"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""creation of realistic simulation and training environments"", ""tacit_knowledge_normalized"": ""Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""proactive safety and higher level of knowledge retention through frequent safety-free simulations"", ""tacit_knowledge_normalized"": ""Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""Virtual Reality (VR)"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}, {""digital_technology"": ""virtual reality (VR)"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}]","[{""sector_name"": ""Construction (Building Construction—General Contractors And Operative Builders)"", ""sector_id"": ""SIC 15"", ""sector_confidence"": ""high""}]","[""Cognitive tacit knowledge"",""Somatic tacit knowledge""]",["Human–Computer Interaction and Immersive Technologies"],["15"]
e00ed4bb-576c-4d33-b285-66aecc27db60,Multiscreen Technology’S Impact On Workplace Learning And Performance,"[{""tacit_knowledge"": ""Multiscreening behavior influences knowledge acquisition and dissemination, and subsequently, organizational responsiveness and performance"", ""tacit_knowledge_normalized"": ""Adaptive tacit knowledge (Situational problem-solving, other)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""Multiscreen utilization (concurrent or sequential use of multiple digital devices)"", ""digital_technology_normalized"": ""Mobile, Social, and Communication Technologies""}, {""digital_technology"": ""multiscreen utilization"", ""digital_technology_normalized"": ""Mobile, Social, and Communication Technologies""}]","[{""sector_name"": ""Services (Business Services)"", ""sector_id"": ""SIC 73"", ""sector_confidence"": ""medium""}, {""sector_name"": ""Transportation, Communications, Electric, Gas, And Sanitary Services (Communications)"", ""sector_id"": ""SIC 48"", ""sector_confidence"": ""high""}]",["Adaptive tacit knowledge"],"[""Mobile, Social, and Communication Technologies""]","[""73"", ""48""]"
18b12690-ee09-462f-9cb9-d8c52d615cb5,Design And Application Evaluation Of The Nursing Informatics Intelligent Question-Answering System Based On Generative Artificial Intelligence,"[{""tacit_knowledge"": ""The system could improve knowledge acquisition efficiency and facilitates better understanding of nursing informatics research trends and academic exchange information"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""Generative artificial intelligence (DeepSeek-V3 model)"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""Web crawling technology"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""fastGPT platform"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""generative artificial intelligence"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""web crawling technology"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""DeepSeek-V3 model"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}]","[{""sector_name"": ""Services (Health Services)"", ""sector_id"": ""SIC 80"", ""sector_confidence"": ""high""}]",["Cognitive tacit knowledge"],"[""Artificial Intelligence and Intelligent Computation"", ""Data, Information, and Knowledge Systems""]",["80"]
e327f913-0d8f-4869-a5bb-5d81bd34683c,"Ict Adoption And Use As Drivers Of Knowledge Acquisition, Organizational Performance, And Corporate Entrepreneurship: Evidence From Tourism Smes In Colombia","[{""tacit_knowledge"": ""practical appropriation of digital tools enhances and complements existing infrastructure"", ""tacit_knowledge_normalized"": ""Adaptive tacit knowledge (Situational problem-solving, other)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""information and communication technology (ICT)"", ""digital_technology_normalized"": ""Mobile, Social, and Communication Technologies""}, {""digital_technology"": ""information and communication technology (ICT)"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}]","[{""sector_name"": ""Services (Hotels, Rooming Houses, Camps, And Other Lodging Places)"", ""sector_id"": ""SIC 70"", ""sector_confidence"": ""high""}, {""sector_name"": ""Services (Amusement And Recreation Services)"", ""sector_id"": ""SIC 79"", ""sector_confidence"": ""medium""}]",["Adaptive tacit knowledge"],"[""Mobile, Social, and Communication Technologies"", ""Data, Information, and Knowledge Systems""]","[""70"", ""79""]"
1a901e6d-d3e3-4b0b-9cfe-a42816fc3725,Ai-Powered Knowledge Ecosystems: How Knowledge Management Systems Drive Business Intelligence And Marketing Capabilities In Gulf Cooperation Council Enterprises,"[{""tacit_knowledge"": ""AI serves as a moderator between the KA, application, and BICs, which also positively influence MC"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""Knowledge Management Systems (KMS)"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""Artificial Intelligence (AI)"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}]","[{""sector_name"": ""Services (Business Services)"", ""sector_id"": ""SIC 73"", ""sector_confidence"": ""medium""}, {""sector_name"": ""Nonclassifiable Establishments"", ""sector_id"": ""SIC 99"", ""sector_confidence"": ""low""}]",["Cognitive tacit knowledge"],"[""Data, Information, and Knowledge Systems"", ""Artificial Intelligence and Intelligent Computation""]",["73"]
1fee803c-48b7-4b81-a162-20e489503a6b,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,"[{""tacit_knowledge"": ""generative capability as a higher-order dynamic capability rooted in knowledge acquisition, inheritance, and updating"", ""tacit_knowledge_normalized"": ""Adaptive tacit knowledge (Situational problem-solving, other)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""generative artificial intelligence (GenAI)"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}]","[{""sector_name"": ""Manufacturing (Miscellaneous Manufacturing Industries)"", ""sector_id"": ""SIC 39"", ""sector_confidence"": ""low""}, {""sector_name"": ""Services (Business Services)"", ""sector_id"": ""SIC 73"", ""sector_confidence"": ""medium""}]",["Adaptive tacit knowledge"],["Artificial Intelligence and Intelligent Computation"],["73"]
eae3afa9-3d08-4e43-b42d-e9bc52ce91a2,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,"[{""tacit_knowledge"": ""Physicians' knowledge-sharing behaviors in online communities, including knowledge-seeking and knowledge-contribution, influenced by work stressors and perceived community emotional support"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""work overload, ethical conflict, and technological anxiety in clinical practice"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""physicians' stress levels and categorizing stressor types"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""perceived community emotional support"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""deep learning model"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}]","[{""sector_name"": ""Services (Health Services)"", ""sector_id"": ""SIC 80"", ""sector_confidence"": ""high""}, {""sector_name"": ""Health Services"", ""sector_id"": ""SIC 80"", ""sector_confidence"": ""high""}]","[""Cognitive tacit knowledge"",""Collective and relational tacit knowledge""]",["Artificial Intelligence and Intelligent Computation"],["80"]
