node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c201M01N12,Third- and fourth-year medical imaging undergraduates,Knowledge Learner,E,Workflow-Embedded Ai As A Cognitive Scaffold: A Randomized Trial On Knowledge Retention And Diagnostic Competency In Undergraduate Radiology Education,The trial randomized 110 eligible third- and fourth-year medical imaging undergraduates.,Participants with completed core coursework and limited clinical exposure.,"PDF pp. 2-3, Materials and methods"
c202M01N15,Village Health Volunteers (VHVs),Knowledge Learner,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,VHVs participated in the program to enhance their digital health knowledge and capabilities.,Frontline rural health volunteers receiving the vocational training.,"PDF pp. 1–4, Abstract and Sections I–VI"
c203M01N19,adolescents,Knowledge Learner,E,The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents' Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy,The study examines adolescents who use generative AI to acquire health knowledge and apply it in daily life.,Young people aged 12–18 who acquire and apply generative-AI health knowledge.,"Pages 1–4, Abstract and Methods"
c204M01N14,Users,Knowledge Learner,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,"Users follow the NPC, perform movements, collect cards, and complete quizzes.",People who undertake TWJB or comparison-system training.,"Sections 3.1–3.3, pp. 3–6"
c204M02N12,Healthy adult volunteers,Knowledge Learner,E,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,"""48 healthy adult volunteers""",Healthy individuals participating in the experimental evaluation of the system,"Page 7, Section 4"
c205M01N17,trainees,Knowledge Learner,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,Lower ICT-scoring operators were placed in the trainee group and performed or narrated the robot procedure.,Operators assigned the trainee role on the basis of lower ICT-usage scores.,"Materials and methods, page 3"
c205M01N18,operators,Knowledge Learner,E,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,"Fourteen operators participated in training and completed knowledge assessments before, after, and at six months.",Personnel learning to use the chemotherapy preparation robot.,"Methods and Results, pages 4-5"
c206M01N14,Study-group nursing students,Knowledge Learner,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,Sixty-four study-group students received traditional training plus HEM-SC-IM.,First-year nursing students assigned to the game-based mobile intervention.,"Abstract and Methods, pp. 1 and 3–5"
c206M01N15,Control-group nursing students,Knowledge Learner,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,Sixty-five control-group students received traditional training without additional educational tools.,First-year nursing students assigned to traditional instruction only.,"Abstract and Methods, pp. 1 and 3–5"
c206M02N21,First-Year Nursing Student Cohort (n=129),Knowledge Learner,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,Participants were recruited from first-year nursing students at Ataturk University during the 2021-2022 academic year,All 129 student participants in the study,Page 3
c206M02N22,Game-Based Mobile Learning Subgroup,Knowledge Learner,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,Students in the study group were provided with an additional educational intervention using the game-based mobile application (HEM-SC-IM),64 students receiving game-based learning intervention,Page 5
c206M02N23,Traditional Curriculum-Only Learning Subgroup,Knowledge Learner,E,From Surface To Deep Learning: Gamified Mobile Education For Subcutaneous And Intramuscular Injection Skills,Students in the control group did not receive any additional intervention beyond the theoretical and laboratory training,65 students receiving only traditional training,Page 5
c207M01N12,clinical students,Knowledge Learner,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,Twenty-four clinical students were taught and assessed with VTRACS.,"Students from Nursing Science, Dentistry, Medicine, and Surgery who received VR training and assessment.","PDF pp. 1 and 3-4, Abstract: Methods; Methods: Recruitment Strategy and Data Collection"
c207M02N26,Dentistry clinical trainees,Knowledge Learner,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,"""6 clinical students from each of...Dentistry"" - specifically dental students",Students enrolled in dental clinical training programs learning tooth extraction and dental examination procedures.,"Page 4, Table 1"
c207M02N27,Nursing clinical trainees,Knowledge Learner,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,"""6 clinical students from each of...Nursing Science"" - specifically nursing students",Students enrolled in nursing clinical training programs learning vital signs assessment and other nursing procedures.,"Page 4, Table 1"
c207M02N29,Surgical clinical trainees,Knowledge Learner,E,Virtual Reality In Training And Assessment Among Clinical Students And Lecturers At A Nigerian University: A Phenomenological Study,"""6 clinical students from each of...Surgery"" - specifically surgery students",Students enrolled in surgical clinical training programs learning surgical examination and procedural skills.,"Page 4, Table 1"
c208M01N13,AGACNP students,Knowledge Learner,E,Gamifying Chest X-Ray Interpretation For Advanced Practice Nurses,The project implemented the teaching model for AGACNP students at one academic institution.,Adult-gerontology acute care nurse practitioner students participating as learners.,"Background, page 1"
c209M01N12,clinical interns,Knowledge Learner,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Sixty-two clinical interns were randomly assigned to the 3DV and 3DP groups.,Fourth-year clinical medicine students participating in the teaching experiment.,"PDF pp. 1–2, Abstract and Participants and grouping"
