src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
c001M01N02,c001M01N17,be_transferred_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Total station and film photography retained elevations and partial depth data.,"Page 7, Table 6"
c001M01N05,c001M01N19,be_transferred_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Static pictures were used to present wartime sites and timelines.,"Page 3, Section 2.4.2"
c001M01N14,c001M01N18,participate_in,I,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Traditional exhibition is the visitor-experience baseline used in the VR comparison.,"Page 3, Section 2.3.2"
c001M01N16,c001M01N40,be_constrained_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Paper-based surveying is characterized by unidirectional recording.,"Page 7, Table 6"
c001M01N17,c001M01N41,be_constrained_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Total station and film photography is characterized by limited retrieval.,"Page 7, Table 6"
c001M01N19,c001M01N42,be_constrained_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Static-picture presentation does not scenically reproduce wartime refuge life.,"Page 3, Section 2.4.2"
c001M01N11,c001M01N12,be_shared_by,I,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The low return rate of indigenous people is directly associated with the interruption risk for ICH skills.,"Page 7, Section 4.1.3"
c001M01N11,c001M01N43,be_difficult_to_capture_due_to,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,ICH skills are explicitly described as facing interruption in inheritance.,"Page 7, Section 4.1.3"
c001M01N09,c001M01N20,be_captured_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The wooden-construction craftsmanship process is digitally recorded in sequence.,"Page 2, Section 2.1.3"
c001M01N10,c001M01N20,be_captured_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The rammed-earth craftsmanship process is digitally recorded in sequence.,"Page 2, Section 2.1.3"
c001M01N20,c001M01N07,adopt,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Sequential recording is described under WH/T 99.9-2023 Part 9 on traditional craftsmanship.,"Page 2, Section 2.1.3"
c001M01N09,c001M01N21,be_transferred_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The interactive knowledge graph digitizes the recording of the wooden-construction process.,"Page 2, Section 2.1.3"
c001M01N10,c001M01N21,be_transferred_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The interactive knowledge graph digitizes the recording of the rammed-earth process.,"Page 2, Section 2.1.3"
c001M01N21,c001M01N46,be_constrained_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Fragmented formats and system-interoperability problems affect digital-preservation projects.,"Page 7, Section 4.2.3"
c001M01N02,c001M01N22,be_transferred_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The workflow collects and models architectural data at graded LOD precision.,"Pages 4-5, Sections 3 and 3.1"
c001M01N22,c001M01N06,adopt,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The graded approach is based on the Technical Standards for Historical Building Digitization.,"Page 2, Section 1.2.1"
c001M01N22,c001M01N08,adopt,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The localized workflow uses the LOD Level-Protection Intensity Mapping Table.,"Pages 4-5, Section 3.1 and Table 4"
c001M01N22,c001M01N27,adopt,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Ground laser scanning is part of the collaborative high-precision modeling workflow.,"Pages 4-5, Section 3.1"
c001M01N22,c001M01N31,adopt,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Thermal imaging scanning detects wood decay and hollow walls within the workflow.,"Page 5, Section 3.1"
c001M01N22,c001M01N44,be_constrained_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Rural point-cloud transmission failure restricts digital-preservation implementation.,"Page 3, Section 2.4.1"
c001M01N22,c001M01N45,be_constrained_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Advanced modeling costs three to five times more than traditional methods.,"Pages 3-4, Section 2.4.1 and Table 3"
c001M01N22,c001M01N46,be_constrained_by,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Fragmented formats and interoperability issues inhibit multi-scenario reuse.,"Page 7, Section 4.2.3"
