src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
c101M01N05,c101M01N01,be_held_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.,"PAGE 2, Line 77"
c101M01N01,c101M01N09,participate_in,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,All AI-generated visual elements underwent board-certified pediatric surgeon review.,"PAGE 5, Line 136"
c101M01N02,c101M01N09,participate_in,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Medical students and pediatric surgery residents viewed standardized lecture videos on five core pediatric surgery topics.,"PAGE 1, Line 10"
c101M01N03,c101M01N09,participate_in,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Medical students and pediatric surgery residents viewed standardized lecture videos on five core pediatric surgery topics.,"PAGE 1, Line 10"
c101M01N04,c101M01N09,participate_in,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Medical students and pediatric surgery residents viewed standardized lecture videos on five core pediatric surgery topics.,"PAGE 1, Line 10"
c101M01N09,c101M01N10,adopt,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models,"PAGE 3, Line 100"
c101M01N09,c101M01N11,adopt,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models,"PAGE 3, Line 100"
c101M01N09,c101M01N12,adopt,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"AI enhancement used FLUX.1-Fill and FLUX.1-dev models via ComfyUI, an open-source workflow interface","PAGE 3, Line 109"
c101M01N09,c101M01N13,adopt,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,with models loaded using GGUF Q8 quantization reducing computational requirements,"PAGE 3, Line 109"
c101M01N09,c101M01N14,adopt,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,All video assembly occurred in DaVinci Resolve.,"PAGE 3, Line 97"
c101M01N09,c101M01N15,adopt,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,with professional quality achieved through Adobe Podcast's free web-based enhancement tool.,"PAGE 3, Line 94"
c101M01N09,c101M01N06,evaluate,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Primary outcomes were perceived educational clarity (five-point Likert scale) and knowledge acquisition assessed by a 40-item multiple-choice examination.,"PAGE 1, Line 12"
c101M01N09,c101M01N07,evaluate,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Primary outcomes were perceived educational clarity (five-point Likert scale) and knowledge acquisition assessed by a 40-item multiple-choice examination.,"PAGE 1, Line 12"
c101M01N06,c101M01N03,be_absorbed_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"Among junior residents (n=20), AI-enhanced videos showed higher clarity and knowledge","PAGE 6, Line 183"
c101M01N06,c101M01N04,be_absorbed_by,I,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Educational benefits were consistent across training levels.,"PAGE 6, Line 182"
c101M01N08,c101M01N19,be_constrained_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Pediatric surgery training is challenged by declining clinical exposure and limited access to high-quality educational resources.,"PAGE 1, Line 7"
c101M01N09,c101M01N20,resolve,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Locally deployed AI production reduced per-video costs by 72-94% compared with traditional studio production.,"PAGE 1, Line 17"
c101M01N09,c101M01N21,resolve,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,The approach eliminates green screen infrastructure and its technical challenges.,"PAGE 7, Line 199"
c101M01N09,c101M01N08,complement,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"Al has the potential to be a powerful adjunct to surgical education if deployed thoughtfully and ethically, complementing rather than replacing the vital educator-learner relationship","PAGE 7, Line 254"
c101M01N09,c101M01N08,cannot_fully_replace,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Al cannot replace the critical role of educators and must be used as complementary tool with robust governance frameworks.,"PAGE 7, Line 255"
c101M01N09,c101M01N16,depend_on,I,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,This trade-off favors AI enhancement when faculty time is institutionally subsidized,"PAGE 7, Line 235"
c101M01N09,c101M01N17,depend_on,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,reducing computational requirements to enable operation on consumer-grade laptop,"PAGE 3, Line 109"
c101M01N09,c101M01N18,depend_on,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"This approach represents a practical, scalable strategy for enhancing pediatric surgery education, particularly in resource-limited settings.","PAGE 1, Line 19"
c101M01N09,c101M01N22,be_constrained_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"Second, outcomes were assessed immediately after video viewing; therefore, long-term knowledge retention and transfer to clinical performance were not evaluated.","PAGE 8, Line 258"
c101M02N01,c101M01N01,be_held_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.,"Page 2, Educational content"
c101M02N01,c101M02N16,be_transferred_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Identical scripts and narration were used in both groups; the intervention differed only by AI-based background enhancement.,"Page 2, Methods – Educational content"
c101M02N01,c101M02N17,be_transferred_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"Standard videos used identical scripts, edited in DaVinci Resolve.","Page 3, Standard video production"
c101M02N02,c101M01N01,be_held_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Expert-curated illustrations were overlaid; source expertise not explicitly stated but implicit from content development.,"Page 3, Standard video production (overlay of expert-curated illustrations)"
c101M02N02,c101M02N16,be_transferred_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Illustration overlay (0.5-1 h per video) in DaVinci Resolve as part of AI-enhanced workflow.,"Page 3, AI-Enhanced video production"
c101M02N02,c101M02N17,be_transferred_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Overlay of expert-curated illustrations using DaVinci Resolve (common to both conditions).,"Page 3, Standard video production"
c101M02N04,c101M02N03,be_derived_from,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Mean knowledge scores (76.8% vs. 69.5%) were calculated from the 40-item examination.,"Page 5, Primary educational outcomes"
c101M02N04,c101M01N02,be_absorbed_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Medical students in AI-enhanced group scored 7.3 percentage points higher than standard group.,"Page 5, Primary educational outcomes"
c101M02N04,c101M02N12,be_absorbed_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Junior residents in AI-enhanced group showed higher knowledge (difference 5.7 percentage points).,"Page 6, Subgroup analyses"
c101M01N07,c101M01N02,be_absorbed_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Mean clarity score was 4.52 (AI-enhanced) vs. 3.88 (standard) among medical students and residents.,"Page 5, Primary educational outcomes"
c101M02N07,c101M01N02,be_absorbed_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Visual comfort mean 4.48 (AI-enhanced) vs. 3.91 (standard).,"Page 5, Secondary outcomes"
c101M02N09,c101M01N02,be_absorbed_by,E,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,87.5% of AI-enhanced group would recommend vs. 63.3% of standard group.,"Page 5-6, Secondary outcomes"
c101M01N01,c101M02N13,participate_in,I,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Board-certified surgeons develop content for traditional studio videos.,"Page 2, Educational content (implied by 'traditional' production)"
