node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c101M01N10,LLM-powered chatbot,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The paper presents an LLM-powered chatbot that guides users in describing workflows and incrementally constructs a BPMN model.,"The implemented conversational system for eliciting, structuring, analysing, and modelling process knowledge.","Pages 2–3, Sections 1.6 and 2"
c101M01N11,interactive modelling session,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The evaluation was conducted through an interactive dialogue between a user and the chatbot.,"The evaluated workflow that creates, analyses, and revises process models through dialogue.","Pages 4–5, Figure 3 and Section 3.2"
c101M01N12,conversational frontend,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The implemented split-screen interface contains a chat window and a diagram canvas.,The user-facing module supporting conversation with the AI.,"Page 3, Section 2.1"
c101M01N13,client-side visualization,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Process diagrams are rendered in the browser, providing instant visual feedback and diagram interaction.",The implemented browser-side BPMN rendering and interaction module.,"Page 3, Section 2.1"
c101M01N14,intelligence layer,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The system's core logic is described as an intelligence layer powered by Google's Gemini 2.5 Pro API.,The module that interprets requests and generates structured process-model outputs.,"Page 3, Section 2.1"
c101M01N15,prompt engineering for structured output,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The system prompt was refined to compel a structured and predictable response containing XML and JSON blocks.,The implemented prompting method used to enforce the required output format.,"Page 3, Section 2.2"
c101M02N16,LLM-driven conversational assistant,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,This paper introduces a large-language-model (LLM)-driven conversational assistant that captures such knowledge on the shop floor and converts it incrementally and interactively into standards-compliant BPMN 2.0 diagrams,AI system that interviews users and generates process models,Page 1
c101M02N17,Gradio front-end,Technology-enable Practice,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user interface is built with Gradio, an open-source Python framework that enables the rapid development of web-based UIs",Web-based user interface framework,Page 3
c102M01N12,Traditional multi-step task interpretation,Technology-enable Practice,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,"Traditional task interpretation involves scene perception, scene graph construction, and task interpretation.",The pre-LLM digital pipeline used to generate interpretations of HRC scenes.,"Section III-A, p. 542; Figure 3"
c102M01N13,Scene perception module,Technology-enable Practice,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,"The scene perception module detects humans, robots, and industrial parts in the HRC workspace.",Operational module for detecting objects in an HRC scene.,"Section III-A, p. 542"
