"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","Multi-source heterogeneous quality data","Explicit Knowledge","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","The data layer includes the integration of multi-source heterogeneous data such as text data, table data and image data","Heterogeneous documentation, relational database rows, and multi-modal image files detailing quality indicators","Page 2, Source 105"
"N02","Aerospace quality knowledge subset (QS1)","Explicit Knowledge","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","obtain the knowledge subset (QS1) related to user needs. Knowledge subsets provide basic data for subsequent personalized recommendations.","A culled, contextually relevant sub-graph matching an engineer's target problem domain","Page 5, Source 211-212"
"N03","Standard terms in the knowledge base","Explicit Knowledge","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","bridge the gap between user expressions and standard terms in the knowledge base","The canonical vocabularies and standardized semantic indices used in the official repository","Page 4, Source 187"
"N04","Experience in handling historical similar faults and case analysis","Tacit Knowledge","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","provide engineers with experience in handling historical similar faults and case analysis","The uncodified practical know-how, insights, and mental troubleshooting schemas built by engineers over time","Page 5, Source 207"
"N05","Expert domain knowledge ability","Tacit Knowledge","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","evaluating the expert's comprehensive competence level and domain knowledge ability","Advanced technical mastery, cognitive problem-solving strategies, and intuition possessed by certified specialists","Page 5, Source 217"
"N06","Engineers","Knowledge Holder","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","help engineers quickly acquire relevant knowledge in complex situations","Technical personnel and system users navigating quality assurance and problem zeroing lifecycles","Page 1, Source 26"
"N07","Experts","Knowledge Holder","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","The expert competence model provides in-depth support for a specific task or problem","Senior specialized professionals who hold verified domain expertise","Page 5, Source 216-217"
"N08","Traditional knowledge management methods","Traditional Human-central Practice","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","the traditional knowledge management methods have been difficult to meet the growing demand","Legacy human-driven database searching, manual file lookups, and passive text study routines","Page 1, Source 25"
"N09","Aerospace quality knowledge graph-based proactive service system","Technology-enable Practice","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","design and implement a proactive service mechanism for aerospace quality knowledge based on knowledge graph","The integrated software environment that maps data layers and contextually pushes solutions to active workers","Page 1, Source 39"
"N10","Knowledge Graph technology","Digital Technology","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","As a structured knowledge representation, knowledge graph can associate and integrate knowledge from different sources","Semantic network framework linking discrete entities via explicit typed properties","Page 1, Source 27"
"N11","Deep learning algorithms","Digital Technology","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","knowledge proactive service algorithm based on deep learning integrates user behavior characteristics and job demand information","Neural network frameworks used to compute behavioral matrices and optimize ranking of pushes","Page 5, Source 219"
"N12","Natural language processing technology","Digital Technology","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","Text data is usually extracted and transformed by natural language processing technology","Algorithmic text parsing mechanisms including entity recognition and phrase vectorization","Page 2, Source 58"
"N13","Traditional methods struggle with growing data variety and sources","Limitation","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","there are many kinds of data and sources of knowledge involved in aerospace quality management, and the traditional knowledge management methods have been difficult to meet","The functional breakdown of legacy search systems when confronted with complex, siloed data scale","Page 1, Source 25"
"N14","Inconsistent user expressions and non-standard query terms","Limitation","I","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","users may enter a variety of query expressions, and the word similarity recall mechanism can effectively bridge the gap","The barrier created when informal human descriptions fail to trigger rigid string-matching indices","Page 4, Source 187"
"N15","Incomplete data and missing measurement parameters","Limitation","E","Research on the Construction of Aerospace Quality Knowledge System and Proactive Services","users often face problems such as incomplete data, missing measurement parameters or incomplete historical records","Information blind spots during active manufacturing or testing operations that stall decisions","Page 5, Source 199"
