node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
N01,"Energy-saving tips",Explicit Knowledge,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","Table I presents the results of energy simulations of the 12 scenarios useful to create the ""tips"" and the graphical indicators.","Not mentioned","Page 3, Table I"
N02,"Building Energy Model",Explicit Knowledge,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","The corresponding Building Energy Model was created using Design Builder software and validated based on the comparison with real monitored data","Not mentioned","Page 2"
N03,"Energy simulation results",Explicit Knowledge,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","Those 12 scenarios were simulated in the EnergyPlus software to determine electrical consumption (in kWh) and indoor air temperature (in °C) resulting from each possible combination.","Not mentioned","Page 2"
N04,"Optimal energy-saving behaviours",Tacit Knowledge,I,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","The VR training activity allowed me to learn that closing the blinds during the hottest hours can help reduce the internal temperature.","This is a behavioral skill/awareness the training aims to instill in participants.","Page 5, Table II"
N05,"Knowledge of thermal comfort",Tacit Knowledge,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","The recommendations provided in the training experience are useful for increase my knowledge of thermal comfort.","Not mentioned","Page 5, Table II"
N06,"Knowledge of energy consumption in summer",Tacit Knowledge,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","The recommendations provided in the training experience are useful for increase my knowledge of energy consumption in summer.","Not mentioned","Page 5, Table II"
N07,"Training participants",Knowledge Holder,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","The training experience was designed to involve about 50 participants using the CAVE system at the Department...","The participants are the individuals whose knowledge is being trained and evaluated.","Page 2"
N08,"Researchers/developers",Knowledge Holder,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","Elisa Di Giuseppe... Marco D'Orazio... This paper introduces the developed model and the assessment questionnaires...","They are the authors and creators of the training system.","Page 1"
N09,"Training with apps, mobile phones, tablets and PCs",Traditional Human-central Practice,I,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","Currently, the most used tools for training are apps, mobile phones, tablets and PCs.","These are described as the standard, current training tools, which are contrasted with the new VR approach.","Page 1"
N10,"Immersive training activity in a CAVE",Technology-enable Practice,E,"Optimizing Building Occupants' Energy-Related Behaviour: Development of a Training Activity in a Cave Automatic Virtual Environment","...a research activity with the goal of creating a training tool that will be utilized in a CAVE to optimize summer energy use in residential buildings was performed.","The core new practice developed and described in the paper.","Page 1-2"
