src_node_id,dst_node_id,relation_type,src_l1_node_id,dst_l1_node_id,evidence_label,case_title,evidence_statement
s001M02EK04,s001M02KH02,be_held_by,c001M01N01,c001M01N04,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Eighty per cent (32) of the participants had at least one year of work experience in the construction sector
s001M02EK04,s001M02KH03,be_held_by,c001M01N01,c001M01N05,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The participants consisted of 28 university students and 12 professionals from the construction sector.
s001M02TK09,s001M02KH02,be_held_by,c001M01N02,c001M01N04,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Eighty per cent (32) of the participants had at least one year of work experience in the construction sector
s001M02EK04,s001M02THR03,be_transferred_by,c001M01N01,c001M01N06,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"A control group received training via a traditional training method, in this case an excavation health and safety manual."
s001M02EK04,s001M02TP01,be_transferred_by,c001M01N01,c001M01N07,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The results demonstrate the potential of VR as a training tool for excavation safety and hazards.
s001M02TK09,s001M02TP01,be_captured_by,c001M01N02,c001M01N07,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),This study measures the practical performance to evaluate the effectiveness of the proposed VR training system.
s001M02KH02,s001M02TP01,participate_in,c001M01N04,c001M01N07,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The participants consisted of 9 university students and 30 professionals from the construction sector.
s001M02KH03,s001M02TP01,participate_in,c001M01N05,c001M01N07,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The participants consisted of 9 university students and 30 professionals from the construction sector.
s001M02KH02,s001M02THR03,participate_in,c001M01N04,c001M01N06,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"A control group received training via a traditional training method, in this case an excavation health and safety manual."
s001M02KH03,s001M02THR03,participate_in,c001M01N05,c001M01N06,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"A control group received training via a traditional training method, in this case an excavation health and safety manual."
s001M02THR03,s001M02ED01,depend_on,c001M01N06,c001M01N11,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Participants in the control group (Manual) received health and safety induction based on an excavation health and safety manual.
s001M02TP01,s001M02ED01,depend_on,c001M01N07,c001M01N11,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The training objectives of the immersive VR training system were developed based on two guidelines: Occupational Safety and Health Administration (OSHA)... and WorkSafe
s001M02TP01,s001M02TE02,adopt,c001M01N07,c001M01N08,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The training solution presented in this work was an immersive VR application deployed on one of the most popular standalone HMDs: Oculus quest.
s001M02TP01,s001M02EK04,adopt,c001M01N07,c001M01N14,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),This study adopted questioning as the instructional method for the immersive VR training system.
s001M02THR03,s001M02LI01,be_constrained_by,c001M01N06,c001M01N12,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"four weeks after training, the acquired knowledge decayed significantly for the Manual group"
s001M02TP01,s001M02LI01,mitigate,c001M01N07,c001M01N12,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"four weeks after training, the acquired knowledge... was retained well for the VR group"
s001M02EK04,s001M02KH02,be_absorbed_by,c001M01N01,c001M01N04,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Results based on scores obtained immediately after training indicate that VR training significantly enhanced... knowledge acquisition
s001M02EK04,s001M02KH03,be_absorbed_by,c001M01N01,c001M01N05,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Results based on scores obtained immediately after training indicate that VR training significantly enhanced... knowledge acquisition
s001M02TK10,s001M02KH02,be_absorbed_by,c001M01N03,c001M01N04,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Results based on scores obtained immediately after training indicate that VR training significantly enhanced... self-efficacy.
s001M02TK10,s001M02KH03,be_absorbed_by,c001M01N03,c001M01N05,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Results based on scores obtained immediately after training indicate that VR training significantly enhanced... self-efficacy.
s001M02TK09,s001M02LI02,be_difficult_to_capture_due_to,c001M01N02,c001M01N13,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),discovered a knowledge-to-practice gap... knowing more does not necessarily mean behaving more safely
s001M02EK04,s001M02TK09,translate_into,c001M01N01,c001M01N02,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),This implies that the knowledge acquired via VR training can inform actual actions.
s001M02TP01,s001M02EK04,evaluate,c001M01N07,c001M01N01,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"In this comparative study, participants' safety knowledge was measured via a knowledge test"
