node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c209M01N18,CT,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The model was reconstructed from lung CT scan images.,Medical imaging technology used to acquire the patient-specific source images.,"PDF p. 3, 3D reconstruction and model 3D printing"
c209M01N19,DICOM format,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Lung CT images were imported into Mimics in DICOM format.,The digital medical-imaging format used for model input.,"PDF p. 3, 3D reconstruction and model 3D printing"
c209M01N20,Mimics 23.0 software,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Mimics 23.0 was used for initial reconstruction and accurate delineation of sublobar boundaries.,Software used to reconstruct anatomical structures and delineate boundaries.,"PDF p. 3, 3D reconstruction and model 3D printing"
c209M01N21,3-matic 15.0 software,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Initial reconstruction was followed by post-processing using 3-matic 15.0.,Software used to post-process the reconstructed anatomy.,"PDF p. 3, 3D reconstruction and model 3D printing"
c209M01N22,Voxel Dance Additive 3.0 preprocessing software,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The STL file was imported into Voxel Dance Additive 3.0 for model inspection and repair.,Preprocessing software used to inspect and repair the printable model.,"PDF p. 3, 3D reconstruction and model 3D printing"
c209M01N23,J501Pro 3D printer,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The data were sent to a J501Pro 3D printer to produce the transparent hollow model.,The physical printer used to manufacture the teaching model.,"PDF p. 3, 3D reconstruction and model 3D printing"
c209M01N24,computer,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The 3DV group interacted with the digital model on a computer.,The device through which interns manipulated the 3DV model.,"PDF p. 4, Teaching intervention"
c209M01N25,3D printing,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,3D printing creates three-dimensional objects by layering materials and was used to make the physical model.,Additive manufacturing that creates three-dimensional objects by layering materials.,"PDF p. 2, Introduction; PDF p. 3, model production"
c209M02N37,CT scanning technology,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,"Based on individual patient imaging data, such as CT","Medical imaging technology using X‑rays to generate cross‑sectional images, used as source data for 3D reconstruction.","Page 2, Introduction"
c209M02N39,G*Power software,Digital Technology,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,"sample size was estimated using G*Power software (Version 3.1.9.7, Dusseldorf, Germany)","Statistical software for calculating required sample sizes based on effect size, significance level, and statistical power.","Page 3, Sample size calculation"
