node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,Unnamed: 8
c101M01N02,user,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The user initiated the conversation by describing the entire reactive maintenance process in a detailed message.,"The participant who supplies, reviews, and requests modifications to the process account.","Page 5, Section 3.2",
c101M01N03,veteran staff,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The paper states that undocumented expertise departs when veteran staff retire or switch jobs.,Experienced employees who hold undocumented organizational expertise.,"Page 1, Section 1.1",
c101M02N06,Assembly line operator,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,An assembly line operator hears a strange noise from a machine. He shuts it down and walks over to the maintenance workshop to report it,Worker who operates assembly line equipment,Page 5,
c101M02N07,Maintenance supervisor,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The supervisor grabs the nearest available technician, who may or may not be the expert on that specific machine",Supervisor responsible for maintenance team,Page 5,
c101M02N08,Non-specialist maintenance technician,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"the nearest available technician, who may or may not be the expert on that specific machine, and sends them to investigate",Technician who may not have specialized expertise,Page 5,
c101M02N09,Procurement manager,Knowledge Holder,E,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,leaves it on the procurement manager's desk,Manager responsible for purchasing,Page 5,
c102M01N10,Human,Knowledge Holder,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,"Temporal-video examples show a human touching the robot and reaching out a hand, from which intentions are predicted.",The human whose behavior supplies action-intention information.,"Section III-B, p. 543; Table II",
c102M02N16,Humans,Knowledge Holder,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,both the robot and the human have their own autonomy,Human workers possessing task knowledge,Page 2,
c102M02N17,Robots,Knowledge Holder,E,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,robotic component within the loop functions acts as a natural extension of the human body,Robotic agents possessing operational knowledge,Page 2,
c103M01N14,body-conducted-sound handwork test subject,Knowledge Holder,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,One test subject performed all handwork types over six iterations.,The sole human participant reported in acquisition.,"Section 3.2, p. 4",
