sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"THR13","Experiential and On-the-Job Learning","c209M01N13","cadaver dissection","Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.","THR13","Experiential and On-the-Job Learning"
"THR12","Codified-Material Learning","c209M01N14","2D imaging","Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.","THR12","Codified-Material Learning"
"THR12","Codified-Material Learning","c209M01N15","anatomical atlases","The paper states that 2D images and anatomical atlases lack three-dimensionality.","THR12","Codified-Material Learning"
"THR12","Codified-Material Learning","c209M02N27","2D imaging learning method","Traditional clinical teaching has typically relied on... 2D imaging","THR12","Codified-Material Learning"
"THR12","Codified-Material Learning","c210M01N14","Traditional didactic methods relying on print materials","The paper contrasts mobile learning with traditional didactic methods relying on print materials.","THR12","Codified-Material Learning"
"THR11","Instructor-Led Training and Briefings","c210M01N15","Telephonic communication","Telephonic communication is identified as part of traditional didactic delivery.","THR11","Instructor-Led Training and Briefings"
"THR17","Ambiguous Traditional Human-central Practice","c210M01N16","Professional workshops","Only 4.69 percent of intervention-group nurses had participated in PIVC-related workshops.","THR17","Ambiguous Traditional Human-central Practice"
"THR16","Human Expert Review and Validation","c210M01N18","Real-time on-site PIVC placement observation","Researchers observed and assessed nurses’ practical skills during real-time on-site PIVC placement operations.","THR16","Human Expert Review and Validation"
"THR11","Instructor-Led Training and Briefings","c210M02N22","Print materials and telephone didactic sessions","Traditional didactic methods relying on print materials and telephonic communication","THR11","Instructor-Led Training and Briefings"
"THR13","Experiential and On-the-Job Learning","c210M02N24","Spontaneous clinical experience accrual","Control group minor practice score fluctuation may reflect spontaneous clinical experience accumulation","THR13","Experiential and On-the-Job Learning"
"THR17","Ambiguous Traditional Human-central Practice","c211M01N12","Traditional offline communication","The introduction states that traditional offline communication is insufficient for increasingly intricate medical issues.","THR17","Ambiguous Traditional Human-central Practice"
"THR17","Ambiguous Traditional Human-central Practice","c211M02N14","Peer emotional support practice","Emotional support manifests as encouragement, empathy, and care functions to mitigate individual stress and its adverse effects","THR17","Ambiguous Traditional Human-central Practice"
"THR13","Experiential and On-the-Job Learning","c212M01N12","Practical sessions","The control group completed clinical exercises and scenarios without AI.","THR13","Experiential and On-the-Job Learning"
"THR14","Collaborative Group Learning","c212M01N13","Group discussions","Group discussions were included among the control group's traditional methods.","THR14","Collaborative Group Learning"
"THR14","Collaborative Group Learning","c212M01N14","Case studies","Students discussed clinical cases in groups under instructor guidance to develop moral skills.","THR14","Collaborative Group Learning"
"THR11","Instructor-Led Training and Briefings","c212M02N16","Traditional lectures and seminars","Teaching methods included lectures and seminars (traditional sessions conducted by instructors covering fundamental principles of bioethics and self-efficacy in medical practice), practical sessions (clinical exercises and scenarios without the use of AI), group discussions, and case studies.","THR11","Instructor-Led Training and Briefings"
"THR13","Experiential and On-the-Job Learning","c212M02N18","Practical clinical exercises","Practical sessions (clinical exercises and scenarios without the use of AI). Clinical exercises conducted without technological augmentation.","THR13","Experiential and On-the-Job Learning"
"THR12","Codified-Material Learning","c214M01N15","slide-based instruction","Slide-based instruction was one of the three experimentally compared training modalities.","THR12","Codified-Material Learning"
"THR11","Instructor-Led Training and Briefings","c214M02N20","Classroom lectures for nuclear safety training","Traditional safety training methods, such as classroom lectures, have significant limitations, including limited interactivity, low engagement, and weak motivation among participants","THR11","Instructor-Led Training and Briefings"
"THR12","Codified-Material Learning","c214M02N21","Slide-based instruction for nuclear safety","Slide-based instruction (Group 3, N = 30)","THR12","Codified-Material Learning"
"THR12","Codified-Material Learning","c214M02N23","Video watching for nuclear safety compliance","Conventional safety training approaches, such as classroom lectures and video watching, are hindered by limited interactivity, minimal engagement, and insufficient motivation","THR12","Codified-Material Learning"
"THR13","Experiential and On-the-Job Learning","c214M02N24","On-site physical training at nuclear facilities","Due to strict confidentiality requirements and annual radiation exposure limits, on-site training opportunities are restricted","THR13","Experiential and On-the-Job Learning"
