uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence,kr_DT_evidence,ic_label
002154c1-16c4-45d1-b2a2-f52ce001e41f,Yes,"The paper discusses the integration of technology into healthcare education to improve knowledge retention, clinical skills, and communication skills, indicating a focus on capturing and retaining knowledge.",high,clinical skills; communication skills,Somatic Tacit Knowledge; Relational Tacit Knowledge,high,Yes,"The paper mentions the use of e-learning platforms, virtual and augmented reality, simulation tools, and gamification to improve healthcare education, indicating the use of digital technologies to capture and retain knowledge.",high,e-learning platforms; virtual and augmented reality; simulation tools; gamification,"Human–Computer Interaction and Immersive Technologies; Data, Information, and Knowledge Systems",Empirical Study,"Method: a broad literature search using PubMed, Google Scholar and other databases identified relevant, contemporary studies, articles and reports regarding the use of technology in healthcare education.",high,Undisposed,True
002832b4-b4ee-4da5-8be8-bcc0060281bd,No,The abstract discusses the implementation of retrieval-augmented generation methods to enhance the authenticity and specificity in knowledge-intensive tasks using large language models. It does not discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,"The study employs quantization technology for local deployment of an open-source model with 6 billion parameters, and analyzes the retrieval-augmented generation framework integrating document parsing, vector databases, and text embedding models.",high,quantization technology; retrieval-augmented generation framework; document parsing; vector databases; text embedding models,"Data, Information, and Knowledge Systems",Empirical Study,"The paper discusses the practical application, employs quantization technology, and compares models at different quantization levels through experimental results.",high,Undisposed,False
0028461c-eaed-4cc0-883e-be5d10637e39,Yes,"The abstract discusses the use of video games as a method to support the delivery of a game development University module, indicating a focus on capturing and retaining knowledge.",high,students acceptance of playing video games as a learning method,Other(students acceptance of playing video games as a learning method),medium,Yes,The abstract explicitly mentions the use of video games as a learning method.,high,video games,Human–Computer Interaction and Immersive Technologies,Case Study,This paper presents a case study on playing video games as a method to support the delivery of a game development University module.,high,Undisposed,True
0073c88f-6cfa-4f6d-8b0c-1815e657d03b,Yes,"The abstract discusses the use of serious games to increase motivation and understanding, leading to improved knowledge retention in academic maritime education.",high,knowledge retention,None identified,low,Yes,The paper uses serious games and virtual reality practice as digital technologies to improve knowledge retention in academic maritime education.,high,serious games; virtual reality practice,Human–Computer Interaction and Immersive Technologies,Empirical Study,"These insights were used to explain the success of a longstanding business game course for advanced students first. Next was the development of a virtual reality practice in a first-year course to replace the lost internship. In this case, knowledge retention was improved significantly, albeit only by 5%.",high,Undisposed,True
00828d9b-764d-4018-a6a9-166d50744f20,Yes,This study aims to examine the underlying psychological mechanisms and boundary conditions in explaining the association between reverse mentoring and innovative performance.,high,employees’ personal resources (i.e. resilience and agility),Somatic Tacit Knowledge,medium,No,The abstract does not mention the use of digital technologies to capture or retain tacit knowledge.,high,None identified,None identified,Empirical Study,Data collected during the COVID-19 pandemic from a sample of 382 employees working in the Indian information technology (IT) sector were analyzed using partial least squares-structural equation modeling to test the proposed hypotheses.,high,Undisposed,False
008809eb-10ec-4eb2-8076-d6c5199737b5,Yes,The abstract discusses a Resource-Based View framework for SMEs to leverage internal resources and capabilities to mitigate the risks related to knowledge loss.,high,role of intellectual capital in mitigating knowledge risks; organizational culture’s impact on knowledge-sharing and security,Relational Tacit Knowledge; Collective Tacit Knowledge,high,No,The abstract mentions technological interventions for knowledge protection but does not explicitly discuss the use of digital technologies to capture or retain tacit knowledge.,medium,None identified,None identified,Conceptual Framework,This study proposes a Resource-Based View framework (RBV) for SMEs to leverage internal resources and capabilities to mitigate the risks related to knowledge loss.,high,Undisposed,False
009c4c3f-9639-47b4-bfab-575e2a5ab54a,No,The present study aims to investigate the influence of ChatGPT-4 on augmenting students' learning outcomes concerning music.,medium,None identified,None identified,None identified,Yes,The promise of ChatGPT-4 resides in customizing teaching materials to correspond with the distinct learning objectives and musical preferences of individual students.,high,ChatGPT-4,Artificial Intelligence and Intelligent Computation,Empirical Study,"To this end, an experiment was conducted with 74 undergraduate students hailing from Chugye University for the Arts, Korea. The participants were randomly assigned to two distinct groups. One experimental group was assigned to utilize ChatGPT-4, while the control group received traditional teacher-led instructions. Additionally, a questionnaire was employed. Data analysis was conducted using SPSS 22.",high,Undisposed,False
00a3c04b-0ab1-4665-ab35-afc74ef05a6c,No,"The study investigates how variations in instructional website design affect learning outcomes and identifies specific design elements that enhance engagement, knowledge retention, and cognitive processing in digital environments, but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,Yes,Two instructional websites on Python programming fundamentals incorporated distinct human-computer interaction principles to assess their impact on learning behaviors. An eye-tracking system monitored the eye gaze of participants to track user interactions. Screen recordings provided further data regarding user flows and interaction patterns.,high,instructional websites; eye-tracking system; screen recordings,"Human–Computer Interaction and Immersive Technologies; Imaging, Sensing, and Perception Technologies",Empirical Study,Data analysis was conducted using ANOVA and t-tests to evaluate the influence of user interface variations on cognitive processing and retention metrics.,high,Undisposed,False
00bd6dd6-76a3-44e6-ba40-a3c4f0857538,No,The abstract discusses the simulation and optimization of temperature fields for laser-cladded coatings but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,medium,None identified,None identified,None identified,No,The abstract mentions the use of optimization algorithms and simulation techniques but does not discuss using them to capture or retain knowledge.,medium,None identified,None identified,Empirical Study,A laser cladding heat source parameter optimization method based on the Newton–Raphson-based optimization-extreme learning machine (NRBO-ELM) and classification and Pareto dominance-based multiobjective evolutionary algorithm (CPS-MOEA) frameworks is proposed to improve the simulation accuracy of the laser cladding temperature field for high-entropy alloy powder.,high,Undisposed,False
00c107d0-13a6-4d2d-9b7d-5fbf7c472f8b,Yes,"The objective of this study was to investigate the impact of a robot-assisted teaching and learning system in STEM education on learners' academic knowledge, skills, and attitudes. The findings of the study indicate that the combination of robot teachers and tablet computers served as a supplementary learning resource within the learning environment. It accelerated knowledge acquisition, expanded hands-on experiences, and improved engagement and motivation among the learners.",medium,STEM knowledge and skills,Other(STEM knowledge and skills),medium,Yes,"Cyber-physical systems (CPS), along with information technology devices such as portable devices and robots, materials including knowledge contents, and Internet resources, can be integrated into curricula to guide learners in observing and experiencing STEM knowledge and skills. This integration provides opportunities for learners to cultivate their abilities to design creative works.",medium,Cyber-physical systems (CPS); portable devices; robots; Internet resources,"Cyber-Physical Systems, IoT, and Smart Environments; Data, Information, and Knowledge Systems",Empirical Study,"To achieve this objective, an experimental design was employed, with 30 college students assigned to learn and create a Drawdio electronic sound synthesizer using robot teachers and tablet computers. Pre- and post-tests were administered to measure students' academic achievement in STEM, and a survey was conducted to assess their attitudes toward STEM.",high,Undisposed,True
