"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M01N12","Knowledge decay over time","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Newly acquired knowledge is vulnerable because forgetting always occurs, as demonstrated by Ebbinghaus's forgetting curve.","The cognitive degradation of retained safety information over an extended period without refresher training.","Page 17, Section 6","LI01","Individual Cognitive & Memory Decay"
"c001M01N13","Knowledge-to-practice gap","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Their results suggest that physical therapy graduates do not use newly acquired knowledge to inform their practice... knowing more does not necessarily mean behaving more safely","The disconnect preventing written or cognitive knowledge from successfully transitioning into practical safe behaviors.","Page 17, Section 6","LI02","Pedagogical Design & Instructional Shortcomings"
"c001M02N35","Forgetting curve (Ebbinghaus)","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Newly acquired knowledge is vulnerable because forgetting always occurs, as demonstrated by Ebbinghaus's forgetting curve","Exponential decay of memory over time","p.17, Section 6","LI01","Individual Cognitive & Memory Decay"
"c001M02N36","Poor knowledge retention in traditional training","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","For the Manual group, significant difference between post-training and retention (p=0.030)","Knowledge decay after 4 weeks","p.15, Section 5.4.1","LI01","Individual Cognitive & Memory Decay"
"c001M02N37","Only questioning as instructional method","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","This study uses only questioning as the instructional method for the proposed VR training system","Limited pedagogical approach","p.18, Section 6.1","LI02","Pedagogical Design & Instructional Shortcomings"
"c001M02N38","Only explicit knowledge delivered","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","The VR training system only delivers explicit knowledge to participants","No implicit or procedural knowledge transfer","p.18, Section 6.1","LI02","Pedagogical Design & Instructional Shortcomings"
"c001M02N39","Lack of long-term practical performance measurement","Limitation","E","Immersive virtual reality training for excavation safety and hazard identification","Whether VR improves long-term practical performance is yet to be investigated","Study did not measure practical retention beyond immediate post-training","p.18, Section 6.1","LI02","Pedagogical Design & Instructional Shortcomings"
"c002M01N20","High modeling cost using advanced methods","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","cost of modeling per building is 3-5 times higher than traditional methods.","Financial constraint of adopting high-end digitization equipment.","Page 3, Section 2.4.1","LI05","Financial & Capital Deployment Constraints"
"c002M01N21","Rural data transmission failure and low interoperability","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","county-level projects is restricted to LOD200 models... data interoperability rate is below 30%.","Network bottleneck rendering large point clouds unusable in rural zones.","Page 3, Section 2.4.1","LI04","Hardware, Sensor & Infrastructure Constraints"
"c002M01N22","Fragmented scenarios (lack of wartime life recreation)","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","85% of digital exhibitions only passively show building exterior... but lack recreation of wartime life.","System shortcoming where displays lack live or animated context.","Page 3, Section 2.4.2","LI02","Pedagogical Design & Instructional Shortcomings"
"c002M01N23","Excessive commercialization / loss of cultural context","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","excessive commercial operation would decrease the number of EEG positive signals by 40%.","Shortcoming from overdevelopment reducing historical authenticity.","Page 3, Section 2.3.1","LI11","Socio-Organizational Resistance & Cultural Drift"
"c002M01N24","Lack of multi-sensory haptic and olfactory feedback","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","visitors are unable to feel shockwaves or scorched earth smells at Bombing site.","Absence of physical simulator pieces limiting full cognitive immersion.","Page 3, Section 2.4.3","LI04","Hardware, Sensor & Infrastructure Constraints"
"c002M02N24","Urban-rural digital divide (data interoperability <30%)","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","data interoperability rate is below 30%","Inability to exchange or reuse digital data across rural systems","Section 2.4.1","LI03","Software, Algorithmic & Data Interoperability Barriers"
"c002M02N25","Fragmented user experience (2.7 sec wait, 5% haptic devices)","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","visitors need to wait for an average of 2.7 seconds ... only 5% of venues provide haptic devices","Long loading times and lack of tactile feedback devices","Section 2.4.3","LI04","Hardware, Sensor & Infrastructure Constraints"
"c002M02N26","Living heritage transmission crisis (indigenous return rate <30%)","Limitation","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","return rate of indigenous people is generally below 30% and intangible cultural heritage skills are at risk of interruption","Low repatriation of indigenous people leading to loss of ICH skills","Section 4.1.3","LI11","Socio-Organizational Resistance & Cultural Drift"
"c003M01N15","Forgetting Curve","Limitation","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment","most students would have forgotten about 80% of the content in a week's time","The natural cognitive decay of acquired textual data from memory when exposed to non-immersive instruction over a short time window","PAGE 17","LI01","Individual Cognitive & Memory Decay"
