sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c001M01N40","Unidirectional recording","Paper-based surveying is characterized as unidirectional recording.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c001M01N41","Limited retrieval","Total station and film photography provide limited retrieval.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c001M01N42","Passive display and missing wartime-life recreation","Most digital exhibitions passively show exteriors and timelines and lack recreation of wartime life.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c001M01N43","Intangible cultural heritage skills inheritance interruption","ICH skills are at risk of interruption in inheritance while indigenous people's return rate is below 30%.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c001M01N44","Rural point-cloud data transmission failure","The rural point-cloud transmission failure rate is reported as 18.7%, versus 2.3% in urban cores.","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
"LI07","Financial and Capital Constraints","c001M01N45","High digital modeling cost","Advanced digital modeling costs three to five times more per building than traditional methods.","LI07","Financial and Capital Constraints"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c001M01N46","Data format fragmentation and system interoperability problems","More than 70% of projects encounter fragmented formats and system-interoperability issues.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c001M01N47","Model precision-real-time rendering trade-off","High-definition scanning improves restoration efficiency, but precision must be balanced with real-time rendering performance.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c001M01N48","AR-guide loading delay","Visitors wait an average of 2.7 seconds before experiencing the AR guide.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c001M01N49","Haptic-device scarcity","Only 5% of venues provide haptic devices.","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
"LI12","Market, Commercialization, Regulatory and External Institutional Change","c001M01N50","Excessive commercialization weakens cultural expression","Excessive commercialization reduced positive EEG emotional signals by 40%.","LI12","Market, Commercialization, Regulatory and External Institutional Change"
"LI12","Market, Commercialization, Regulatory and External Institutional Change","c001M02N28","Internet celebrity punch point over-commercialization erosion","Excessive commercial operation would decrease the number of EEG positive signals by 40%; excessive commercialization (such as punch point of Internet celebrity) will reduce EEG+ emotional signals by 40%","LI12","Market, Commercialization, Regulatory and External Institutional Change"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c001M02N29","GLTF/OpenUSD cross-platform data format silos","More than 70% projects are trapped in fragmented data format and system interoperability issues. Urgent to establish cross-platform standards (e.g., unified 3D model format, GLTF or OpenUSD)","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c001M02N30","Rural LOD200 vs urban LOD400 precision implementation gap","LOD400 modeling precision adopted for central urban districts... county-level projects restricted to LOD200 models, data interoperability rate below 30%","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c001M02N37","High error rate in manual total station surveys (2.3%)","Total Station Surveying error rate 2.3%","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
"LI11","Physical-Environmental and Operational Variability","c001M02N38","Termite damage and structural decay of wooden buildings","37% wooden buildings are damaged by termites; rate of building damage occurred decreased by 17% after digital platform use","LI11","Physical-Environmental and Operational Variability"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c001M02N39","Passive static display leading to poor knowledge retention","85% of digital exhibitions only passively show building exterior and wartime timeline but lack recreation of wartime life","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI01","Individual Knowledge and Memory Decay","c002M01N44","forgetting about 80% of the content in a week’s time","Two-week gaps were used because most students were expected to have forgotten approximately 80% of content after one week.","LI01","Individual Knowledge and Memory Decay"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c002M01N46","insufficient absorption of information","The broad and unengaging traditional methods result in insufficient absorption of information by construction workers.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI01","Individual Knowledge and Memory Decay","c002M01N47","failure to achieve long-term information retention","Insufficient absorption in traditional training does not translate into long-term information retention.","LI01","Individual Knowledge and Memory Decay"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c002M01N49","difficulty providing feedback and implementing changes to XR content","Participants considered feedback and content changes easier with the conventional presentation than with AR and VR.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c002M02N38","Low safety training motivation syndrome","Motivation is an essential factor in translating the concepts taught in training to the workplace","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI01","Individual Knowledge and Memory Decay","c002M02N39","Ebbinghaus forgetting curve effect","Most students would have forgotten about 80% of the content in a week's time","LI01","Individual Knowledge and Memory Decay"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c002M02N40","Training-to-construction-site knowledge transfer gap","Motivation was found to be the more effective factor for safety performance practice on the job","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c002M02N41","Traditional training visual fidelity limitations","Several studies have tried to evaluate the delivery of immersion, interaction, and realism to demonstrate the ability of devices in the realm of extended reality (XR) to reproduce visuals and conditions akin to those of real construction sites","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c002M02N42","Unrecognized hazard induced injury risks","It has been demonstrated that unrecognized hazards can lead to unexpected injuries or even fatalities in a fast-paced construction environment","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c003M02N22","Potential cybersickness","...the first was aimed at investigating... the cybersickness disorders related to the use of the virtual reality...","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c003M02N23","Lack of immersion in traditional methods","Despite its potential benefits for studying human behaviour, the use of virtual reality as a training tool has not received much attention.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI09","Organizational Culture, Leadership and Adoption Barriers","c003M02N24","Limited awareness of available technologies","A possible explanation is the users' limited awareness of available technologies to optimize energy performance.","LI09","Organizational Culture, Leadership and Adoption Barriers"
"LI01","Individual Knowledge and Memory Decay","c004M01N29","acquired knowledge decay","Newly acquired knowledge is vulnerable to forgetting; manual-group knowledge declined significantly after four weeks.","LI01","Individual Knowledge and Memory Decay"
"LI13","Research Design, Measurement and Validation Flaws","c004M01N30","knowledge retention assessed only through knowledge test scores","The study assessed retention by measuring knowledge-test scores.","LI13","Research Design, Measurement and Validation Flaws"
"LI13","Research Design, Measurement and Validation Flaws","c004M01N31","long-term practical performance not investigated","The authors state that whether VR improves long-term practical performance remains uninvestigated.","LI13","Research Design, Measurement and Validation Flaws"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c004M01N32","questioning as the only VR instructional method","The study used only questioning as the instructional method for the VR system.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c004M01N33","VR training delivers explicit knowledge only","The authors explicitly state that the VR training system only delivers explicit knowledge to participants.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c004M01N34","3 m × 3 m real-world movement area","Real-world participant movement was confined to a 3 m by 3 m square.","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c004M02N35","Knowledge-Behavior Translation Gap","Manns et al. (2015) conducted a cross-sectional study and discovered a knowledge-to-practice gap","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI01","Individual Knowledge and Memory Decay","c004M02N36","Persistent Safety Knowledge Retention Deficit","poor safety training and poor safety knowledge retention are known to be contributing factors to the high incidence of injury","LI01","Individual Knowledge and Memory Decay"
"LI09","Organizational Culture, Leadership and Adoption Barriers","c004M02N37","Organizational Safety Training Implementation Gap","This situation is due to the lack of proper implementation of safety practices in the industry","LI09","Organizational Culture, Leadership and Adoption Barriers"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c004M02N38","VR-Induced Cybersickness / Motion Sickness","Dhalmahapatra et al. (2021)...Immersive VR provided more effective training, but it generated motion sickness too","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M01N38","memorization and spoon-feeding","The study calls for departure from memorization and spoon-feeding approaches in traditional safety training.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M01N39","passive reception of knowledge","Traditional methods were criticized because trainees act as passive receivers of knowledge.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M01N40","lack of interaction between learners and training material","The traditional lecture design is described as lacking interaction between learners and training material.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M01N41","lack of cognitive stimulation and skill development","Traditional training was criticized for weak cognitive stimulation and skill development caused by low engagement and interactivity.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints","c005M01N42","VR game creation time and cost","Although VR addresses conventional gaps, the paper states that game creation is time-consuming and costly.","LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints"
"LI03","Human Physiological, Cognitive-Capacity and Demographic Constraints","c005M01N43","older trainees’ discomfort with Oculus Touch","Older trainees took longer and were uncomfortable or unfamiliar with the Oculus Touch joystick.","LI03","Human Physiological, Cognitive-Capacity and Demographic Constraints"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c005M01N44","withdrawal from VR training","Four older participants withdrew from VR training within the first one to three minutes.","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI13","Research Design, Measurement and Validation Flaws","c005M01N45","inability to isolate each technology’s contribution","The authors state that future research should quantify each technology’s contribution by testing between the AR and VR sessions.","LI13","Research Design, Measurement and Validation Flaws"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M01N46","partial model coverage","The developed model is part of a larger comprehensive model still under development, and only selected hazard themes were included.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M02N49","Lack of learner engagement in traditional training","In this design, there is a lack of interaction between learners and training material. Traditional training methods...criticized for the lack of cognitive stimulation and skill development as a result of the lack of engagement and interactivity.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M02N51","Insufficient cognitive stimulation","Traditional training methods [are] criticized for the lack of cognitive stimulation and skill development as a result of the lack of engagement and interactivity.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c005M02N52","Risk of counterproductive learning","Not only does this risk the lack of knowledge due to the trainees' emerging sense of exclusion but also risks counterproductive learning.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints","c005M02N53","High VR development time and cost","Although VR fills in conventional training gaps, game creation is time-consuming and costly. AR was advised at this training to save design time and costs.","LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints"
