case_id,Initial_deepseek_nodes,Initial_deepseek_edges,Initial_chatgpt_nodes,Initial_chatgpt_edges,r1_nodes,r1_edges,r2_nodes,r2_edges,r3_nodes,r3_edges,node_accepted_rate,relation_accepted_rate,node_expansion_coefficient,relation_expansion_coefficient,dtv_valid
c201,37,64,36,60,72,118,70,107,63,106,0.86,0.85,1.7,1.66,0.83
c202,33,63,26,37,59,93,58,89,49,84,0.83,0.84,1.48,1.33,0.66
c203,17,29,35,56,52,82,50,59,40,55,0.77,0.65,1.14,0.98,0.83
c204,32,54,39,61,71,113,63,89,52,83,0.73,0.72,1.33,1.36,0.83
c205,32,50,45,74,77,123,74,97,60,93,0.78,0.75,1.33,1.26,0.83
c206,58,100,31,61,88,157,86,149,80,143,0.9,0.89,1.38,1.43,0.93
c207,70,140,33,64,103,194,86,101,76,95,0.74,0.47,1.09,0.68,0.86
c208,28,47,35,63,61,106,61,96,51,94,0.81,0.85,1.46,1.49,0.83
c209,68,132,41,73,106,202,101,164,80,154,0.73,0.75,1.18,1.17,0.86
c210,45,79,32,50,77,127,69,94,60,94,0.78,0.73,1.33,1.19,0.93
c211,22,37,22,45,43,82,43,77,39,74,0.89,0.9,1.77,1.64,0.79
c212,37,127,38,94,75,221,70,117,64,111,0.85,0.5,1.68,0.87,0.86
c213,21,28,47,103,68,131,67,122,57,115,0.84,0.88,1.21,1.12,0.59
c214,59,150,49,82,108,226,99,166,88,165,0.81,0.71,1.49,1.1,0.93
c215,47,68,26,33,69,97,64,84,56,76,0.77,0.75,1.19,1.12,0.79
c216,53,131,72,109,123,240,103,135,93,127,0.74,0.53,1.29,0.97,0.9
c217,36,73,21,30,56,103,55,77,50,76,0.88,0.74,1.39,1.04,0.76
c218,64,99,33,81,97,176,93,116,81,112,0.84,0.62,1.27,1.13,0.86
c219,45,73,36,54,81,126,73,104,60,89,0.74,0.7,1.33,1.22,0.83
c221,40,63,28,38,68,96,64,83,56,83,0.82,0.82,1.4,1.32,0.79
c222,31,39,42,79,73,117,66,94,49,91,0.67,0.77,1.17,1.15,0.72
c224,25,33,31,40,54,70,45,49,40,45,0.71,0.62,1.29,1.12,0.72
c225,37,65,31,40,65,103,35,51,33,49,0.49,0.47,0.89,0.75,0.72
c227,42,52,37,61,79,111,72,84,63,76,0.8,0.67,1.5,1.25,0.72
