Category,Sub-Category ID,Sub-Category Name,Definition
Tacit Knowledge,TK01,Deliberately Withheld or Confidential Knowledge,"Articulable knowledge deliberately withheld because of secrecy, confidentiality, competition, hierarchy, or distrust."
Tacit Knowledge,TK02,Knowledge Conveyed Through Examples or Demonstration,"Knowledge transferred through cases, stories, simulations, examples, pointing, or practical demonstration because a sufficient verbal account has not been provided."
Tacit Knowledge,TK03,Uncommunicated Knowledge Due to Differing Relevance Judgments,"Knowledge that could be articulated but is not successfully communicated because people notice, prioritize, interpret, or assign importance to different aspects of the same situation. The tacitness arises from mismatched judgments of relevance rather than sensory inability."
Tacit Knowledge,TK04,Unrecognized or Unarticulated Personal Know-how,"A person performs or decides effectively but has not consciously identified, reflected upon, or expressed the knowledge being used."
Tacit Knowledge,TK05,Practised Motor and Tool-Operation Skill,Competence requiring learned bodily control and coordination during physical work or tool-mediated activity.
Tacit Knowledge,TK06,Trained Sensory and Perceptual Recognition,"A learned capacity to detect meaningful visual, auditory, tactile, spatial, or other sensory differences."
Tacit Knowledge,TK07,"Embodied Posture, Balance, and Spatial Control","Bodily competence involving posture, balance, orientation, movement, distance, positioning, or spatial awareness."
Tacit Knowledge,TK08,Immediate Embodied Response to Changing Conditions,"Rapid bodily or neurophysiological response to hazards or changing conditions, often preceding complete conscious reasoning."
Tacit Knowledge,TK09,Shared Professional Language and Contextual Meaning,"Understanding that depends on participation in a community sharing specialized terms, categories, expressions, narratives, and contextual meanings."
Tacit Knowledge,TK10,Shared Professional Norms and Standards of Judgment,"Judgment grounded in collectively learned expectations about what is appropriate, acceptable, credible, safe, or legitimate."
Tacit Knowledge,TK11,"Informal Coordination, Communication, and Escalation Know-how","Unwritten conventions governing coordination, communication, negotiation, signalling, collaboration, contact, and escalation within a group."
Tacit Knowledge,TK12,Organizational Culture and Unwritten Working Practices,"Knowledge embedded in organizational identity, traditions, routines, authority relations, and historically developed ways of working."
Tacit Knowledge,TK13,AmbiguousTacit Knowledge(*),Maps tacit knowledge that cannot be assigned to TK01-TK12 because the evidence does not identify a sufficiently specific domain or analytical level.
Explicti Knowledge,EK01,Codified Normative Knowledge,"Articulated and persistently recorded statements specifying what is required, permitted, prohibited, or formally recommended, including laws, regulations, standards, codes, and mandatory thresholds."
