src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
"N07","N09","be_shared_by","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The knowledge of the heating schedule is held and managed by a central body like the Green Office, which follows criteria based on weather forecasts.","Section 4.3, Page 16"
"N07","N25","be_difficult_to_capture_due_to","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The main reason for divergence between measured and normative temperatures is the inflexibility of the heating schedule, a key limitation of the current tacit knowledge.","Page 24, Discussion, Paragraph 1"
"N13","N24","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The traditional practice of weekly scheduling is constrained by and leads to a divergence between measured and normative thresholds.","Page 24, Discussion, Paragraph 1"
"N13","N26","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The traditional practice is also constrained by the difficulty of fully sectorizing buildings, another limitation it cannot overcome.","Page 24, Discussion, Paragraph 1"
"N13","N25","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The weekly scheduling practice is inherently constrained by its own inflexibility, as it cannot adapt to real‑time changes.","Page 24, Discussion, Paragraph 1"
"N13","N27","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The traditional practice is also constrained by unpredictable human behaviour (opening windows), which it cannot account for.","Section 4.4, Page 17"
"N14","N17","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The IoT-driven methodology adopts specific sensors like the VSI21 as part of its digital infrastructure.","Section 3.3, Page 11"
"N14","N18","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The IoT-driven methodology adopts specific sensors like the AM307 as part of its digital infrastructure.","Section 3.3, Page 11"
"N14","N19","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The IoT-driven methodology adopts specific sensors like the QPA1004 as part of its digital infrastructure.","Section 3.3, Page 11"
"N14","N20","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The IoT-driven methodology adopts specific sensors like the EM500 as part of its digital infrastructure.","Section 3.3, Page 11"
"N14","N21","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The IoT-driven methodology adopts specific sensors like the meteorological station as part of its digital infrastructure.","Section 3.3, Page 11"
"N14","N22","depend_on","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The methodology's analysis depends on external weather conditions as a key variable for understanding building performance.","Section 4.1, Page 13"
"N14","N23","depend_on","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The methodology is applied during specific seasonal cycles like autumn-winter to analyze heating demand.","Section 4, Page 13"
"N14","N24","mitigate","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","By providing real-time data and analysis, the IoT methodology aims to reduce the divergence between measured and normative temperatures.","Page 24, Discussion, Paragraph 1"
"N14","N13","complement","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The IoT methodology is proposed as a new knowledge source that complements and informs the traditional weekly scheduling practice, making it more adaptive.","Page 24, Discussion, Paragraph 1"
"N14","N13","cannot_fully_replace","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","Despite its benefits, the IoT methodology cannot fully replace the need for human intervention, as unpredictable behavior like opening windows remains a factor.","Section 4.4, Page 18"
"N14","N28","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The effectiveness of the IoT methodology is constrained by the inaccuracy of occupancy counting sensors.","Section 4.4, Page 18"
"N14","N27","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","Even the IoT‑driven methodology is constrained by such unpredictability, as it cannot fully replace human intervention.","Section 4.4, Page 18"
