src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
"N01","N19","be_transferred_by","E","Game-based learning as training to use a chemotherapy preparation robot","Recommended procedures were transferred through trainee reading in the conventional format.","Introduction, page 2"
"N08","N20","be_transferred_by","I","Game-based learning as training to use a chemotherapy preparation robot","The conventional training showed trainees the processes used with the robot.","Introduction, page 2"
"N11","N21","be_transferred_by","E","Game-based learning as training to use a chemotherapy preparation robot","Trainees repeated the demonstrated processes themselves.","Introduction, page 2"
"N17","N19","participate_in","E","Game-based learning as training to use a chemotherapy preparation robot","Trainees read the recommended procedures.","Introduction, page 2"
"N17","N20","participate_in","E","Game-based learning as training to use a chemotherapy preparation robot","Trainees were shown the processes.","Introduction, page 2"
"N17","N21","participate_in","E","Game-based learning as training to use a chemotherapy preparation robot","Trainees repeated the processes themselves.","Introduction, page 2"
"N19","N37","be_constrained_by","E","Game-based learning as training to use a chemotherapy preparation robot","The initial conventional sessions did not continue over time.","Introduction, page 2"
"N20","N37","be_constrained_by","E","Game-based learning as training to use a chemotherapy preparation robot","The initial conventional sessions did not continue over time.","Introduction, page 2"
"N21","N37","be_constrained_by","E","Game-based learning as training to use a chemotherapy preparation robot","The initial conventional sessions did not continue over time.","Introduction, page 2"
"N19","N38","be_constrained_by","E","Game-based learning as training to use a chemotherapy preparation robot","Hiring and departures gradually led to disparities in training and knowledge.","Introduction, page 2"
"N20","N38","be_constrained_by","E","Game-based learning as training to use a chemotherapy preparation robot","Hiring and departures gradually led to disparities in training and knowledge.","Introduction, page 2"
"N21","N38","be_constrained_by","E","Game-based learning as training to use a chemotherapy preparation robot","Hiring and departures gradually led to disparities in training and knowledge.","Introduction, page 2"
"N22","N31","adopt","E","Game-based learning as training to use a chemotherapy preparation robot","Learning Designer was used to build and organize the training program.","Materials and methods, page 2"
"N22","N04","adopt","E","Game-based learning as training to use a chemotherapy preparation robot","The program used a mind map representing its goals and the robot-use process.","Materials and methods, page 2"
"N22","N35","depend_on","E","Game-based learning as training to use a chemotherapy preparation robot","The two-hour sessions had to be integrated into operators' daily schedules despite heavy workloads.","Discussion, page 7"
"N22","N36","depend_on","E","Game-based learning as training to use a chemotherapy preparation robot","Training needs were framed by the quality standards expected under Good Manufacturing Practices.","Materials and methods, page 2"
"N22","N42","be_constrained_by","E","Game-based learning as training to use a chemotherapy preparation robot","Development and implementation required a consequential time investment estimated above 100 hours.","Discussion and Conclusion, pages 7-8"
