"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M01N06","Health and safety manual self-study","Traditional Human-central Practice","E","Immersive virtual reality training for excavation safety and hazard identification","A control group received training via a traditional training method, in this case an excavation health and safety manual.","A text-based, self-paced individual reading approach used for safety compliance instruction.","Page 13, Section 5","THR03","Deliberate Practice"
"c002M01N07","Paper-based Surveying","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","1st (1930s) Paper-based Surveying, 2D Planar, 5-8% error rate.","Legacy non-digital physical drafting approach.","Page 7, Section 4.3","THR03","Deliberate Practice"
"c002M01N08","Total Station Surveying","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","2nd (1980s) Total Station + Film Photography, 2-3% error rate.","Legacy electronic but human-driven distance measurement method.","Page 7, Section 4.3","THR03","Deliberate Practice"
"c002M01N09","Traditional exhibition methods / physical display","Traditional Human-central Practice","E","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","Compared with traditional exhibition, VR exhibition hall extended average stay time for 22 minutes.","Static, physical display workflows utilizing text and pictures.","Page 3, Section 2.3.2","THR03","Deliberate Practice"
"c002M02N12","Static photographic exhibition","Traditional Human-central Practice","I","Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings","most cases only use static pictures to show Bombing site","Display of still images without interactive or sensory elements","Section 2.4.2","THR03","Deliberate Practice"
"c003M01N06","Traditional Training","Traditional Human-central Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment","The traditional mode of training was presented using an overhead projector","Legacy instructional mechanism consisting of textbook studies, classroom lectures, and 2D slideshow presentations","PAGE 1, PAGE 17","THR03","Deliberate Practice"
"c003M02N11","Conventional overhead projector training","Traditional Human-central Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment","The traditional safety training was prepared using Microsoft PowerPoint, and presented using an overhead projector.","classroom training with slides and interactive Q&A","Section 3.4, page 14-16","THR03","Deliberate Practice"
"c004M01N13","Legacy manual bid preparation","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","Construction bid preparation remains predominantly manual, labour-intensive, and time-pressured","Traditional document compilation process relying entirely on distributed physical or manual tracking","PAGE 2, Source 27","THR03","Deliberate Practice"
"c004M01N14","Human-in-the-loop review","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","A human-in-the-loop review was incorporated to ensure quality","An interactive workflow where an AI creates initial versions and a professional corrects them","PAGE 7, Source 242","THR03","Deliberate Practice"
"c004M01N15","Manual annotation of RFPs","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","Ground truth labels for the requirements extraction module were generated through manual annotation of the RFPs by the research team","The act of marking text limits by hand to map ground truth sentences","PAGE 14, Source 511","THR03","Deliberate Practice"
"c004M02N17","manual drafting of methodology sections","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","Manual drafting is time-consuming and error-prone. The methodology section typically carries the highest evaluation weight.","Not mentioned","Pages 5, 11","THR03","Deliberate Practice"
"c004M02N18","kick-off meetings","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","A kick-off meeting aligns roles, timelines, and responsibilities in bid preparation.","Not mentioned","Page 9","THR04","Knowledge Cafés"
"c004M02N19","internal reviews (managers/QA/legal)","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","Proposals undergo internal reviews involving managers, quality assurance staff, and legal teams.","Not mentioned","Page 4","THR09","After-Action Reviews"
"c004M02N20","post-bid reviews","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","Post-bid review is conducted to gather feedback, assess lessons learned, and improve future submissions.","Not mentioned","Page 9","THR09","After-Action Reviews"
"c004M02N21","cross-referencing previous proposals manually","Traditional Human-central Practice","E","A generative AI model for automating construction bid preparation","Cross-referencing with previous proposals is a manual activity to ensure consistency and reuse effective content.","Not mentioned","Page 9, Table 4","THR03","Deliberate Practice"
"c005M01N08","traditional evaluation chart analysis","Traditional Human-central Practice","I","Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry","Evaluation charts such as the OWAS method, RULA, REBA and HOHSRAM have been utilized. Based on this result, the development of assistive technology suitable for work is required.","The historical paradigm of visually assessing site ergonomics using static paper rubrics.","Page 1, Chapter 1","THR03","Deliberate Practice"
"c005M01N09","task allocation based on age","Traditional Human-central Practice","E","Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry","As a result, the building work acquired in this study revealed that task allocation based on age was not conducted.","The legacy scheduling technique of assigning work duties according to chronological age brackets.","Page 5, Chapter 5.3","THR03","Deliberate Practice"
"c005M02N15","OWAS/RULA/REBA observation-based assessment","Traditional Human-central Practice","E","Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry","Evaluation charts such as the OWAS method, RULA, REBA and HOHSRAM have been utilized.","Non-digital, human-driven process where an observer uses printed charts to evaluate worker postures and assign risk scores.","Page 1, Section 1","THR03","Deliberate Practice"
