"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M01N20","Sequential digital recording of craftsmanship process","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Wooden-construction and rammed-earth craftsmanship processes are recorded in sequence.","A digital resource-collection practice that records the ordered stages of craftsmanship.","Page 2, Section 2.1.3","TP10","Database-supported Project Knowledge Archiving"
"c001M01N21","Interactive knowledge graph","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","An interactive knowledge graph is constructed to digitize the recording of craftsmanship process.","An interactive graph-based practice for representing recorded craftsmanship processes.","Page 2, Section 2.1.3","TP09","Semantic Knowledge Structuring and Retrieval"
"c001M01N22","Graded-protection modeling workflow","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Peng's Dwelling uses differentiated LOD precision and collaborative UAV and ground laser scanning to produce a high-precision 3D model.","A digital modeling workflow assigning different precision and protection intensity to building areas.","Pages 4-5, Section 3.1","TP02","Spatial Knowledge Capture and Geospatial Reconstruction"
"c001M01N23","Living Inheritance Mode","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Historical archives and AR scene overlays reconstruct living scenes at Peng's Dwelling.","An implemented heritage-interpretation mode that reconstructs historical living spaces through AR.","Page 5, Section 3.2","TP03","Situated Experiential Learning through Extended Reality"
"c001M01N24","Peng's Dwelling Digital Twin Platform","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","The platform restores historical scenes interactively across smartphones, AR glasses, and VR headsets.","A cross-platform system integrating historical interpretation, protection monitoring, and tourism operations.","Page 6, Section 3.3 and Figure 9","TP03","Situated Experiential Learning through Extended Reality"
"c001M01N25","Dynamic narrative system","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","The implemented dynamic narrative system increased visitors' historical cognition by 53%.","A system that presents and triggers historical content dynamically rather than through passive display.","Pages 2-4, Sections 1.2.2, 2.3.1, and Table 2","TP04","Interactive Consequence Learning and Digital Feedback"
"c001M01N26","Red Journey co-creation module","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","A Red Journey co-creation module is constructed in a virtual village where users upload wartime-themed materials.","A metaverse co-creation module that produces a dynamic digital archive from user uploads.","Pages 2-3, Section 2.2.2","TP11","Collaborative Knowledge Co-creation through Digital Platforms"
"c001M01N51","Drone oblique photogrammetry modeling","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Aerial multi-angle images are stitched by ContextCapture to generate a textured 3D model.","An implemented workflow that converts UAV oblique images into textured three-dimensional building models.","Page 2, Section 2.1.2","TP02","Spatial Knowledge Capture and Geospatial Reconstruction"
"c001M01N52","GIS-based spatial mapping","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","GIS aggregates scattered 3D models into spatial distribution maps.","An implemented mapping practice that aggregates and displays heritage models and spatial conservation data.","Page 2, Section 2.1.2","TP02","Spatial Knowledge Capture and Geospatial Reconstruction"
"c001M01N55","AR guides","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Visitors using AR guides wait an average of 2.7 seconds before experiencing the service.","An implemented augmented-reality guidance service used by heritage-site visitors.","Pages 3-4, Section 2.4.3","TP03","Situated Experiential Learning through Extended Reality"
"c001M01N56","Multisensory heritage experience","Technology-enable Practice","I","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","The paper evaluates haptic and other sensory presentation and notes that visitors cannot feel shockwaves or smell scorched earth where devices are absent.","A digitally enabled heritage experience using haptic or other sensory cues to convey historical scenes.","Pages 3-4, Sections 2.3 and 2.4.3; Table 2","TP04","Interactive Consequence Learning and Digital Feedback"
"c001M01N57","Living Craft Display","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","For Peng's Traditional Dwelling, Table 5 lists Lightweight Modeling plus Living Craft Display and reports ICH skills inheritance coverage of 60%.","A digitally supported display practice used in the Peng's Traditional Dwelling case to transmit living craft knowledge.","Page 6, Table 5","TP12","Multimedia and Blended Knowledge Internalization"
"c001M02N16","Bombing scene dynamic narrative temporal-spatial subsystem","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","A dynamic narrative system... reconstructs historical scene such as bombing scene with temporal-space information under the standard of Digital Protection of Intangible Cultural Heritage (2023) [3]","System for reconstructing wartime scenes with time-based event triggers","Page 1-2","TP04","Interactive Consequence Learning and Digital Feedback"
"c001M02N17","AR-guided QR code animation tour system","Technology-enable Practice","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","QR code animation triggered by Unity3D engine and AR guided tour","Augmented reality system using QR triggers for visitor guidance","Page 2","TP03","Situated Experiential Learning through Extended Reality"
"c002M01N33","AR-based safety training","Technology-enable Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","AR-based safety training used HoloLens 2 and interactive visualizations and was most effective for most sub-criteria.","The implemented augmented-reality safety-training condition.","Sections 3 and 3.4, pages 7 and 14–17; Results, pages 20–23","TP03","Situated Experiential Learning through Extended Reality"
"c002M01N34","VR-based safety training","Technology-enable Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","VR-based safety training used a Samsung Odyssey headset and virtual-space interaction.","The implemented virtual-reality safety-training condition.","Sections 3 and 3.4, pages 7 and 14–17; Discussion, pages 22–23","TP03","Situated Experiential Learning through Extended Reality"
"c002M01N35","online questionnaire and IT2F–AHP analysis","Technology-enable Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","Participant inputs were collected through an online questionnaire and analyzed using IT2F–AHP to evaluate knowledge retention.","The digital feedback collection and fuzzy multi-attribute evaluation process.","Sections 3 and 3.5, pages 8 and 17–19","TP13","Criteria-based Performance Evaluation and Ranking"
"c002M02N24","Immersive VR headset safety simulation","Technology-enable Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","Samsung Odyssey VR headset was used for VR training","Immersive safety training using Virtual Reality head-mounted display","Page 15-16","TP03","Situated Experiential Learning through Extended Reality"
"c002M02N25","Interactive AR headset safety overlay training","Technology-enable Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","Microsoft Hololens 2 was used for AR training","Interactive safety training using Augmented Reality head-mounted display","Page 15-16","TP03","Situated Experiential Learning through Extended Reality"
"c002M02N26","Unity3D XR safety training platform","Technology-enable Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","The safety team prepared an immersive environment for demonstration of concepts using Unity3D to simulate the safety risks","Unity3D-based platform for creating VR and AR safety training visualizations","Page 7","TP03","Situated Experiential Learning through Extended Reality"
"c002M02N27","BIM-driven 3D visualization system","Technology-enable Practice","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","Building information models (BIM) and other 3D visualizations have gained traction with the broader acceptance of the Building 4.0 platform","System using BIM models for 3D visualizations and XR training content","Page 4","TP01","Model-based Knowledge Representation and Simulation"
