uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence,ic_label
002154c1-16c4-45d1-b2a2-f52ce001e41f,No,"The abstract is a literature review on technology's influence on healthcare education, focusing on e-learning, VR, simulation, and gamification. It does not discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,high,No,"The abstract discusses technologies used for education (e-learning, VR, simulation, gamification) but not for capturing or retaining knowledge.",high,None identified,None identified,Literature review,"The abstract states: 'a broad literature search using PubMed, Google Scholar and other databases identified relevant, contemporary studies, articles and reports regarding the use of technology in healthcare education.' It synthesizes existing literature without new data or framework.",high,False
002832b4-b4ee-4da5-8be8-bcc0060281bd,No,"The abstract discusses retrieval-augmented generation with quantized large language models for assisting design personnel with navigating complex standards and quality manuals. It focuses on improving factual accuracy and knowledge acquisition from external documents, not on capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,high,No,"The abstract describes using retrieval-augmented generation, document parsing, vector databases, and text embedding models. These technologies are used for information retrieval and question-answering, not for preserving, capturing, archiving, transferring, or retaining knowledge from individuals.",high,None identified,None identified,Empirical Study,"The abstract states 'Experimental results compare models at different quantization levels, revealing trade-offs between response time, model size, and performance metrics.' This indicates collection and analysis of experimental data.",high,False
0028461c-eaed-4cc0-883e-be5d10637e39,No,"The abstract discusses using video games as a learning method and evaluating student acceptance, but does not discuss capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,No digital technologies are discussed for capturing or retaining tacit knowledge.,high,None identified,None identified,Case Study,"The abstract describes a 'pilot case study' and presents results of a pilot study using a modified Technology Acceptance Model, focusing on a specific implementation.",high,False
0073c88f-6cfa-4f6d-8b0c-1815e657d03b,No,"The abstract discusses using serious games and VR to improve knowledge retention in maritime education. It focuses on learning outcomes and knowledge retention in students, not on capturing or retaining knowledge from individuals or the organization environment.",high,None identified,None identified,high,No,"Digital technologies (serious games, VR) are used for teaching and learning, not for capturing or retaining tacit knowledge from individuals or organizations.",high,None identified,None identified,Conceptual Framework,The abstract states: 'This paper has brought these insights together in a framework identifying the benefits that contribute to knowledge retention but also the requirements and risks for the application of serious games to be addressed.' It proposes a framework but does not collect new data.,high,False
00828d9b-764d-4018-a6a9-166d50744f20,Yes,"The abstract discusses 'reverse mentoring' as a 'bottom-up knowledge-sharing practice' and examines its influence on innovative performance, implying the capture and transfer of knowledge from younger to older employees.",high,knowledge shared through reverse mentoring (bottom-up knowledge-sharing practices),Relational Tacit Knowledge,medium,No,The abstract does not mention any digital technologies used to capture or retain the tacit knowledge shared through reverse mentoring. It focuses on psychological mechanisms and organizational structure.,high,None identified,None identified,Empirical Study,The abstract states: 'Data collected during the COVID-19 pandemic from a sample of 382 employees working in the Indian information technology (IT) sector were analyzed using partial least squares-structural equation modeling to test the proposed hypotheses.' This indicates primary data collection and statistical analysis.,high,False
008809eb-10ec-4eb2-8076-d6c5199737b5,Yes,"The abstract explicitly discusses knowledge loss as a challenge for SMEs and proposes a framework to mitigate risks related to knowledge loss. It mentions 'knowledge retention, protection and sharing' and 'managing intellectual capital'.",high,Knowledge assets exchanged during organizational collaboration; intellectual capital; knowledge-sharing practices,Relational Tacit Knowledge,medium,Yes,"The abstract mentions 'technological interventions for knowledge protection' and 'over-reliance on technology to perform remote work, conduct organisational collaboration and exchange knowledge assets', implying digital technologies are used for knowledge retention and protection.",medium,Technological interventions for knowledge protection,"Data, Information, and Knowledge Systems",Conceptual Framework,The abstract states: 'This study proposes a Resource-Based View framework (RBV) for SMEs to leverage internal resources and capabilities to mitigate the risks related to knowledge loss.' It conducts a systematic literature review but does not collect new primary data.,high,False
009c4c3f-9639-47b4-bfab-575e2a5ab54a,No,"The abstract focuses on using ChatGPT-4 to improve student learning outcomes in music education. It discusses knowledge acquisition by students, but does not discuss capturing or retaining knowledge from individuals or the organization environment for organizational knowledge management purposes.",high,None identified,None identified,None identified,No,"The abstract discusses ChatGPT-4 as a tool for enhancing learning, but not for capturing or retaining knowledge from individuals or the organization environment.",high,None identified,None identified,Empirical Study,The abstract states: 'an experiment was conducted with 74 undergraduate students... The participants were randomly assigned to two distinct groups... Data analysis was conducted using SPSS 22.' This indicates a controlled experiment with statistical analysis.,high,False
00a3c04b-0ab1-4665-ab35-afc74ef05a6c,No,"The abstract investigates how instructional website design affects learning outcomes and cognitive processing, but does not discuss capturing or retaining knowledge from individuals or the organization environment.",high,None identified,None identified,high,No,"The study uses eye-tracking and screen recordings to monitor user interactions, but these are for measuring learning outcomes, not for capturing or retaining knowledge.",high,None identified,None identified,Empirical Study,"The abstract describes collecting primary data from 16 students using eye-tracking, screen recordings, quizzes, and surveys, and analyzing data with ANOVA and t-tests for statistical generalization.",high,False
00bd6dd6-76a3-44e6-ba40-a3c4f0857538,No,"The abstract discusses simulation and optimization of a laser cladding temperature field, but does not discuss capturing or retaining knowledge from individuals or the organization environment.",high,None identified,None identified,high,No,"The abstract discusses machine learning and optimization algorithms for simulation, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract states: 'An L25(53) orthogonal test is designed, and the transient temperature field in the laser cladding process is simulated by ANSYS.' and 'Results demonstrate... The optimized transient temperature field in laser cladding shows consistency with actual experimental measurements.' This indicates primary data collection and analysis.",high,False
00c107d0-13a6-4d2d-9b7d-5fbf7c472f8b,No,"The abstract discusses using robot-assisted teaching to enhance knowledge acquisition, skills, and attitudes in STEM education. It focuses on learning outcomes and the effectiveness of the teaching system, not on capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,"Digital technologies (robot teachers, tablet computers) are used as teaching tools to facilitate learning, not to capture or retain tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract states: 'an experimental design was employed, with 30 college students assigned to learn and create a Drawdio electronic sound synthesizer using robot teachers and tablet computers. Pre- and post-tests were administered... and a survey was conducted.' This indicates primary data collection and statistical analysis.",high,False
