src_node_id,dst_node_id,relation_type,evidence_count,evidence_statement,case_title,evidence_label
s001M01KH02,s001M01THR07,participate_in,1,c001M02N10 - c001M02N33: Intangible cultural heritage skills are at risk of interruption in inheritance,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH02,s001M01TP03,participate_in,1,c001M02N10 - c001M01N24: An interactive knowledge graph is constructed to digitalize the recording of craftsmanship process,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH03,s001M01THR11,participate_in,1,"c002M02N13 - c002M02N20: Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings
c002M02N13 - c002M02N21: Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH03,s001M01THR12,participate_in,1,"c002M02N13 - c002M02N22: Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH03,s001M01THR13,participate_in,1,"c006M01N11 - c006M01N12: Workers attended worksite fitting events, experienced assistive suits and could borrow them.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH03,s001M01THR14,participate_in,1,c002M02N13 - c002M02N23: A study demonstrated improvements in safety performance with increased safety discussions and the distribution of safety training materials to construction workers,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH03,s001M01THR17,participate_in,4,"c006M01N11 - c006M01N13: Physical-strength measurements were conducted on construction workers.
c006M01N11 - c006M01N14: Health questionnaires were administered to construction workers.
c006M02N14 - c006M01N13: Physical strength measurements and questionnaires were administered to 320 construction workers to obtain data.
c006M02N14 - c006M02N22: Physical strength measurements and questionnaires were administered to 320 construction workers to obtain data.
c007M02N08 - c007M02N66: KM in the safety of construction projects relies merely on workers' self-regulation",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH03,s001M01TP03,participate_in,1,"c002M02N14 - c002M02N24: A machinery operator's knowledge acquisition from VR-based training is an important factor that determines on-site safety performance
c002M02N14 - c002M02N25: A machinery operator's knowledge acquisition from VR-based training is an important factor that determines on-site safety performance",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH03,s001M01TP06,participate_in,2,"c006M01N11 - c006M01N15: Multiple-IMU devices were used to measure the workload of 64 workers.
c006M01N11 - c006M01N17: Workers' job-site activity was recorded on video during workload measurement.",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
s001M01KH05,s001M01THR05,participate_in,2,"c012M01N16 - c012M01N26: Retiring engineers participated in dedicated interviews about career experience and lessons.
c012M01N16 - c012M02N25: ""Senior engineers nearing retirement participated actively, encouraged to reflect deeply and openly on their career experiences""",SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Aggregation
