node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,sub_category_id,sub_category,sub_category_id_h,sub_category_h
c001M02N28,Physical space (3m x 3m square),Organizational Dependency,E,Immersive virtual reality training for excavation safety and hazard identification,The movement area in the real world was confined to a 3m x 3m square,Required physical footprint for VR,"p.7, Section 3.2",OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c001M02N29,Availability of VR equipment,Organizational Dependency,I,Immersive virtual reality training for excavation safety and hazard identification,The study required Oculus Quest headsets and controllers,Not mentioned,"p.6-7, Section 3",OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c001M02N30,Dedicated training time,Organizational Dependency,I,Immersive virtual reality training for excavation safety and hazard identification,"Participants had time limits for assessments (e.g., 10 min for practical performance)",Not mentioned,"p.9, Section 4.2.1",OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c001M02N31,Massey University Research Ethics Committee approval,Organizational Dependency,E,Immersive virtual reality training for excavation safety and hazard identification,"Massey University Research Ethics Committee granted ethics approval (Southern A, Application 18/21)",Required ethical clearance,"p.11, Section 4.3",OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",,
c002M02N04,Digital Protection of Intangible Cultural Heritage (2023) standard,Organizational Dependency,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,under the standard of Digital Protection of Intangible Cultural Heritage (2023),Chinese standard WH/T 99.1-2023 to WH/T 99.11-2023 for ICH digital preservation,"Section 1.2.2, Reference [3]",OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",,
c002M02N22,Technical Standards for Historical Building Digitization (2021),Organizational Dependency,E,Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings,graded protection framework is proposed based on Technical Standards for Historical Building Digitization (2021) [2],Chinese standard JGJ/T 489-2021 for historical building digitalization,"Section 1.2.1, Reference [2]",OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",,
c003M01N12,Task Customization,Organizational Dependency,I,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,designing customized training relevant to specific tasks being performed on-site is important,The internal development baseline of tailoring simulation properties directly to operational assignments performed by site crews,PAGE 22,OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c004M01N24,Centralized data management,Organizational Dependency,E,A generative AI model for automating construction bid preparation,suggesting that investment in integrated digital infrastructure and centralized data management will be critical for scaling automation,An organized setup where corporate data assets are consolidated under a uniform data policy,"PAGE 19, Source 630",OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",,
c004M01N25,Investment in digital infrastructure,Organizational Dependency,E,A generative AI model for automating construction bid preparation,firms must invest in digital infrastructure to support these systems,Not mentioned,"PAGE 17, Source 600",OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c004M01N26,Organizational maturity,Organizational Dependency,E,A generative AI model for automating construction bid preparation,This suggests that organizational maturity and information systems readiness significantly influence a firm's automation readiness,The baseline capability level of an entity's internal systems and processes,"PAGE 18, Source 618",OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",,
c004M02N33,centralized data system (absence),Organizational Dependency,E,A generative AI model for automating construction bid preparation,The lack of a centralized data system means information is often scattered. Overcoming this requires integrated data management systems.,Not mentioned,Page 17,OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",OD05,Operational Resource Allocation & Dedicated Timeline Provisions
c004M02N35,digital infrastructure maturity,Organizational Dependency,I,A generative AI model for automating construction bid preparation,"Firms differ in digital maturity, staffing models, and resource availability, affecting automation readiness.",Not mentioned,Page 18,OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c005M02N26,Worksite access permission,Organizational Dependency,I,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,We were present at each worker's worksite and recorded video footage of the work situation.,Internal prerequisite: researchers required permission from site management to enter and conduct measurements.,"Page 2, Section 1.2",OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",,
c006M01N22,Safety culture,Organizational Dependency,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",establishing a safety culture depends on the organization,Shared corporate prioritization of safe working norms,"Page 2, Section 1",OD01,Interpersonal Trust & Psychological Safety Climate,,
c007M01N13,Dedicated training hours,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Trainer/ trainee teams participated in 2-hour training sessions with three games and a debriefing.,The precise institutional block of time cleared from heavy daily clinical workloads to permit training.,Page 1,OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c007M01N14,PhD thesis framework,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"This was possible as the work was performed as part of a PhD thesis, with the doctoral student involved in 100% of the project.",The administrative research environment that permitted over 100 hours of development time.,Page 7,OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c007M02N31,work schedule of the unit,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"""teams of trainer/trainee constituted according to the work schedule""",Not mentioned,Page 5,OD05,Operational Resource Allocation & Dedicated Timeline Provisions,,
c007M02N34,Good Manufacturing Practices standards,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"""standards of quality expected in Good Manufacturing Practices""",Not mentioned,Page 2,OD06,"Institutional Governance, Standards Compliance & Ethics Clearances",,
